Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
CEEE-D,CEED4,48.42,68.59,1.41,29758.0,FASE OPERACIONAL
CEG,CEGR3,89.0,28.6,15.47,0.0,FASE OPERACIONAL
CELPE,CEPE5,40.11,15.25,11.41,23580.0,FASE OPERACIONAL
CELPE,CEPE6,40.11,15.25,11.41,1360.0,FASE OPERACIONAL
COMGAS,CGAS3,130.0,8.81,18.03,4930.0,FASE OPERACIONAL
COMGAS,CGAS5,138.0,8.81,18.03,106790.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,34.7,3.47,24.45,102170.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,34.2,3.47,24.45,311090.0,FASE OPERACIONAL
CIELO,CIEL3,5.12,24.28,6.08,119270000.0,FASE OPERACIONAL
CLEARSALE,CLSA3,5.25,-2.66,-40.41,4070000.0,FASE OPERACIONAL
CELESC,CLSC3,49.5,3.75,8.01,70530.0,FASE OPERACIONAL
CELESC,CLSC4,59.68,3.75,8.01,329210.0,FASE OPERACIONAL
CEMIG,CMIG3,18.15,8.15,13.32,12910000.0,FASE OPERACIONAL
CEMIG,CMIG4,11.86,8.15,13.32,95180000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,3.55,4.29,35.19,31780000.0,FASE OPERACIONAL
COELCE,COCE5,45.46,7.29,12.46,535680.0,FASE OPERACIONAL
COGNA ON,COGN3,2.56,41.75,5.24,65170000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,36.2,7.06,21.58,70240000.0,FASE OPERACIONAL
COPEL,CPLE11,34.34,5.95,19.24,8940000.0,FASE OPERACIONAL
COPEL,CPLE3,6.58,5.95,19.24,4240000.0,FASE OPERACIONAL
COPEL,CPLE5,32.9,5.95,19.24,1960.0,FASE OPERACIONAL
COPEL,CPLE6,6.96,5.95,19.24,51440000.0,FASE OPERACIONAL
CR2,CRDE3,20.0,-4.69,-128.23,2740.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,20.45,11.5,5.68,72280000.0,FASE OPERACIONAL
CRISTAL,CRPG3,48.0,7.02,13.53,21045.0,FASE OPERACIONAL
CRISTAL,CRPG5,28.15,7.02,13.53,211420.0,FASE OPERACIONAL
CRISTAL,CRPG6,28.6,7.02,13.53,6720.0,FASE OPERACIONAL
COSAN,CSAN3,18.83,7.82,28.95,106700000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,4.6,5.83,17.17,1610000.0,FASE OPERACIONAL
COPASA,CSMG3,13.39,10.71,12.42,18830000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,13.19,3.08,26.97,176310000.0,FASE OPERACIONAL
COSERN,CSRN3,21.92,6.52,22.20,4920.0,FASE OPERACIONAL
COSERN,CSRN5,19.87,6.52,22.20,2840.0,FASE OPERACIONAL
COSERN,CSRN6,20.2,6.52,22.20,1220.0,FASE OPERACIONAL
COTEMINAS,CTNM3,7.0,10.41,5.88,90729.0,FASE OPERACIONAL
COTEMINAS,CTNM4,2.45,10.41,5.88,28920.0,FASE OPERACIONAL
SANTANENSE,CTSA3,1.51,62.87,0.79,44330.0,FASE OPERACIONAL
SANTANENSE,CTSA4,0.74,62.87,0.79,60020.0,FASE OPERACIONAL
CURY S/A,CURY3,9.67,6.16,20.66,10700000.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,7.17,-9.65,-20.62,107260000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,15.64,8.77,17.70,85360000.0,FASE OPERACIONAL
DASA,DASA3,21.94,26.6,6.23,4740000.0,FASE OPERACIONAL
DESKTOP,DESK3,10.94,10.95,24.01,3030000.0,FASE OPERACIONAL
DEXXOS PAR,DEXP3,6.4,3.08,12.15,1980000.0,FASE OPERACIONAL
DEXXOS PAR,DEXP4,6.02,3.08,12.15,34540.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,13.93,6.37,18.38,19860000.0,FASE OPERACIONAL
DOMMO,DMMO3,1.72,27.26,9.94,24890000.0,FASE OPERACIONAL
D1000VFARMA,DMVF3,5.04,13.11,1.30,345940.0,FASE OPERACIONAL
DOHLER,DOHL3,18.79,24.93,7.12,26165.0,FASE OPERACIONAL
DOHLER,DOHL4,5.61,24.93,7.12,24840.0,FASE OPERACIONAL
DOTZ SA,DOTZ3,2.62,-1.67,-80.50,174870.0,FASE OPERACIONAL
DTCOM-DIRECT,DTCY3,7.0,-16.46,-63.27,2140.0,FASE OPERACIONAL
DEXCO,DXCO3,10.14,7.8,16.51,33980000.0,FASE OPERACIONAL
ACO ALTONA,EALT3,9.7,4.87,13.58,3270.0,FASE OPERACIONAL
ACO ALTONA,EALT4,8.22,4.87,13.58,197260.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,5.83,9.06,28.33,25250000.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,40.43,9.2,43.85,71200000.0,FASE OPERACIONAL
ELEKTRO,EKTR3,30.02,4.95,21.62,9235.0,FASE OPERACIONAL
ELEKTRO,EKTR4,31.12,4.95,21.62,36130.0,FASE OPERACIONAL
ELETROBRAS,ELET3,45.16,9.68,31.77,729580000.0,FASE OPERACIONAL
ELETROBRAS,ELET6,46.92,9.68,31.77,174640000.0,FASE OPERACIONAL
ELETROMIDIA,ELMD3,9.67,41.91,7.77,1950000.0,FASE OPERACIONAL
EMAE,EMAE4,36.96,26.93,4.92,148160.0,FASE OPERACIONAL
EMBRAER,EMBR3,13.05,27.04,3.05,77370000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,16.57,2.11,61.48,25850000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,22.58,5.52,22.64,61010000.0,FASE OPERACIONAL
ENEVA,ENEV3,15.75,17.15,33.00,121610000.0,FASE OPERACIONAL
ENERGISA,ENGI11,43.6,7.29,20.32,77840000.0,FASE OPERACIONAL
ENERGISA,ENGI3,13.6,7.29,20.32,119130.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.56,7.29,20.32,181480.0,FASE OPERACIONAL
ENJOEI,ENJU3,1.43,0.42,-107.06,3050000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,80.0,10.98,24.92,138290.0,FASE OPERACIONAL
ENERGISA MT,ENMT4,81.0,10.98,24.92,108350.0,FASE OPERACIONAL
EMBPAR S/A,EPAR3,12.43,3.77,6.20,9820.0,FASE OPERACIONAL
EQTL PARA,EQPA3,6.05,7.5,23.49,26080.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,24.92,9.23,19.80,181880000.0,FASE OPERACIONAL
ESPACOLASER,ESPA3,2.05,11.21,16.15,14800000.0,FASE OPERACIONAL
ESTRELA,ESTR4,40.2,2.4,25.69,1410.0,FASE OPERACIONAL
ETERNIT,ETER3,12.3,2.19,26.38,11230000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
EUCATEX,EUCA3,12.79,3.07,17.67,17200.0,FASE OPERACIONAL
EUCATEX,EUCA4,8.26,3.07,17.67,293750.0,FASE OPERACIONAL
EVEN,EVEN3,6.37,4.79,8.86,6710000.0,FASE OPERACIONAL
EZTEC,EZTC3,19.23,12.44,29.15,29680000.0,FASE OPERACIONAL
FERBASA,FESA3,58.6,3.76,40.94,17530.0,FASE OPERACIONAL
FERBASA,FESA4,56.94,3.76,40.94,10400000.0,FASE OPERACIONAL
FER HERINGER,FHER3,14.1,2.0,13.99,7740000.0,FASE OPERACIONAL
UNIFIQUE,FIQE3,4.43,8.59,25.91,2130000.0,FASE OPERACIONAL
FLEURY,FLRY3,16.69,11.02,17.50,32450000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,12.29,11.75,9.82,1900000.0,FASE OPERACIONAL
METALFRIO,FRIO3,41.49,6.78,8.99,6383.0,FASE OPERACIONAL
POMIFRUTAS,FRTA3,3.69,-5.79,-105.97,22470.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
GER PARANAP,GEPA3,23.95,11.57,19.97,4490.0,FASE OPERACIONAL
GER PARANAP,GEPA4,26.55,11.57,19.97,31400.0,FASE OPERACIONAL
GETNET BR,GETT3,2.28,8.8,18.54,102770.0,FASE OPERACIONAL
GETNET BR,GETT4,2.28,8.8,18.54,128820.0,FASE OPERACIONAL
GAFISA,GFSA3,1.22,10.29,19.18,8120000.0,FASE OPERACIONAL
GERDAU,GGBR3,20.07,1.93,26.35,1270000.0,FASE OPERACIONAL
GERDAU,GGBR4,24.1,1.93,26.35,320710000.0,FASE OPERACIONAL
GPS,GGPS3,13.71,13.48,9.11,20460000.0,FASE OPERACIONAL
GRUPO MATEUS,GMAT3,6.55,14.78,5.79,30740000.0,FASE OPERACIONAL
GERDAU MET,GOAU3,9.71,0.66,26.28,1600000.0,FASE OPERACIONAL
GERDAU MET,GOAU4,10.21,0.66,26.28,82630000.0,FASE OPERACIONAL
GOL,GOLL4,9.52,-15.58,-23.16,103570000.0,FASE OPERACIONAL
CELGPAR,GPAR3,39.5,0.99,416.69,2450.0,FASE OPERACIONAL
GRENDENE,GRND3,7.51,16.79,13.61,10200000.0,FASE OPERACIONAL
GENERALSHOPP,GSHP3,23.0,25.74,40.95,88983.0,FASE OPERACIONAL
GUARARAPES,GUAR3,10.1,15.73,5.75,9760000.0,FASE OPERACIONAL
HAGA S/A,HAGA3,2.82,2.59,14.38,17870.0,FASE OPERACIONAL
HAGA S/A,HAGA4,1.32,2.59,14.38,30290.0,FASE OPERACIONAL
HAPVIDA,HAPV3,7.81,,0.27,347300000.0,FASE OPERACIONAL
HELBOR,HBOR3,2.91,13.3,13.48,2420000.0,FASE OPERACIONAL
HBR REALTY,HBRE3,5.05,3.74,276.30,274660.0,FASE OPERACIONAL
HIDROVIAS,HBSA3,2.44,33.76,13.32,10390000.0,FASE OPERACIONAL
HABITASUL,HBTS5,31.51,-59.33,-4.30,2770.0,FASE OPERACIONAL
HOTEIS OTHON,HOOT4,1.83,0.24,161.47,6550.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
HYPERA,HYPE3,42.93,15.4,32.94,114210000.0,FASE OPERACIONAL
INFRACOMM,IFCM3,5.89,-33.34,-8.85,4550000.0,FASE OPERACIONAL
IGB S/A,IGBR3,26.7,-54.25,-105.73,40690.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
IGUATEMI S.A,IGTI11,20.55,7.98,45.10,48940000.0,FASE OPERACIONAL
IGUATEMI S.A,IGTI3,2.42,7.98,45.10,496970.0,FASE OPERACIONAL
INEPAR,INEP3,0.77,0.71,5247.91,1660000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INEPAR,INEP4,0.77,0.71,5247.91,432340.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
INTELBRAS,INTB3,28.43,24.76,10.47,29240000.0,FASE OPERACIONAL
JALLESMACHAD,JALL3,7.25,4.34,49.81,6240000.0,FASE OPERACIONAL
JBS,JBSS3,29.03,4.01,9.48,233140000.0,FASE OPERACIONAL
JOAO FORTES,JFEN3,0.81,-3.9,-4345.28,108940.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
JHSF PART,JHSF3,7.33,6.66,50.73,18810000.0,FASE OPERACIONAL
JOSAPAR,JOPA3,24.6,8.02,5.32,5420.0,FASE OPERACIONAL
JOSAPAR,JOPA4,35.09,8.02,5.32,10797.0,FASE OPERACIONAL
JSL,JSLG3,6.02,8.31,11.80,2640000.0,FASE OPERACIONAL
KEPLER WEBER,KEPL3,20.83,4.51,25.30,13070000.0,FASE OPERACIONAL
KLABIN S/A,KLBN11,18.7,6.27,36.05,128920000.0,FASE OPERACIONAL
KLABIN S/A,KLBN3,3.76,6.27,36.05,1490000.0,FASE OPERACIONAL
KLABIN S/A,KLBN4,3.74,6.27,36.05,5970000.0,FASE OPERACIONAL
KORA SAUDE,KRSA3,2.66,20.4,11.16,705770.0,FASE OPERACIONAL
TERRASANTAPA,LAND3,27.48,41.27,58.27,1250000.0,FASE OPERACIONAL
LAVVI,LAVV3,5.37,5.35,19.40,4920000.0,FASE OPERACIONAL
NOT FOUND,LCAM3,,,,,
METAL LEVE,LEVE3,24.43,5.43,16.40,4520000.0,FASE OPERACIONAL
LIGHT S/A,LIGT3,5.75,7.01,9.83,23750000.0,FASE OPERACIONAL
ELETROPAR,LIPR3,70.0,34.03,,6780.0,FASE OPERACIONAL
QUERO-QUERO,LJQQ3,6.39,10.65,5.76,18730000.0,FASE OPERACIONAL
LE LIS BLANC,LLIS3,1.67,-3.17,-60.01,575330.0,FASE OPERACIONAL
LOG COM PROP,LOGG3,25.73,8.73,274.08,6200000.0,FASE OPERACIONAL
LOG-IN,LOGN3,37.92,15.75,17.82,10460000.0,FASE OPERACIONAL
LOPES BRASIL,LPSB3,2.96,13.89,13.16,736910.0,FASE OPERACIONAL
