Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
COPEL,CPLE11,36.36,7.77,16.2,12450200.0
COPEL,CPLE3,6.65,7.32,16.2,6687360.0
COPEL,CPLE5,23.0,19.35,16.2,4466.0
COPEL,CPLE6,7.45,7.9,16.2,93668000.0
CR2,CRDE3,15.98,-3.01,-137.6,12836.0
CARREFOUR BR,CRFB3,14.22,11.21,4.5,84912200.0
CRISTAL,CRPG3,55.0,15.68,10.1,0.0
CRISTAL,CRPG5,26.35,6.63,10.1,155417.0
CRISTAL,CRPG6,27.4,6.96,10.1,14632.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,15.66,13.32,14.5,151382000.0
CRUZEIRO EDU,CSED3,2.99,3.86,16.4,2274670.0
COPASA MG,CSMG3,14.0,7.41,18.3,21591400.0
CSN,CSNA3,17.06,4.03,25.1,151743000.0
COSERN,CSRN3,25.78,8.44,22.4,3597.0
COSERN,CSRN5,24.06,8.08,22.4,1530.0
COSERN,CSRN6,26.99,8.7,22.4,815.0
CSU DIGITAL,CSUD3,10.9,4.52,19.2,1001180.0
KARSTEN,CTKA3,21.46,29.09,3.9,98.0
KARSTEN,CTKA4,9.33,25.91,3.9,2719.0
COTEMINAS,CTNM3,5.0,83.54,0.8,561.0
COTEMINAS,CTNM4,1.64,76.94,0.8,23888.0
SANTANENSE,CTSA3,2.3,-23.45,-1.7,7288.0
SANTANENSE,CTSA4,1.55,-20.9,-1.7,30479.0
CURY S/A,CURY3,12.76,7.64,21.4,18413800.0
CVC BRASIL,CVCB3,3.79,-11.17,-9.9,91647700.0
CYRELA BRAZIL REALTY,CYRE3,15.15,10.94,13.3,114116000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,9.45,18.75,5.6,4165810.0
DESKTOPSIGMA,DESK3,8.9,8.53,24.9,1575380.0
DEXXOS PAR,DEXP3,7.89,4.46,9.2,914288.0
DEXXOS PAR,DEXP4,7.03,4.06,9.2,38956.0
Direcional Engenharia,DIRR3,15.95,6.82,18.9,32496400.0
D1000VFARMA,DMVF3,3.84,1.4,8.7,147003.0
DOHLER,DOHL3,10.0,78.93,1.6,0.0
DOHLER,DOHL4,4.17,35.75,1.6,7324.0
DOTZ SA,DOTZ3,0.88,0.16,-28.5,87056.0
DTCOM,DTCY3,5.0,-20.98,-34.4,731.0
DEXCO,DXCO3,6.88,6.23,17.3,34127500.0
ELECTRO AÇO ALTONA S/A,EALT3,9.2,6.04,11.1,1884.0
ELECTRO AÇO ALTONA S/A,EALT4,7.03,5.13,11.1,157727.0
ECORODOVIAS,ECOR3,3.87,9.24,24.3,21444700.0
ENGIE BRASIL,EGIE3,38.03,8.02,49.5,66322700.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,36.96,5.72,23.1,1626.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,37.0,5.72,23.1,9276.0
ELETROBRÁS,ELET3,37.03,19.03,16.9,487795000.0
ELETROBRÁS,ELET5,62.46,28.23,16.9,426.0
ELETROBRÁS,ELET6,39.28,19.84,16.9,103336000.0
ELETROMIDIA,ELMD3,12.2,25.8,12.4,3520130.0
EMAE,EMAE4,48.38,338.37,0.8,358847.0
EMBRAER,EMBR3,16.12,12.88,7.6,110657000.0
ENAUTA PART,ENAT3,14.54,3.64,35.4,16024900.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,19.95,5.31,23.3,70358300.0
ENEVA,ENEV3,11.7,19.16,23.0,120125000.0
ENERGISA,ENGI11,40.63,6.3,22.3,114853000.0
ENERGISA,ENGI3,13.11,7.97,22.3,167731.0
ENERGISA,ENGI4,6.84,5.87,22.3,209323.0
ENJOEI,ENJU3,0.8,1.49,-84.3,1163780.0
ENERGISA MT,ENMT3,80.6,11.11,26.2,13183.0
ENERGISA MT,ENMT4,82.5,11.33,26.2,5763.0
EMBPAR S/A,EPAR3,9.56,2.37,6.4,11737.0
EQTL PARA,EQPA3,6.17,6.81,27.1,158231.0
EQTL PARA,EQPA5,8.64,9.14,27.1,75.0
EQTL PARA,EQPA6,10.69,11.07,27.1,0.0
EQTL PARAC,EQPA7,8.0,8.53,27.1,211.0
EQUATORIAL ENERGIA S.A.,EQTL3,26.75,8.62,22.8,184494000.0
ESPACOLASER,ESPA3,1.21,25.62,6.0,5451420.0
ESTRELA,ESTR3,40.0,7.51,9.3,0.0
ESTRELA,ESTR4,39.99,7.51,9.3,1636.0
ETERNIT,ETER3,13.65,4.23,17.4,7055180.0
EUCATEX,EUCA3,10.49,3.31,17.1,138694.0
EUCATEX,EUCA4,10.99,3.42,17.1,1063820.0
Even,EVEN3,4.59,2.79,10.8,5546860.0
EZTec,EZTC3,13.26,14.88,17.2,33017500.0
FERBASA,FESA3,58.29,3.48,43.1,3698.0
FERBASA,FESA4,57.82,3.45,43.1,8449640.0
Fer Heringer,FHER3,17.3,2.77,7.0,2143950.0
INVESTIMENTOS BEMGE,FIGE3,12.03,,,0.0
INVESTIMENTOS BEMGE,FIGE4,38.01,,,0.0
UNIFIQUE,FIQE3,3.1,5.52,25.4,715807.0
FLEURY,FLRY3,14.5,11.0,17.0,44553400.0
FRAS-LE S.A.,FRAS3,10.31,7.02,12.8,2809790.0
Metalfrio,FRIO3,25.3,8.87,6.5,287.0
POMIFRUTAS,FRTA3,2.55,-12.4,-74.4,3594.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,25.59,9.11,26.0,5854.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,25.1,8.97,26.0,11805.0
GAFISA,GFSA3,9.81,-253.95,-0.8,102588000.0
GERDAU S.A.,GGBR3,23.97,2.36,21.9,1069220.0
GERDAU S.A.,GGBR4,28.32,2.75,21.9,353030000.0
GPS,GGPS3,11.83,10.88,9.0,16960900.0
GRUPO MATEUS,GMAT3,6.36,14.44,5.7,41136400.0
METALÚRGICA GERDAU,GOAU3,11.84,0.85,21.9,2447520.0
METALÚRGICA GERDAU,GOAU4,12.47,0.89,21.9,117816000.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,6.29,-7.83,-12.9,86973000.0
CELGPAR,GPAR3,45.0,54.45,26.8,1620.0
GRENDENE SA,GRND3,6.33,15.12,12.2,9029830.0
Generalshopp,GSHP3,16.8,30.57,36.6,4589.0
GUARARAPES CONFECÇÕES,GUAR3,4.33,14.92,3.6,15172000.0
HAGA,HAGA3,2.66,-6.22,-11.7,32778.0
HAGA,HAGA4,1.07,-0.55,-11.7,18235.0
HAPVIDA,HAPV3,4.54,-111.35,-1.8,277137000.0
Helbor,HBOR3,2.07,31.28,6.0,3032830.0
HBR REALTY,HBRE3,4.0,3.35,262.3,526336.0
HIDROVIAS,HBSA3,1.81,30.46,11.7,12610000.0
CIA HABITASUL,HBTS5,30.05,6.93,41.6,548.0
HERCULES S/A,HETA3,96.0,130.06,92.5,0.0
