Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ISA CTEEP,TRPL3,30.86,4.89,118.10,111103.29,[]
ISA CTEEP,TRPL4,26.74,4.89,118.10,33439801.48,[]
TUPY,TUPY3,24.6,16.72,5.65,33613759.86,[]
TÊXTIL RENAUXVIEW,TXRX3,35.9,23.05,14.19,20615.64,[]
TÊXTIL RENAUXVIEW,TXRX4,9.74,23.05,14.19,41010.38,[]
UNICASA,UCAS3,5.02,11.12,14.51,650287.43,[]
ULTRAPAR PARTICIPAÇÕES,UGPA3,19.3,18.44,2.23,131968592.81,[]
UNIPAR CARBOCLORO,UNIP3,92.99,7.31,27.88,5083985.0,[]
UNIPAR CARBOCLORO,UNIP5,101.71,7.31,27.88,181634.78,[]
UNIPAR CARBOCLORO,UNIP6,103.41,7.31,27.88,36158746.71,[]
USIMINAS,USIM3,20.35,5.60,24.81,10388570.29,[]
USIMINAS,USIM5,19.86,5.60,24.81,499446266.33,[]
USIMINAS,USIM6,26.0,5.60,24.81,27294.0,[]
VALE,VALE3,114.7,7.25,34.21,3142004954.14,[]
VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.,VAMO3,53.0,32.57,24.23,35980967.71,[]
VIVARA,VIVA3,30.11,37.56,17.58,33452030.62,[]
VIVER INCORPORADORA E CONSTRUTORA ,VIVR3,2.46,-3.27,-234.87,26575011.86,['RECUPERAÇÃO JUDICIAL']
TELEFÔNICA BRASIL,VIVT3,44.2,12.67,14.76,86795914.9,[]
VALID,VLID3,9.84,-13.56,-6.19,7300785.1,[]
VULCABRAS,VULC3,9.16,45.81,4.18,6432249.05,[]
VIA VAREJO,VVAR3,12.96,17.54,5.38,407924666.05,[]
WEG,WEGE3,34.15,44.26,16.94,282386339.14,[]
WESTWING COMERCIO VAREJISTA S.A.,WEST3,9.52,-28.64,-8.73,6528184.48,[]
WHIRLPOOL,WHRL3,7.08,8.44,10.90,95109.81,[]
WHIRLPOOL,WHRL4,8.05,8.44,10.90,204708.43,[]
WIZ,WIZS3,12.87,5.14,40.75,47409482.05,[]
WLM INDÚSTRIA E COMÉRCIO,WLMM3,27.0,10.21,8.02,21259.75,[]
WLM INDÚSTRIA E COMÉRCIO,WLMM4,33.79,10.21,8.02,67720.86,[]
YDUQS,YDUQ3,32.9,49.26,6.74,67159604.1,[]
