Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
aalr3,"12,42","6,19","17,07",-,"8,95%",ON,"0,000",0,"1,44","1,44",14.481,128.736,9,1.119.655.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.692.409.000,563.769.000,841.166.000,254.478.000,586.688.000,1.469.196.775,2.055.884.775,Novo Mercado,"6,83%",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,6.067,124,42,5.901,-,
abcb4,"20,81","20,12","24,65","7,33","0,82%",PN,"0,000",42,"0,06","0,06",599.637,14.978.932,32,6.378.306.000,"0,8360","0,7850","6,10%","0,0000","6,10%",69.206.300.000,5.331.598.000,-,5.331.598.000,-,5.091.309.194,5.091.309.194,Nível 2,"30,23%",Financeiro e Outros,Intermediários Financeiros,Bancos,40.904,282,474,40.148,-,
abev3,"12,59","11,09","14,07","5,80","-3,89%",ON,"2,596",268,"0,17","0,17",4.646.374,57.847.356,458,98.140.388.000,"0,0000","0,0000","0,00%","0,0000","0,00%",147.286.361.000,42.672.930.000,3.380.273.000,20.939.039.000,-17.558.766.000,198.388.905.860,180.830.139.860,,"27,89%",Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,310.643,652,1.897,308.094,-,
adhm3,"1,56",-,-,-,-%,ON,"0,000",0,"5,00","5,00",38,72,1,-19.776.000,"0,0000","0,0000","0,00%","0,0000","0,00%",242.000,23.000,0,0,0,25.439.770,25.439.770,,--%,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,709,0,15,694,-,
aeri3,"5,41","5,09","20,20",-,"-68,91%",ON,"0,000",3,"0,46","0,46",1.112.102,622.777,28,1.037.685.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.580.115.000,2.285.015.000,1.453.382.000,881.323.000,572.059.000,336.070.260,908.129.260,Novo Mercado,"57,08%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,82.804,213,223,82.368,-,
aesb3,"8,12","8,11","12,54","0,92","-24,68%",ON,"0,000",13,"0,06","0,06",629.250,6.412.058,65,4.184.441.000,"0,0000","0,0746","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,4.904.883.418,15.185.011.418,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,210.278,312,674,209.292,-,
aflt3,"6,79","6,61","8,09","1,87","-7,74%",ON,"0,000",0,"2,75","2,75",400,3.484,2,247.459.000,"0,2626","0,1272","51,55%","0,0000","51,55%",314.207.000,77.347.000,0,21.139.000,-21.139.000,428.345.113,407.206.113,,"1,33%",Utilidade Pública,Energia Elétrica,Energia Elétrica,3.360,102,172,3.086,-,
agro3,"23,67","21,81","26,43","6,57","4,78%",ON,"0,000",16,"0,15","0,15",245.764,6.094.947,53,2.179.679.000,"3,2124","1,5560","51,56%","0,0000","51,56%",3.605.082.000,1.099.490.000,1.043.998.000,193.894.000,850.104.000,2.430.517.119,3.280.621.119,Novo Mercado,"61,82%",Consumo não Cíclico,Agropecuária,Agricultura,116.757,220,372,116.165,-,
agxy3,"0,51","0,39","4,06",-,"-87,25%",ON,"0,000",0,"6,41","6,41",30.343,60.686,18,705.136.000,"0,0397","0,0000","100,00%","0,0000","100,00%",6.513.329.000,4.248.707.000,1.442.012.000,393.261.000,1.048.751.000,129.817.224,1.178.568.224,Novo Mercado,"31,94%",Consumo não Cíclico,Agropecuária,Agricultura,1.842,60,7,1.775,-,
aheb3,"38,00","14,99","38,00",-,"123,40%",ON,"0,000",0,"2,00","2,00",11,0,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,324.327.930,255.446.930,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb5,"41,00","16,59","41,00",-,"147,14%",PNA,"0,000",0,"0,01","0,01",2,40,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,324.327.930,255.446.930,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb6,"35,50","20,00","35,50",-,"77,50%",PNB,"0,000",0,"2,00","2,00",100,0,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,324.327.930,255.446.930,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
alld3,"8,96","5,05","8,96","17,40","77,43%",ON,"0,000",0,"5,35","5,35",19.400,184.300,10,1.596.435.000,"0,0000","1,0698","0,00%","1,3002","0,00%",3.637.042.000,2.514.085.000,600.594.000,421.621.000,178.973.000,839.006.030,1.017.979.030,Novo Mercado,"28,90%",Consumo Cíclico,Comércio,Eletrodomésticos,5.659,76,68,5.515,-,
alpa3,"6,34","6,11","10,79",-,"-35,50%",ON,"0,000",0,"5,00","5,00",100,1.004,1,3.956.053.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.619.179.000,3.477.619.000,1.374.074.000,1.419.235.000,-45.161.000,4.509.261.285,4.464.100.285,Nível 1,"25,93%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpa4,"6,86","6,54","10,32",-,"-28,32%",PN,"0,056",77,"0,54","0,54",1.047.397,9.876.954,162,3.956.053.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.619.179.000,3.477.619.000,1.374.074.000,1.419.235.000,-45.161.000,4.509.261.285,4.464.100.285,Nível 1,"25,93%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpk3,"3,10","2,61","4,93",-,"-26,19%",ON,"0,000",0,"5,00","5,00",1.300,5.837,1,356.524.000,,,%,,%,2.636.881.000,512.995.000,1.517.049.000,271.687.000,1.245.362.000,672.774.478,1.918.136.478,Novo Mercado,"40,77%",Bens Industriais,Serviços,Serviços Diversos,5.068,51,38,4.979,-,
