Ticker,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2024,P/Ativos,Marg. Líquida,2023,P/Cap. Giro,EBIT / Ativo,2022,P/Ativ Circ Liq,ROIC,2021,Div. Yield,ROE,2020,EV / EBITDA,Liquidez Corr,2019,EV / EBIT,Div Br/ Patrim,,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,EBIT,Lucro Líquido,2018,2017,2016,2015,2014,2013,Depósitos,Cart. de Crédito,Result Int Financ,Rec Serviços,1,-1,-2,-3,-4,2012,2011,2010
CIQU4,CIQU4,"12,49",PN,20/03/2015,CACIQUE PN,"0,00",,"0,00",,0,311.601.000,30/09/2014,550.260.000,24.948.000,"0,00%","6,63","1,88","0,00%","1,05","11,87","0,00%","4,25","26,2%","0,00%","0,41","9,7%",,"0,51","6,2%",,"3,33","12,1%",,"7,55","12,7%",,"0,0%","15,9%",,"5,23","1,36","0,00%","7,50","0,84",,"16,2%","1,25",605.562.000,247.325.000,8.666.000,238.659.000,350.632.000,296.175.000,211.265.000,20.413.000,-2.537.000,"0,00%","0,00%","0,00%","17,39%","-23,89%",,,,,,,,,,,,,
CLAN3,CLAN3,"0,00",ON,-,CLARION ON,"0,00",,"0,00",,0,0,31/12/2012,-,158.703.000,"0,00%","0,00","0,00","0,00%","0,00","0,00","0,00%",-,-,"0,00%",-,-,,-,"0,0%",,-,"0,0%",,-,-,,"0,0%","-1,0%",,-,-,,-,-,,"-64,0%",-,1.171.790.000,85.798.000,8.000,85.790.000,84.641.000,1.012.240.000,4.309.000,38.487.000,41.218.000,,,,,,,,,,,"0,00%","0,00%","0,00%","0,00%","0,00%",,,
CLAN4,CLAN4,"3,00",PN,07/02/2013,CLARION PN,"0,00",,"0,00",,0,476.109.000,31/12/2012,561.899.000,158.703.000,"0,00%","-44,92","-0,07","0,00%","0,47","6,38","0,00%","-82,56","3,1%","0,00%","15,15","-18,4%",,"0,41","-33,7%",,"-15,50","-0,5%",,"-6,36","-0,5%",,"0,0%","-1,0%",,"22,68","0,73",,"-97,43","0,08",,"-64,0%","0,03",1.171.790.000,85.798.000,8.000,85.790.000,84.641.000,1.012.240.000,4.309.000,38.487.000,41.218.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
CLSA3,CLSA3,"9,84",ON NM,10/12/2024,CLEARSALE ON NM,"3,02",Serviços Financeiros Diversos,"9,89",Serviços Financeiros Diversos,17.797.200,1.849.190.000,30/09/2024,1.497.310.000,187.926.000,"0,10%","-75,23","-0,13","0,82%","2,65","3,71","0,72%","-26,27","35,0%","165,23%","3,86","-14,7%","162,40%","2,16","-5,1%","-33,39%","5,27","-8,2%","-37,44%","5,53","-15,2%","-68,42%","0,0%","-3,5%","0,00%","-62,32","3,44","0,00%","-21,27","0,02",,"-1,2%","0,56",857.970.000,11.331.000,363.209.000,-351.878.000,494.980.000,697.085.000,114.394.000,-26.803.000,-10.340.000,,,,,,,,,,,,,,,,,,
CLSC3,CLSC3,"75,00",ON N2,09/12/2024,CELESC ON N2,"56,03",Energia Elétrica,"78,19",Energia Elétrica,10.257,2.892.900.000,30/09/2024,5.891.600.000,38.572.000,"0,00%","4,29","17,49","0,00%","0,86","87,71","0,00%","2,54","17,6%","31,12%","0,28","10,9%","26,81%","0,22","6,5%","34,25%","2,87","8,5%","-10,49%","-0,50","10,2%","10,08%","3,7%","19,9%","29,02%","3,99","1,31","-9,67%","5,17","1,28",,"4,1%","0,78",13.421.500.000,4.335.540.000,1.336.850.000,2.998.690.000,4.226.280.000,3.382.980.000,2.626.660.000,157.750.000,76.137.000,,,,,,,,,,,,,,,,,,
CLSC4,CLSC4,"81,95",PN N2,10/12/2024,CELESC PN N2,"58,60",Energia Elétrica,"84,53",Energia Elétrica,207.101,3.160.980.000,30/09/2024,6.159.670.000,38.572.000,"0,61%","4,69","17,49","-1,15%","0,93","87,71","-1,22%","2,77","17,6%","36,83%","0,30","10,9%","30,73%","0,24","6,5%","31,73%","3,14","8,5%","-12,91%","-0,54","10,2%","32,37%","3,7%","19,9%","13,72%","4,17","1,31","8,42%","5,40","1,28",,"4,1%","0,78",13.421.500.000,4.335.540.000,1.336.850.000,2.998.690.000,4.226.280.000,3.382.980.000,2.626.660.000,157.750.000,76.137.000,,,,,,,,,,,,,,,,,,
CLSC5,CLSC5,"39,01",PNA N2,25/04/2011,CELESC PNA N2,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,1.504.690.000,30/09/2024,4.503.390.000,38.572.000,"0,00%","2,23","17,49","0,00%","0,44","87,71","0,00%","1,32","17,6%","0,00%","0,14","10,9%",,"0,11","6,5%",,"1,49","8,5%",,"-0,26","10,2%",,"0,0%","19,9%",,"3,05","1,31",,"3,95","1,28",,"4,1%","0,78",13.421.500.000,4.335.540.000,1.336.850.000,2.998.690.000,4.226.280.000,3.382.980.000,2.626.660.000,157.750.000,76.137.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
CLSC6,CLSC6,"0,00",PNB N2,-,CELESC PNB N2,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,0,30/09/2024,-,38.572.000,"0,00%","0,00","0,00","0,00%","0,00","0,00","0,00%",-,-,"0,00%",-,-,,-,-,,-,"0,0%",,-,-,,"0,0%",-,,-,-,,-,-,,"4,1%",-,13.421.500.000,4.335.540.000,1.336.850.000,2.998.690.000,4.226.280.000,3.382.980.000,2.626.660.000,157.750.000,0,,,,,,,,,,,"0,00%","0,00%","0,00%","0,00%","0,00%",,,
CMET4,CMET4,"3,91",PN,03/05/2006,CAEMI PN,"0,00",,"0,00",,0,15.326.200.000,31/03/2006,14.301.200.000,3.919.750.000,"0,00%","8,10","0,48","0,00%","5,38","0,73","0,00%","5,72","60,0%","0,00%","3,07","53,6%",,"3,14","43,0%",,"9,47","54,8%",,"27,20","81,4%",,"0,0%","66,4%",,"5,34","2,64",,"5,34","0,18",,"30,2%","1,02",4.887.690.000,502.845.000,1.527.850.000,-1.025.010.000,2.603.240.000,2.847.970.000,1.131.320.000,527.932.000,294.553.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
CMIG3,CMIG3,"15,08",ON N1,10/12/2024,CEMIG ON N1,"9,38",Energia Elétrica,"15,53",Energia Elétrica,2.524.460,43.155.700.000,30/09/2024,50.668.700.000,2.861.780.000,"1,07%","5,39","2,80","0,53%","1,54","9,81","4,65%","5,82","21,8%","46,44%","1,12","19,2%","40,64%","0,68","20,7%","0,13%","63,72","11,8%","22,61%","-2,31","13,9%","36,17%","8,5%","28,5%","12,50%","5,77","1,04","4,12%","6,83","0,50",,"11,0%","0,61",63.006.900.000,14.134.300.000,6.621.240.000,7.513.040.000,16.272.700.000,28.060.000.000,10.148.900.000,1.502.380.000,3.279.630.000,,,,,,,,,,,,,,,,,,
CMIG4,CMIG4,"11,66",PN N1,10/12/2024,CEMIG PN N1,"7,22",Energia Elétrica,"12,09",Energia Elétrica,157.084.000,33.368.400.000,30/09/2024,40.881.400.000,2.861.780.000,"0,26%","4,17","2,80","-2,02%","1,19","9,81","3,28%","4,50","21,8%","60,22%","0,86","19,2%","45,63%","0,53","20,7%","13,35%","49,27","11,8%","23,40%","-1,79","13,9%","10,67%","11,0%","28,5%","12,99%","4,66","1,04","1,28%","5,51","0,50",,"11,0%","0,61",63.006.900.000,14.134.300.000,6.621.240.000,7.513.040.000,16.272.700.000,28.060.000.000,10.148.900.000,1.502.380.000,3.279.630.000,,,,,,,,,,,,,,,,,,
CMIN3,CMIN3,"5,72",ON N2,10/12/2024,CSNMINERACAO ON N2,"4,32",Mineração,"7,13",Minerais Metálicos,44.119.800,31.376.100.000,30/09/2024,25.623.900.000,5.485.340.000,"2,33%","8,11","0,71","8,33%","3,51","1,63","-2,22%","5,70","51,3%","-9,49%","1,83","32,0%","-17,46%","0,91","22,5%","118,85%","4,31","16,0%","-25,60%","-3,52","30,6%","-21,06%","14,2%","43,3%","0,00%","3,86","1,78","0,00%","4,66","0,98",,"-2,6%","0,50",34.460.000.000,8.740.340.000,14.492.600.000,-5.752.210.000,16.603.500.000,8.945.330.000,3.966.840.000,851.625.000,446.307.000,,,,,,,,,,,,,,,,,,
CMMA4,CMMA4,"0,81",PN,13/01/2005,CMA PARTICIPACOES SA PN,"0,00",,"0,00",,0,0,31/12/2004,-4.000,0,"0,00%","0,00","0,00","0,00%","0,00","0,00","0,00%",-,-,"0,00%",-,-,,-,"0,0%",,-,"-3.200,0%",,-,-,,"0,0%","-1,9%",,"0,03",-,,"0,03",-,,-,-,4.000,0,4.000,-4.000,4.000,-79.623.000,0,-36.000,1.746.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
CNFB4,CNFB4,"5,99",PN N1,11/05/2012,CONFAB PN N1,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0,2.433.530.000,31/03/2012,2.957.370.000,406.266.000,"0,00%","9,01","0,66","0,00%","1,57","3,82","0,00%","8,27","30,7%","0,00%","1,51","18,3%",,"0,87","16,8%",,"3,47","10,5%",,"53,95","12,0%",,"0,0%","17,4%",,"7,85","2,20",,"10,05","0,47",,"-10,6%","0,58",2.790.060.000,724.644.000,200.804.000,523.840.000,1.282.700.000,1.552.470.000,340.402.000,57.115.000,48.185.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
CNTO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCE3,COCE3,"26,01",ON,06/12/2024,CIA ENERG CEARA - COELCE ON,"26,01",Energia Elétrica,"50,02",Energia Elétrica,627,2.025.010.000,30/09/2024,7.259.450.000,77.855.000,"0,00%","6,96","3,74","-14,72%","0,40","64,79","-8,77%","1,49","18,9%","-46,98%","0,24","16,4%","-46,98%","0,15","3,5%","-12,15%","-0,88","9,9%","0,00%","-0,35","11,0%","-14,25%","3,7%","5,8%","48,09%","3,66","0,55","35,74%","5,33","1,07",,"9,8%","0,61",13.711.000.000,5.396.610.000,162.165.000,5.234.440.000,2.803.690.000,5.043.900.000,2.354.180.000,330.178.000,68.157.000,,,,,,,,,,,,,,,,,,
COCE5,COCE5,"24,90",PNA,10/12/2024,CIA ENERG CEARA - COELCE PNA,"23,60",Energia Elétrica,"44,42",Energia Elétrica,2.479.210,1.938.590.000,30/09/2024,7.173.030.000,77.855.000,"2,13%","6,66","3,74","-0,40%","0,38","64,79","-7,98%","1,42","18,9%","-41,76%","0,23","16,4%","-40,98%","0,14","3,5%","-3,10%","-0,85","9,9%","-19,67%","-0,33","11,0%","3,04%","3,9%","5,8%","0,40%","3,62","0,55","36,89%","5,26","1,07",,"9,8%","0,61",13.711.000.000,5.396.610.000,162.165.000,5.234.440.000,2.803.690.000,5.043.900.000,2.354.180.000,330.178.000,68.157.000,,,,,,,,,,,,,,,,,,
COCE6,COCE6,"35,00",PNB,20/03/2012,CIA ENERG CEARA - COELCE PNB,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,2.724.920.000,30/09/2024,7.959.370.000,77.855.000,"0,00%","9,36","3,74","0,00%","0,54","64,79","0,00%","2,00","18,9%","0,00%","0,33","16,4%",,"0,20","3,5%",,"-1,19","9,9%",,"-0,46","11,0%",,"0,0%","5,8%",,"4,02","0,55",,"5,84","1,07",,"9,8%","0,61",13.711.000.000,5.396.610.000,162.165.000,5.234.440.000,2.803.690.000,5.043.900.000,2.354.180.000,330.178.000,68.157.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
COGN3,COGN3,"1,20",ON,10/12/2024,COGNA ON,"1,15",Diversos,"3,50",Serviços Educacionais,57.592.800,2.251.930.000,30/09/2024,8.014.330.000,1.876.610.000,"4,35%","-5,08","-0,24","-6,98%","0,19","6,19","-11,76%","1,77","66,2%","-63,96%","0,37","21,0%","-65,62%","0,09","-7,6%","64,62%","1,40","5,3%","-13,82%","-0,32","5,9%","-46,87%","0,0%","-3,8%","-59,49%","4,13","1,61","24,92%","6,29","0,59",,"2,4%","0,25",23.867.000.000,6.888.670.000,1.126.270.000,5.762.400.000,4.221.240.000,11.616.200.000,1.281.610.000,139.195.000,-29.121.000,,,,,,,,,,,,,,,,,,
