Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
syne3,"7,83","3,06","8,80","36,81","148,57%",ON,"0,000",0,"7,20","7,20",8.591,75.257,9,2.005.942.000,"0,0000","2,8825","0,00%","0,0000","0,00%",4.529.388.000,1.849.055.000,997.242.000,1.368.106.000,-370.864.000,1.195.206.004,824.342.004,Novo Mercado,"38,90%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,23.135,131,183,22.821,-,
taee11,"33,54","32,33","35,89","10,53","-0,74%",,"0,359",122,"0,28","0,28",1.178.375,42.480.419,688,6.768.231.000,"2,9145","3,5325","21,20%","0,0000","21,20%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.554.493.341,20.611.600.341,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,1 ON (TAEE3)
taee3,"11,17","10,57","11,72","9,74","1,18%",ON,"0,000",0,"8,45","8,45",485,5.796,4,6.768.231.000,"0,9715","1,0878","11,97%","0,0897","21,20%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.554.493.341,20.611.600.341,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,
taee4,"11,24","10,80","11,95","10,48","-0,53%",PN,"0,000",0,"6,81","6,81",98,1.184,2,6.768.231.000,"0,9715","1,1775","21,20%","0,0000","21,20%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.554.493.341,20.611.600.341,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,
tasa3,"9,18","9,18","15,03","3,31","-34,48%",ON,"0,000",0,"11,89","11,89",183,2.507,2,1.197.995.000,"1,3956","0,3035","78,26%","0,0000","78,26%",2.324.478.000,1.285.016.000,621.607.000,164.558.000,457.049.000,1.144.060.607,1.601.109.607,Nível 2,"59,57%",Bens Industriais,Máquinas e Equipamentos,Armas e Munições,83.896,8,582,83.306,-,
tasa4,"8,95","8,95","15,23","3,39","-36,43%",PN,"0,000",21,"0,41","0,41",132.856,1.737.756,38,1.197.995.000,"1,3956","0,3035","78,26%","0,0000","78,26%",2.324.478.000,1.285.016.000,621.607.000,164.558.000,457.049.000,1.144.060.607,1.601.109.607,Nível 2,"59,57%",Bens Industriais,Máquinas e Equipamentos,Armas e Munições,83.896,8,582,83.306,-,
tcno3,"1,20",-,-,-,-%,ON,"0,000",0,"2,00","2,00",2.800,0,1,-946.000,"0,0000","0,0000","0,00%","0,0000","0,00%",236.846.000,39.894.000,33.829.000,7.000,33.822.000,6.451.073,40.273.073,,--%,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,-,0,0,0,-,
tcno4,"0,85",-,-,-,-%,PN,"0,000",0,"2,00","2,00",2,0,1,-946.000,"0,0000","0,0000","0,00%","0,0000","0,00%",236.846.000,39.894.000,33.829.000,7.000,33.822.000,6.451.073,40.273.073,,--%,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,-,0,0,0,-,
tcsa3,"1,31","1,31","4,07",-,"-57,05%",ON,"0,000",2,"1,88","1,88",30.883,92.649,12,439.733.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.450.086.000,673.948.000,707.510.000,196.166.000,511.344.000,96.441.191,607.785.191,Novo Mercado,"60,99%",Consumo Cíclico,Construção Civil,Incorporações,41.151,112,141,40.898,-,
tecn3,"5,46","3,20","6,25","2,79","62,99%",ON,"0,000",0,"14,91","14,91",3.006,13.226,3,404.134.000,"0,0820","0,1524","85,84%","0,0000","85,84%",693.470.000,463.831.000,107.033.000,124.494.000,-17.461.000,350.019.934,332.558.934,Novo Mercado,"35,03%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,15.499,34,56,15.409,-,
teka3,"42,50","0,00","50,00",-,"360,46%",ON,"0,000",0,"2,00","2,00",98,3.636,1,-2.136.020.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.212.975.000,130.529.000,573.172.000,260.000,572.912.000,17.025.968,589.937.968,,"67,86%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-,0,0,0,-,
teka4,"29,50","16,09","43,99",-,"71,71%",PN,"0,000",0,"10,00","10,00",1,0,1,-2.136.020.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.212.975.000,130.529.000,573.172.000,260.000,572.912.000,17.025.968,589.937.968,,"67,86%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-,0,0,0,-,
telb3,"12,35","12,35","17,00",-,"-23,53%",ON,"0,000",0,"10,00","10,00",22,312,1,1.224.967.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.958.068.000,1.726.468.000,67.735.000,1.336.125.000,-1.268.390.000,986.390.426,-281.999.574,,"3,68%",Comunicações,Telecomunicações,Telecomunicações,8.557,75,1.486,6.996,-,
telb4,"7,98","7,70","14,20",-,"-34,48%",PN,"0,000",0,"2,00","2,00",300,2.997,1,1.224.967.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.958.068.000,1.726.468.000,67.735.000,1.336.125.000,-1.268.390.000,986.390.426,-281.999.574,,"3,68%",Comunicações,Telecomunicações,Telecomunicações,8.557,75,1.486,6.996,-,
tend3,"13,00","9,42","17,63",-,"-2,11%",ON,"0,000",35,"0,67","0,67",757.510,9.324.948,56,946.012.000,"0,0000","0,0000","0,00%","0,0000","0,00%",4.920.061.000,2.280.027.000,1.240.488.000,738.017.000,502.471.000,1.600.225.198,2.102.696.198,Novo Mercado,"100,00%",Consumo Cíclico,Construção Civil,Incorporações,24.276,0,455,23.821,-,
tesa3,"48,00",-,-,-,-%,ON,"0,000",0,"5,00","5,00",3.200,0,3,858.223.000,,,%,,%,2.654.669.000,767.448.000,892.457.000,29.688.000,862.769.000,1.389.696.672,2.252.465.672,,--%,Consumo não Cíclico,Agropecuária,Agricultura,2,1,1,0,-,
tfco4,"8,86","8,86","14,80","1,97","-35,61%",PN,"0,000",0,"1,00","1,00",300,3.714,1,453.573.000,"0,1065","0,1746","63,92%","0,0000","63,92%",728.862.000,512.009.000,118.924.000,47.357.000,71.567.000,1.388.521.493,1.460.088.493,Nível 2,"5,50%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,9.986,133,145,9.708,-,
tgma3,"29,73","22,47","31,65","9,12","17,28%",ON,"0,000",0,"5,56","5,56",9.476,261.348,14,892.007.000,"1,7100","2,7100","58,48%","0,0000","58,48%",1.287.540.000,691.781.000,165.295.000,264.126.000,-98.831.000,1.962.266.663,1.863.435.663,Novo Mercado,"48,48%",Bens Industriais,Transporte,Transporte Rodoviário,11.428,148,207,11.073,-,
tiet11,"12,54",-,-,-,-%,,"0,000",0,"3,61","3,61",872.214,0,57,5.265.120.000,"0,0000","0,0000","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,5.004.795.801,15.284.923.801,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,1,0,1,0,-,1 ON (TIET3)
tiet3,"3,49",-,-,-,-%,ON,"0,000",0,"5,00","5,00",500,0,2,5.265.120.000,"0,0000","0,0000","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,5.004.795.801,15.284.923.801,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,1,0,1,0,-,
tiet4,"3,51",-,-,-,-%,PN,"0,000",0,"11,77","11,77",1.019,0,6,5.265.120.000,"0,0000","0,0000","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,5.004.795.801,15.284.923.801,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,1,0,1,0,-,
tims3,"15,35","15,33","18,79","7,45","-6,00%",ON,"0,613",52,"0,52","0,52",847.593,15.180.391,1.013,13.396.458.000,"0,6382","0,8723","36,68%","0,0000","36,68%",54.949.417.000,11.662.623.000,7.896.031.000,4.618.657.000,3.277.374.000,37.159.347.509,40.436.721.509,Novo Mercado,--%,Comunicações,Telecomunicações,Telecomunicações,1.488.716,83,229.157,1.259.476,-,
tkno3,"50,88","0,00","52,42","5,77",-%,ON,"0,000",0,"0,00","0,00",0,0,0,302.258.000,"0,0000","2,9345","0,00%","0,0000","0,00%",366.823.000,202.264.000,1.880.000,71.706.000,-69.826.000,186.887.001,117.061.001,,"31,65%",Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,484,7,4,473,-,
tkno4,"78,00","0,00","87,82",-,"29,94%",PN,"0,000",0,"5,00","5,00",1,70,1,302.258.000,"3,1519","0,0000","100,00%","0,0000","100,00%",366.823.000,202.264.000,1.880.000,71.706.000,-69.826.000,186.887.001,117.061.001,,"31,65%",Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,484,7,4,473,-,
