Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
CELESC,CLSC3,72.0,4.89,8.09,72034.91,[]
CELESC,CLSC4,68.01,4.89,8.09,430380.27,[]
CEMIG,CMIG3,14.57,6.79,18.66,10731877.1,[]
CEMIG,CMIG4,12.18,6.79,18.66,122625448.37,[]
CSN MINERAÇÃO S.A.,CMIN3,9.54,5.43,51.90,127447742.27,[]
COELCE,COCE3,70.84,17.30,6.40,15942.71,[]
COELCE,COCE5,56.7,17.30,6.40,936076.57,[]
COGNA ON,COGN3,3.98,-4.18,-61.43,167379239.07,[]
CPFL ENERGIA,CPFE3,28.37,8.95,16.55,68365290.03,[]
COPEL,CPLE11,28.84,5.08,22.77,0.0,[]
COPEL,CPLE3,5.37,5.08,22.77,12254203.53,[]
COPEL,CPLE6,5.83,5.08,22.77,77625927.8,[]
CR2,CRDE3,25.73,-3.07,-721.03,18670.96,[]
ATACADÃO,CRFB3,20.57,8.23,6.80,82580799.27,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,62.03,11.65,18.15,16774.71,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,69.5,11.65,18.15,973095.4,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,67.96,11.65,18.15,237432.76,[]
COSAN,CSAN3,22.34,21.72,17.98,185897373.1,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,13.4,35.68,9.77,4355159.87,[]
COPASA,CSMG3,17.6,7.12,24.20,42026975.8,[]
CIA SIDERURGICA NACIONAL,CSNA3,47.0,6.34,34.92,588384555.97,[]
COSERN,CSRN3,15.8,8.49,17.01,48031.62,[]
COSERN,CSRN5,15.7,8.49,17.01,9289.96,[]
COSERN,CSRN6,15.6,8.49,17.01,21158.6,[]
KARSTEN,CTKA3,31.3,7.90,22.07,36723.7,[]
KARSTEN,CTKA4,25.65,7.90,22.07,150859.07,[]
COTEMINAS,CTNM3,11.6,38.22,2.13,10002.2,[]
COTEMINAS,CTNM4,6.14,38.22,2.13,237552.1,[]
SANTANENSE,CTSA3,2.57,39.62,2.86,143622.53,[]
SANTANENSE,CTSA4,2.09,39.62,2.86,97551.27,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,10.17,13.190.78,19.66,11207987.13,[]
CVC BRASIL,CVCB3,24.72,-3.94,-224.58,154577935.1,[]
CYRELA,CYRE3,23.72,4.69,57.66,121986152.3,[]
DASA,DASA3,58.9,216.75,2.37,25785129.97,[]
DIRECIONAL ENGENHARIA,DIRR3,13.35,8.52,15.49,16180029.17,[]
DOMMO ENERGIA,DMMO3,0.91,-1.06,-53.90,6541216.83,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,9.03,57.45,0.66,2534984.07,[]
DOHLER,DOHL3,26.5,21.97,13.26,18617.29,[]
DOHLER,DOHL4,6.18,21.97,13.26,186066.53,[]
DTCOM,DTCY3,9.83,108.63,7.36,119840.66,[]
DURATEX,DTEX3,20.88,19.53,12.88,48737021.97,[]
ELECTRO ACO ALTONA,EALT3,15.98,8.95,12.86,45829.2,[]
ELECTRO ACO ALTONA,EALT4,6.93,8.95,12.86,537255.37,[]
ECORODOVIAS,ECOR3,12.03,15.90,21.64,56774947.5,[]
CEEE-GT,EEEL3,520.0,8.81,42.80,76000.0,[]
CEEE-GT,EEEL4,592.63,8.81,42.80,60000.0,[]
ENGIE BRASIL,EGIE3,40.08,7.81,46.31,66026281.87,[]
ELEKTRO,EKTR3,33.45,8.78,14.52,8495.33,[]
ELEKTRO,EKTR4,25.2,8.78,14.52,79931.88,[]
ELETROBRAS,ELET3,39.84,10.75,29.66,217756501.1,[]
ELETROBRAS,ELET5,67.2,10.75,29.66,66339.44,[]
ELETROBRAS,ELET6,39.86,10.75,29.66,94385043.53,[]
ELETROMIDIA S.A.,ELMD3,18.97,-50.48,-23.64,4065873.8,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,88.0,12.35,36.45,518359.37,[]
EMBRAER,EMBR3,15.99,-12.24,-8.38,176456916.3,[]
ENAUTA PARTICIPAÇÕES,ENAT3,14.8,9.04,35.15,31000066.47,[]
EDP Brasil,ENBR3,18.46,6.17,18.78,67910086.5,[]
ENEVA,ENEV3,16.54,23.35,34.43,120256157.13,[]
ENERGISA,ENGI11,45.25,11.32,13.29,0.527,[]
ENERGISA,ENGI3,16.5,11.32,13.29,304924.83,[]
ENERGISA,ENGI4,7.11,11.32,13.29,401745.4,[]
ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,ENJU3,11.84,-58.21,-39.09,23953911.13,[]
ENERGISA MATO GROSSO,ENMT3,52.95,15.32,18.28,87897.04,[]
ENERGISA MATO GROSSO,ENMT4,53.3,15.32,18.28,47116.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.42,9.86,19.90,308746.5,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA5,5.56,9.86,19.90,25618.88,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA7,5.11,9.86,19.90,21902.13,[]
EQUATORIAL ENERGIA,EQTL3,25.3,7.47,26.73,176413529.27,[]
MPM CORPÓREOS S.A.,ESPA3,16.5,63.83,13.16,19529655.13,[]
ESTRELA,ESTR4,31.1,3.25,18.15,59991.2,[]
ETERNIT,ETER3,29.21,7.92,27.60,76484263.37,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,23.1,9.24,10.81,349422.33,[]
EUCATEX,EUCA4,10.64,9.24,10.81,4952445.23,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.27,4.93,16.28,13600010.03,[]
EZ TEC,EZTC3,32.36,23.57,28.41,65852581.93,[]
FERBASA,FESA3,59.6,15.51,17.19,81766.57,[]
FERBASA,FESA4,39.5,15.51,17.19,18390516.2,[]
FERTILIZANTES HERINGER,FHER3,17.56,7.84,6.99,24399641.8,['RECUPERAÇÃO JUDICIAL']
FLEURY,FLRY3,26.22,17.51,18.04,47721832.37,[]
FRAS-LE,FRAS3,11.57,12.41,14.36,3521821.03,[]
METALFRIO SOLUTIONS,FRIO3,77.21,13.23,5.03,164265.83,[]
POMIFRUTAS,FRTA3,7.81,58.09,10.28,578521.47,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,39.0,2.60,95.99,12828.36,[]
RIO PARANAPANEMA,GEPA4,38.49,2.60,95.99,39340.22,[]
GAFISA,GFSA3,4.5,464.02,0.41,19923582.17,[]
GERDAU,GGBR3,28.5,8.07,16.26,5172255.7,[]
GERDAU,GGBR4,34.61,8.07,16.26,515126104.83,[]
GRUPO MATEUS S.A.,GMAT3,7.84,18.85,7.02,37381579.97,[]
NOTRE DAME INTERMEDICA,GNDI3,81.62,36.30,12.94,335731800.07,[]
METALURGICA GERDAU,GOAU3,14.48,3.10,16.23,1291197.47,[]
METALURGICA GERDAU,GOAU4,15.38,3.10,16.23,147010284.17,[]
GOL,GOLL4,25.39,-35.66,-52.17,165281808.97,[]
CELGPAR,GPAR3,59.0,19.00,86.08,17345.0,[]
GPC PARTICIPAÇÕES,GPCP3,37.31,7.09,17.70,6953008.27,[]
GPC PARTICIPAÇÕES,GPCP4,29.3,7.09,17.70,129130.05,[]
GRENDENE,GRND3,9.55,19.23,17.84,21808007.13,[]
GENERAL SHOPPING,GSHP3,42.3,104.53,17.69,92665.09,[]
GUARARAPES CONFECÇÕES,GUAR3,19.65,-334.73,-0.50,18020720.17,[]
HAGA S/A,HAGA3,3.6,3.37,27.46,69293.13,[]
HAGA S/A,HAGA4,2.69,3.37,27.46,652316.7,[]
HAPVIDA,HAPV3,14.74,44.47,14.81,163969052.03,[]
HELBOR,HBOR3,8.82,40.65,5.46,18767921.3,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,16.0,27.68,113.07,2643700.9,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,6.76,39.82,13.86,19058059.03,[]
HABITASUL,HBTS5,35.5,9.55,46.38,67943.63,[]
HERCULES,HETA4,10.13,-1.91,-10.956.88,93810.7,[]
CIA HERING,HGTX3,29.45,56.79,7.56,151313197.13,[]
HOTEIS OTHON S.A.,HOOT4,2.81,-0.32,-190.02,53204.3,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,33.73,18.39,32.20,102896412.8,[]
IGB ELETRÔNICA,IGBR3,12.75,-27.43,-655.78,890753.7,['RECUPERAÇÃO JUDICIAL']
IGUATEMI EMPRESA DE SHOPPING CENTERS,IGTA3,41.7,25.75,52.11,100434872.5,[]
INEPAR,INEP3,53.0,-3.79,-4.232.60,1503305.47,['RECUPERAÇÃO JUDICIAL']
INEPAR,INEP4,51.89,-3.79,-4.232.60,1999353.37,['RECUPERAÇÃO JUDICIAL']
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,25.4,19.20,17.62,29751946.77,[]
JALLES MACHADO S.A.,JALL3,8.78,9.83,40.67,6410619.8,[]
JB DUARTE,JBDU3,3.54,-3.63,-,436287.0,[]
JB DUARTE,JBDU4,3.32,-3.63,-,759892.63,[]
JBS,JBSS3,30.72,6.02,7.59,416972259.73,[]
JHSF,JHSF3,7.18,5.57,69.99,41571396.1,[]
JOSAPAR,JOPA3,28.55,6.66,7.51,15459.9,[]
JOSAPAR,JOPA4,73.93,6.66,7.51,23537.5,[]
JEREISSATI,JPSA3,29.54,13.63,49.40,8008093.03,[]
JSL S.A.,JSLG3,11.2,20.91,17.87,4481456.73,[]
KEPLER WEBER,KEPL3,53.59,12.40,12.34,12165254.47,[]
KLABIN,KLBN11,26.9,15.93,25.45,1.195,[]
KLABIN,KLBN3,5.8,15.93,25.45,1765198.87,[]
KLABIN,KLBN4,5.26,15.93,25.45,8873081.87,[]
LOJAS AMERICANAS,LAME3,18.14,30.82,5.44,83005315.47,[]
LOJAS AMERICANAS,LAME4,19.44,30.82,5.44,269191942.9,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,8.32,7.76,33.06,12767189.8,[]
LOCAMERICA,LCAM3,24.42,16.43,17.05,60463988.37,[]
MAHLE-METAL LEVE,LEVE3,26.87,17.60,8.06,15441906.37,[]
LIGHT,LIGT3,16.7,7.19,13.62,39548221.1,[]
LINX,LINX3,37.3,-146.40,-5.33,16672814.37,[]
ELETROPAR,LIPR3,70.0,17.18,-,86276.33,[]
LOJAS QUERO-QUERO S/A,LJQQ3,19.9,21.40,10.09,29632912.6,[]
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS,LLIS3,4.49,-1.50,-209.69,2300263.63,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.64,9.65,254.89,11594419.57,[]
LOG-IN LOGÍSTICA INTERMODAL,LOGN3,19.49,13.44,17.68,18510988.57,[]
LOPES BRASIL,LPSB3,4.07,12.98,21.33,4890443.77,[]
LOJAS RENNER,LREN3,43.75,46.69,11.37,461165728.23,[]
LUPATECH,LUPA3,10.22,66.54,10.91,32605393.17,['RECUPERAÇÃO JUDICIAL']
TREVISA,LUXM4,66.99,14.71,12.85,52269.03,[]
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,22.82,296.22,9.05,241592604.53,[]
CEMEPE,MAPT3,37.0,-200.63,-,14800.0,[]
CEMEPE,MAPT4,36.8,-200.63,-,27094.33,[]
Mobly S.A.,MBLY3,18.46,-40.38,-5.46,3529902.8,[]
M.DIAS BRANCO,MDIA3,26.4,17.75,7.44,45071110.93,[]
MOURA DUBEUX ENGENHARIA S/A,MDNE3,8.94,-11.43,-14.09,3460505.73,[]
INTERNATIONAL MEAL COMPANY,MEAL3,3.62,-2.11,-48.27,17019385.63,[]
MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,6.0,11.44,9.40,4167820.03,[]
MANGELS INDUSTRIAL,MGEL4,12.26,9.56,14.38,169806.07,[]
MAGAZINE LUIZA,MGLU3,19.15,149.46,2.83,524266273.47,[]
MILLS,MILS3,8.3,146.03,2.67,19175433.63,[]
MMX MINERACAO E METALICOS,MMXM3,18.05,-255.26,-556.64,7238628.43,['RECUPERAÇÃO JUDICIAL']
MUNDIAL,MNDL3,27.5,5.32,9.39,46720.22,[]
MINUPAR,MNPR3,12.89,2.42,14.58,1023769.13,[]
MONTEIRO ARANHA,MOAR3,280.0,-107.36,-27.33,87052.0,[]
Mosaico Tecnologia ao Consumidor S.A.,MOSI3,21.6,43.91,27.01,29237918.3,[]
MOVIDA,MOVI3,16.35,16.26,17.39,35023364.87,[]
MARFRIG,MRFG3,18.57,3.85,11.56,145494639.77,[]
MRV ENGENHARIA E PARTICIPAÇÕES,MRVE3,17.37,16.75,10.74,68225152.13,[]
MELHORAMENTOS,MSPA3,48.0,-5.62,-65.25,13800.0,[]
METALGRAFICA IGUACU,MTIG4,60.01,-11.90,-6.12,45825.44,[]
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,11.45,13.88,8.85,7873408.13,[]
METISA,MTSA4,39.33,3.69,18.82,228194.87,[]
MULTIPLAN,MULT3,24.21,17.43,92.51,131582135.27,[]
WETZEL,MWET3,41.0,1.90,31.90,48814.22,['RECUPERAÇÃO JUDICIAL']
WETZEL,MWET4,11.21,1.90,31.90,383060.57,['RECUPERAÇÃO JUDICIAL']
IOCHPE MAXION,MYPK3,13.88,-30.58,-2.11,21584811.77,[]
NEOENERGIA,NEOE3,16.98,8.48,16.39,36356218.83,[]
NEOGRID PARTICIPACOES S.A.,NGRD3,6.81,38.11,16.52,22860108.93,[]
NORDON INDUSTRIAS METALURGICAS,NORD3,21.25,90.29,121.22,136406.79,[]
NATURA &CO HOLDING S.A.,NTCO3,49.34,92.96,2.14,310602824.87,[]
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,NUTR3,395.0,10.65,7.18,280785.0,[]
ODONTOPREV,ODPV3,13.15,10.86,32.09,15809658.87,[]
OURO FINO SAÚDE ANIMAL,OFSA3,36.69,17.73,15.28,1466451.93,[]
OI,OIBR3,1.59,-17.46,-19.51,158475593.43,['RECUPERAÇÃO JUDICIAL']
OI,OIBR4,2.3,-17.46,-19.51,6852314.23,['RECUPERAÇÃO JUDICIAL']
OMEGA GERAÇÃO,OMGE3,37.01,22.44,43.24,30032738.07,[]
OCEANPACT SERVICOS MARITIMOS S.A.,OPCT3,7.9,31.20,11.06,11560796.8,[]
ORIZON VALORIZACAO DE RESIDUOS S.A.,ORVR3,23.7,19.49,26.35,5673278.23,[]
OSX BRASIL,OSXB3,13.0,-7.81,-5.794.61,568707.0,[]
INSTITUTO HERMES PARDINI,PARD3,19.95,13.81,13.40,6631226.3,[]
PANATLANTICA,PATI3,95.99,7.37,16.43,47529.71,[]
PANATLANTICA,PATI4,120.0,7.37,16.43,47329.45,[]
CIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,36.46,5.55,6.00,230535108.43,[]
PDG REALTY,PDGR3,7.0,-4.33,-132.93,1053752.9,['RECUPERAÇÃO JUDICIAL']
PADTEC HOLDING S.A.,PDTC3,8.0,36.54,10.49,3520427.2,[]
CIA PARTICIPAÇÕES ALIANCA DA BAHIA,PEAB3,63.0,0.86,392.40,84971.82,[]
CIA PARTICIPAÇÕES ALIANCA DA BAHIA,PEAB4,66.01,0.86,392.40,30830.0,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR3,25.64,13.43,18.24,485032222.13,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,26.28,13.43,18.24,1689313692.33,[]
PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,21.67,71.74,7.51,83019144.1,[]
PROFARMA,PFRM3,6.05,8.11,2.20,3170701.8,[]
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,10.68,15.83,4.69,11098989.97,[]
PLASCAR PARTICIPAÇÕES,PLAS3,13.9,-4.09,-18.61,369318.57,[]
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,6.0,8.72,16.71,5338403.23,[]
PARANAPANEMA,PMAM3,14.81,-16.05,-5.35,18216427.93,[]
DIMED,PNVL3,18.68,33.06,3.27,17183643.17,[]
DIMED,PNVL4,18.69,33.06,3.27,324175.53,[]
MARCOPOLO,POMO3,2.51,39.60,2.58,605011.03,[]
MARCOPOLO,POMO4,2.73,39.60,2.58,14570845.0,[]
POSITIVO,POSI3,11.22,6.52,12.67,127738716.5,[]
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,15.4,17.63,6.46,2411216.93,[]
PETRO RIO,PRIO3,18.32,13.71,48.67,415147923.37,[]
PRINER,PRNR3,9.33,-68.25,-1.91,2884625.5,[]
PORTOBELLO,PTBL3,12.08,19.62,8.68,50503903.53,[]
PETTENATI,PTNT3,13.0,13.54,6.27,958654.1,[]
PETTENATI,PTNT4,4.8,13.54,6.27,139582.83,[]
