Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
CELESC,CLSC3,70.02,4.87,8.09,67199.0,[]
CELESC,CLSC4,68.71,4.87,8.09,427446.16,[]
CEMIG,CMIG3,16.22,5.82,21.87,9840660.24,[]
CEMIG,CMIG4,13.48,5.82,21.87,121687103.03,[]
CSN MINERAÇÃO S.A.,CMIN3,9.03,5.12,51.90,119746822.45,[]
COELCE,COCE3,4.05,7.77,6.40,15393.5,[]
COELCE,COCE5,56.9,7.77,6.40,1056163.92,[]
COGNA ON,COGN3,4.05,-4.09,-70.58,164255192.47,[]
CPFL ENERGIA,CPFE3,29.25,8.85,16.88,65169685.53,[]
COPEL,CPLE11,30.4,5.27,22.77,0.0,[]
COPEL,CPLE3,5.69,5.27,22.77,11441054.79,[]
COPEL,CPLE6,6.21,5.27,22.77,69471365.71,[]
CR2,CRDE3,24.97,-2.74,-749.69,17870.03,[]
ATACADÃO,CRFB3,21.42,10.25,6.80,82843049.79,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,62.03,8.25,23.70,16774.71,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,70.8,8.25,23.70,922783.84,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,66.89,8.25,23.70,294351.24,[]
COSAN,CSAN3,21.87,26.42,18.70,172001061.71,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,13.56,24.91,11.64,4504677.84,[]
COPASA,CSMG3,17.51,7.09,24.20,37317463.32,[]
CIA SIDERURGICA NACIONAL,CSNA3,44.45,6.07,34.92,572421122.03,[]
COSERN,CSRN3,16.2,8.64,17.01,52295.97,[]
COSERN,CSRN5,17.49,8.64,17.01,15879.0,[]
COSERN,CSRN6,16.2,8.64,17.01,19373.57,[]
KARSTEN,CTKA3,30.76,8.42,20.24,32879.77,[]
KARSTEN,CTKA4,27.32,8.42,20.24,139911.3,[]
COTEMINAS,CTNM3,11.12,11.14,6.63,9501.41,[]
COTEMINAS,CTNM4,6.12,11.14,6.63,209893.84,[]
