Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
ODONTOPREV,ODPV3,12.66,10.4,32.09,14698196.97,[]
UNICASA,UCAS3,4.8,10.52,14.51,973897.16,[]
BRASKEM,BRKM3,51.15,10.61,9.17,1568799.53,[]
BRASKEM,BRKM5,51.66,10.61,9.17,206533156.76,[]
SÃO MARTINHO,SMTO3,32.95,10.72,35.23,33840595.74,[]
MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,6.15,10.74,10.28,4068315.21,[]
PETTENATI,PTNT3,14.25,10.89,7.77,803574.39,[]
FERBASA,FESA4,36.61,11.12,20.5,18342222.82,[]
COTEMINAS,CTNM4,6.12,11.14,6.63,209893.84,[]
MAHLE-METAL LEVE,LEVE3,27.08,11.29,11.29,17940585.61,[]
INSTITUTO HERMES PARDINI,PARD3,20.93,11.35,15.19,7267175.34,[]
SMILES,SMLS3,22.68,11.36,34.48,20942218.21,[]
KEPLER WEBER,KEPL3,50.31,11.5,12.34,11051841.47,[]
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,TPIS3,3.31,11.98,20.06,22162215.55,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,86.0,12.09,36.45,436542.32,[]
TIM,TIMS3,12.07,12.09,16.63,71746119.66,[]
BRF,BRFS3,25.56,12.27,7.1,264886212.87,[]
ATOM EMPREENDIMENTOS,ATOM3,8.35,12.44,35.35,5058161.61,[]
CYRELA COMMERCIAL PROPERT,CCPR3,12.15,12.55,48.94,5753609.05,[]
TELEFÔNICA BRASIL,VIVT3,44.09,12.64,14.76,91277648.34,[]
COMGAS,CGAS5,160.0,13.1,22.78,303778.16,[]
QUALICORP,QUAL3,28.95,13.18,32.26,81861461.39,[]
JEREISSATI,JPSA3,29.01,13.44,48.64,8346502.16,[]
TEGMA GESTÃO LOGÍSTICA,TGMA3,22.56,13.45,11.29,10027028.32,[]
LOG-IN LOGÍSTICA INTERMODAL,LOGN3,18.61,13.78,17.68,17799672.26,[]
BEMOBI MOBILE TECH S.A.,BMOB3,23.0,13.9,38.18,23661059.0,[]
CSU CARDSYSTEM,CARD3,24.27,14.04,16.35,10326823.55,[]
CCR,CCRO3,13.85,14.08,26.87,162526264.39,[]
PETRO RIO,PRIO3,18.82,14.1,48.67,362626464.47,[]
SUZANO S.A.,SUZB3,62.19,14.13,33.06,452726884.37,[]
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,11.61,14.3,8.85,10381735.92,[]
SÃO CARLOS,SCAR3,40.61,15.0,64.47,587348.53,[]
SIMPAR S.A.,SIMH3,49.4,15.23,14.96,25056488.58,[]
AMBEV,ABEV3,17.45,15.42,27.05,330163731.89,[]
KLABIN,KLBN3,5.66,15.59,25.45,1637424.87,[]
KLABIN,KLBN4,5.1,15.59,25.45,8304873.45,[]
ECORODOVIAS,ECOR3,12.39,15.81,21.84,53728600.95,[]
B3,B3SA3,17.11,15.96,61.43,615197941.89,[]
MRV ENGENHARIA E PARTICIPAÇÕES,MRVE3,17.46,16.65,10.76,66949386.71,[]
TUPY,TUPY3,24.73,16.79,5.65,36842237.32,[]
MOVIDA,MOVI3,17.58,16.8,17.39,37474398.18,[]
PORTOBELLO,PTBL3,14.4,16.92,10.8,54499375.55,[]
VIA VAREJO,VVAR3,12.5,17.09,5.38,467498264.42,[]
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,11.75,17.31,4.69,12304741.74,[]
OURO FINO SAÚDE ANIMAL,OFSA3,36.3,17.55,15.28,1540194.11,[]
FLEURY,FLRY3,26.63,17.74,18.04,47250520.55,[]
LOCAMERICA,LCAM3,27.16,17.79,17.05,61488572.74,[]
INDÚSTRIAS ROMI,ROMI3,27.43,17.95,12.38,49262629.13,[]
MULTIPLAN,MULT3,25.23,18.08,92.51,125588340.74,[]
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,14.2,18.4,2.8,2534739.11,[]
ULTRAPAR PARTICIPAÇÕES,UGPA3,19.24,18.41,2.23,110146130.74,[]
GRENDENE,GRND3,9.23,18.44,17.84,19683442.34,[]
M.DIAS BRANCO,MDIA3,27.52,18.47,7.44,42639222.76,[]
GRUPO MATEUS S.A.,GMAT3,7.9,18.53,6.8,34770425.32,[]
BR PROPERTIES,BRPR3,9.43,18.64,108.2,14027701.08,[]
HYPERA,HYPE3,35.16,19.02,32.2,98880230.87,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.08,19.11,4.78,1794216.03,[]
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,27.12,19.58,17.62,36979556.66,[]
DURATEX,DTEX3,21.26,19.84,12.88,49133339.76,[]
JSL S.A.,JSLG3,10.68,20.3,17.87,4251191.66,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,30.2,21.47,18.24,11744673.89,[]
LOJAS QUERO-QUERO S/A,LJQQ3,20.65,22.2,10.09,28215786.79,[]
OMEGA GERAÇÃO,OMGE3,37.3,22.55,43.24,28014859.42,[]
EZ TEC,EZTC3,30.25,22.77,28.91,73847484.55,[]
RUMO,RAIL3,20.8,22.98,30.11,165788386.24,[]
ENEVA,ENEV3,17.25,24.51,33.93,107152876.71,[]
CAMBUCI,CAMB3,5.12,24.76,7.73,603944.0,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,13.56,24.91,11.64,4504677.84,[]
HELBOR,HBOR3,8.55,25.33,8.6,18284770.13,[]
ANIMA,ANIM3,11.98,26.07,12.99,24013128.45,[]
COSAN,CSAN3,21.87,26.42,18.7,172001061.71,[]
LOCALIZA,RENT3,63.31,26.47,20.13,310234671.53,[]
IGUATEMI EMPRESA DE SHOPPING CENTERS,IGTA3,43.36,26.57,52.11,95167299.26,[]
ORIZON VALORIZACAO DE RESIDUOS S.A.,ORVR3,23.99,29.07,15.18,5632221.13,[]
LOJAS AMERICANAS,LAME3,18.09,30.72,5.44,79655534.89,[]
LOJAS AMERICANAS,LAME4,19.36,30.72,5.44,255162971.08,[]
VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.,VAMO3,50.0,30.95,24.23,24624998.89,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,15.78,31.16,78.41,2433450.03,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.4,31.34,8.71,32797021.29,[]
CEDRO TÊXTIL,CEDO4,6.2,32.53,1.33,280817.13,[]
PADTEC HOLDING S.A.,PDTC3,7.44,34.06,10.49,3064303.37,[]
VIVARA,VIVA3,28.35,35.33,17.58,23405510.26,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,88.77,35.39,4.68,127239725.79,[]
ALIANSCSONAE,ALSO3,29.3,36.17,30.24,41551901.08,[]
RNI NEGÓCIOS IMOBILIÁRIOS,RDNI3,10.85,36.25,6.91,597307.97,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,6.65,37.11,15.99,33559477.08,[]
NEOGRID PARTICIPACOES S.A.,NGRD3,6.74,37.65,16.52,20156874.05,[]
DIMED,PNVL4,19.89,37.76,3.09,302954.26,[]
DIMED,PNVL3,19.92,37.76,3.09,17191075.03,[]
Mosaico Tecnologia ao Consumidor S.A.,MOSI3,19.92,38.46,21.49,28939682.5,[]
OCEANPACT SERVICOS MARITIMOS S.A.,OPCT3,7.78,38.9,6.23,10727465.13,[]
MARCOPOLO,POMO3,2.57,40.16,2.58,594438.03,[]
MARCOPOLO,POMO4,2.78,40.16,2.58,13576024.45,[]
TOTVS,TOTS3,32.96,42.0,15.98,128475943.21,[]
WEG,WEGE3,32.83,42.52,16.94,333465228.11,[]
BLAU FARMACÊUTICA S.A.,BLAU3,43.15,43.38,35.08,18708111.15,[]
VULCABRAS,VULC3,8.96,44.87,4.18,5509264.97,[]
RAIA DROGASIL,RADL3,27.31,46.37,4.78,134696105.79,[]
YDUQS,YDUQ3,30.95,47.03,6.74,74338615.42,[]
NOTRE DAME INTERMEDICA,GNDI3,86.82,48.23,10.12,323549857.55,[]
LOJAS RENNER,LREN3,45.97,49.34,11.37,430567744.37,[]
HAPVIDA,HAPV3,15.73,49.81,13.71,166037693.42,[]
MPM CORPÓREOS S.A.,ESPA3,17.7,50.61,16.41,20416067.74,[]
ALPARGATAS,ALPA4,44.53,51.72,13.11,73908498.66,[]
NATURA &CO HOLDING S.A.,NTCO3,51.29,54.77,3.67,288345367.39,[]
CIA HERING,HGTX3,30.4,55.43,7.87,128918237.21,[]
SANTOS BRASIL,STBP3,8.48,55.8,11.7,52715193.92,[]
MILLS,MILS3,7.75,58.68,5.78,18697425.71,[]
TECHNOS,TECN3,2.15,61.96,1.32,7543807.76,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,9.08,64.16,34.37,11715595.34,[]
PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,22.17,73.39,7.51,84321592.42,[]
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,10.79,73.63,2.55,8940881.26,[]
REDE D OR SÃO LUIZ S.A.,RDOR3,73.59,74.76,13.54,143623618.26,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,10.62,74.78,11.91,12152237.74,[]
GAFISA,GFSA3,4.19,84.71,2.27,21267533.08,[]
SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,22.31,85.32,3.48,25621776.03,[]
MAGAZINE LUIZA,MGLU3,19.7,108.37,3.68,505954365.18,[]
SINQIA,SQIA3,22.63,118.75,5.62,11837540.08,[]
DASA,DASA3,57.65,176.91,2.55,22546120.32,[]
AREZZO&CO,ARZZ3,86.1,178.23,3.96,55523373.47,[]
MÉLIUZ S.A.,CASH3,37.47,189.27,16.35,107842120.26,[]
RECRUSUL,RCSL4,1.68,205.39,3.6,5329121.37,[]
RECRUSUL,RCSL3,7.48,205.39,3.6,16165663.97,[]
B2W DIGITAL,BTOW3,57.9,236.44,1.12,246117209.76,[]
TRACK & FIELD CO S.A.,TFCO4,12.42,247.18,17.33,1460529.37,[]
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,25.7,309.45,7.58,224156729.08,[]
