Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,10.78,73.58,"2,55%",8110000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.47,15.44,"27,05%",332610000.0,FASE OPERACIONAL
AERIS,AERI3,8.4,31.34,"8,71%",34200000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.72,,,10480000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.66,29.29,"54,72%",18220.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,30.76,7.83,"34,26%",26530000.0,FASE OPERACIONAL
SPTURIS,AHEB3,20.89,-5.08,"-17,42%",3690.0,FASE OPERACIONAL
SPTURIS,AHEB5,19.0,-5.08,"-17,42%",27454.0,FASE OPERACIONAL
SPTURIS,AHEB6,30.0,-5.08,"-17,42%",35692.0,FASE OPERACIONAL
ALLIED,ALLD3,18.15,5.59,"6,39%",882890.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,39.1,52.97,"12,57%",117450.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,44.62,52.97,"12,57%",64640000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.3,-107.89,"-4,96%",315910.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,29.29,36.15,"30,24%",38660000.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.5,4.1,"57,88%",23150000.0,FASE OPERACIONAL
ALUPAR,ALUP3,9.01,4.1,"57,88%",158070.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.35,4.1,"57,88%",210400.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,6.59,-12.17,"-12,13%",33470000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,30.28,21.53,"18,24%",9940000.0,FASE OPERACIONAL
ANIMA,ANIM3,12.05,26.21,"12,99%",26100000.0,FASE OPERACIONAL
ALPER S.A.,APER3,50.95,-232.64,"-3,21%",4870000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,86.1,93.14,"5,79%",50270000.0,FASE OPERACIONAL
ASSAI,ASAI3,88.86,12.88,"5,91%",137520000.0,FASE OPERACIONAL
ATMASA,ATMP3,9.35,-4.95,"-10,47%",1610000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.35,12.44,"35,35%",3530000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.9,-4.74,"-102,43%",187840.0,FASE OPERACIONAL
AZEVEDO,AZEV3,7.09,0.8,"601,47%",832910.0,FASE OPERACIONAL
AZEVEDO,AZEV4,5.94,0.8,"601,47%",1530000.0,FASE OPERACIONAL
AZUL,AZUL4,46.76,-11.64,"-37,84%",282070000.0,FASE OPERACIONAL
B3,B3SA3,17.1,4.37,"61,43%",740850000.0,FASE OPERACIONAL
BAHEMA,BAHI3,73.7,-11.14,"-4,94%",47910.0,FASE OPERACIONAL
BAUMER,BALM3,18.05,7.58,"11,93%",30570.0,FASE OPERACIONAL
BAUMER,BALM4,15.81,7.58,"11,93%",45680.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,87.0,8.73,"11,40%",56810.0,FASE OPERACIONAL
BR BROKERS,BBRK3,1.78,-0.94,"-101,08%",1960000.0,FASE OPERACIONAL
