Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,11.43,76.51,2.55,10393786.3,[]
AMBEV,ABEV3,17.85,15.80,27.05,339668731.08,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,9.1,33.72,8.71,33968791.65,[]
AES BRASIL ENERGIA S.A.,AESB3,14.2,-,-,17274922.03,[]
AFLUENTE,AFLT3,9.38,28.39,54.72,23070.23,[]
BRASILAGRO,AGRO3,31.5,9.76,34.26,38747202.6,[]
SÃO PAULO TURISMO,AHEB3,22.99,-5.62,-17.42,27664.91,[]
SÃO PAULO TURISMO,AHEB5,20.21,-5.62,-17.42,9956.67,[]
SÃO PAULO TURISMO,AHEB6,30.0,-5.62,-17.42,7733.33,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.5,19.51,4.78,1860147.85,[]
ALPARGATAS,ALPA3,40.48,54.28,13.11,162634.15,[]
ALPARGATAS,ALPA4,47.03,54.28,13.11,76369794.65,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.25,-107.35,-4.96,388721.73,[]
ALIANSCSONAE,ALSO3,30.03,36.97,30.24,42103176.9,[]
ALUPAR,ALUP11,27.14,4.00,58.47,27768066.98,[]
ALUPAR,ALUP3,8.95,4.00,58.47,211213.0,[]
ALUPAR,ALUP4,9.11,4.00,58.47,258484.03,[]
LOJAS MARISA,AMAR3,7.37,-12.99,-12.13,46275395.2,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,31.1,22.08,18.24,11544726.1,[]
ANIMA,ANIM3,12.61,27.33,12.99,24226972.88,[]
ALPER,APER3,51.98,-190.74,-2.85,5616937.93,[]
AREZZO&CO,ARZZ3,89.03,184.23,3.96,55332830.38,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,89.09,35.39,4.68,125420577.05,[]
ATMA SA,ATMP3,9.0,-4.86,-10.47,1923044.93,[]
ATOM EMPREENDIMENTOS,ATOM3,8.18,12.21,35.35,4822124.4,[]
ALPHAVILLE S.A.,AVLL3,25.9,-4.74,-102.43,199487.87,[]
AZEVEDO E TRAVASSOS,AZEV3,7.09,0.84,8092.30,1162337.03,[]
AZEVEDO E TRAVASSOS,AZEV4,6.1,0.84,8092.30,2315905.83,[]
AZUL,AZUL4,42.86,-33.02,-37.84,270462613.93,[]
B3,B3SA3,17.48,16.28,61.43,627337091.2,[]
BAHEMA,BAHI3,75.0,-11.43,-4.94,56635.97,[]
BAUMER,BALM3,18.7,8.29,11.93,57420.67,[]
BAUMER,BALM4,18.0,8.29,11.93,75441.0,[]
EXCELSIOR ALIMENTOS,BAUH4,87.0,20.28,11.40,69054.07,[]
BRASIL BROKERS,BBRK3,1.78,-0.88,-118.42,2745355.73,[]
BARDELLA,BDLL3,10.75,-4.39,-353.49,153867.4,[]
BARDELLA,BDLL4,10.04,-4.39,-353.49,122374.3,[]
MINERVA,BEEF3,9.87,5.73,8.97,108431007.73,[]
BIOMM,BIOM3,16.1,-20.22,-92.41,346391.83,[]
BK BRASIL,BKBR3,10.76,-7.16,-20.55,26838185.7,[]
BLAU FARMACÊUTICA S.A.,BLAU3,46.3,46.34,35.08,18157648.07,[]
BICICLETAS MONARK,BMKS3,248.2,-16.83,8.31,25023.69,[]
BEMOBI MOBILE TECH S.A.,BMOB3,23.25,14.18,38.18,24011399.18,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,10.01,70.55,11.91,13845533.8,[]
BOMBRIL,BOBR4,2.33,7.91,6.49,401209.95,[]
BRADESPAR,BRAP3,60.53,7.06,-,3092536.63,[]
BRADESPAR,BRAP4,69.92,7.06,-,181532328.08,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.57,7.24,5.72,201486332.48,[]
BRF,BRFS3,25.75,12.28,7.10,267756345.25,[]
BRASKEM,BRKM3,51.15,10.60,9.17,1521928.8,[]
BRASKEM,BRKM5,51.74,10.60,9.17,231685279.88,[]
BRASKEM,BRKM6,43.4,10.60,9.17,21165.95,[]
BR MALLS,BRML3,11.3,-34.50,-40.70,166368694.3,[]
BR PROPERTIES,BRPR3,9.47,18.75,108.20,13936040.35,[]
B2W DIGITAL,BTOW3,59.89,244.35,1.12,239932342.45,[]
BATTISTELLA,BTTL3,18.56,9.75,6.52,335132.93,[]
CAMBUCI,CAMB3,5.58,26.49,7.73,601816.18,[]
CAMIL,CAML3,9.9,7.90,8.33,15355084.1,[]
CSU CARDSYSTEM,CARD3,24.68,14.26,16.35,10106794.6,[]
MÉLIUZ S.A.,CASH3,39.7,202.66,16.35,107805814.25,[]
AMPLA ENERGIA E SERVICOS,CBEE3,25.06,33.48,3.90,181692.91,[]
CYRELA COMMERCIAL PROPERT,CCPR3,12.32,12.66,48.94,5710042.53,[]
CCR,CCRO3,13.86,14.10,26.87,166210170.68,[]
CEA MODAS,CEAB3,13.89,-15.70,-7.30,29910290.58,[]
CEB,CEBR3,192.78,0.14,-549.92,704510.28,[]
CEB,CEBR5,203.9,0.14,-549.92,106559.0,[]
CEB,CEBR6,194.0,0.14,-549.92,321929.42,[]
CEDRO TÊXTIL,CEDO3,10.11,32.52,1.33,39425.11,[]
CEDRO TÊXTIL,CEDO4,6.27,32.52,1.33,273458.63,[]
COELBA,CEEB3,40.7,11.12,16.01,106518.11,[]
CEEE-D,CEED3,60.7,-2.73,-15.81,46408.95,[]
CEEE-D,CEED4,59.0,-2.73,-15.81,12205.0,[]
CEG,CEGR3,60.0,28.23,18.62,27959.0,[]
CELPE,CEPE5,27.9,22.50,8.41,50635.41,[]
CELPE,CEPE6,28.5,22.50,8.41,19312.4,[]
CESP,CESP3,28.15,9.87,47.26,318096.35,[]
CESP,CESP5,37.66,9.87,47.26,47418.15,[]
CESP,CESP6,24.27,9.87,47.26,55821575.73,[]
COMGAS,CGAS3,150.0,13.10,22.78,33622.05,[]
COMGAS,CGAS5,161.0,13.10,22.78,299003.88,[]
GRAZZIOTIN,CGRA3,33.0,5.86,18.83,39908.72,[]
GRAZZIOTIN,CGRA4,32.22,5.86,18.83,519201.28,[]
CIELO,CIEL3,4.18,-174.74,-0.58,107307232.35,[]
CELESC,CLSC3,70.02,4.86,8.09,67199.0,[]
CELESC,CLSC4,68.25,4.86,8.09,425977.8,[]
CEMIG,CMIG3,16.5,5.89,21.87,9738705.05,[]
CEMIG,CMIG4,13.7,5.89,21.87,123942737.95,[]
CSN MINERAÇÃO S.A.,CMIN3,9.32,5.28,51.90,117777778.38,[]
COELCE,COCE3,4.05,7.77,6.40,15393.5,[]
COELCE,COCE5,55.98,7.77,6.40,1110683.55,[]
COGNA ON,COGN3,4.26,-4.20,-70.58,166219820.7,[]
CPFL ENERGIA,CPFE3,29.01,8.80,16.88,67830477.75,[]
COPEL,CPLE3,5.84,5.42,22.77,11544771.58,[]
COPEL,CPLE6,6.47,5.42,22.77,70601650.0,[]
CR2,CRDE3,24.99,-2.75,-749.69,17597.97,[]
ATACADÃO,CRFB3,21.91,10.43,6.80,87918706.23,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,62.03,8.35,23.70,16774.71,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,71.28,8.35,23.70,901212.5,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,66.51,8.35,23.70,295759.33,[]
COSAN,CSAN3,21.92,26.56,18.70,171207366.45,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,13.85,25.53,11.64,5410272.88,[]
COPASA,CSMG3,17.14,7.00,24.20,37127753.58,[]
CIA SIDERURGICA NACIONAL,CSNA3,44.64,6.08,34.92,568332989.23,[]
COSERN,CSRN3,16.8,8.78,17.01,49758.36,[]
COSERN,CSRN5,16.69,8.78,17.01,15366.33,[]
COSERN,CSRN6,16.0,8.78,17.01,18766.33,[]
KARSTEN,CTKA3,30.07,8.41,20.24,31714.42,[]
KARSTEN,CTKA4,27.7,8.41,20.24,137102.14,[]
COTEMINAS,CTNM3,11.12,11.15,6.63,9501.41,[]
COTEMINAS,CTNM4,6.2,11.15,6.63,205786.55,[]
SANTANENSE,CTSA3,2.5,28.15,3.61,117663.3,[]
SANTANENSE,CTSA4,2.01,28.15,3.61,91323.25,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,9.49,67.17,34.37,11508081.83,[]
CVC BRASIL,CVCB3,24.93,-7.60,-181.31,140923959.88,[]
CYRELA,CYRE3,23.7,4.34,58.05,134071637.5,[]
DASA,DASA3,57.85,176.24,2.55,22220748.7,[]
DIRECIONAL ENGENHARIA,DIRR3,13.24,8.46,15.49,18878357.33,[]
DOMMO ENERGIA,DMMO3,0.88,2.26,41.09,6621797.18,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,9.37,6.196.32,0.01,2438430.03,[]
DOHLER,DOHL3,29.1,18.69,15.62,16965.12,[]
DOHLER,DOHL4,6.45,18.69,15.62,180931.95,[]
DTCOM,DTCY3,9.63,-260.63,-4.06,96001.73,[]
DURATEX,DTEX3,20.66,19.27,12.88,50289654.73,[]
ELECTRO ACO ALTONA,EALT3,15.4,8.75,12.86,37695.15,[]
