Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,10.55,84.07,2.2,8104630.0,[]
AMBEV S/A,ABEV3,17.63,17.85,23.6,324729000.0,[]
AERIS,AERI3,8.68,,,33298300.0,[]
AES BRASIL,AESB3,14.8,-87742.8,,16239100.0,[]
AFLUENTE T,AFLT3,9.37,28.23,55.0,24213.0,[]
BRASILAGRO,AGRO3,30.46,9.24,35.2,35758800.0,[]
PARQUE ANHEMBI,AHEB3,20.0,-4.36,-19.3,5122.0,[]
PARQUE ANHEMBI,AHEB5,19.0,-4.12,-19.3,435.0,[]
PARQUE ANHEMBI,AHEB6,30.0,-6.77,-19.3,566.0,[]
ALLIED,ALLD3,18.7,5.86,6.3,1348610.0,[]
ALPARGATAS,ALPA3,38.32,33.91,18.3,162135.0,[]
ALPARGATAS,ALPA4,44.24,39.32,18.3,71719400.0,[]
ESTAPAR,ALPK3,8.21,61.41,8.7,377127.0,[]
ALIANSCSONAE,ALSO3,28.71,27.23,39.4,39278700.0,[]
ALUPAR,ALUP11,27.66,4.03,58.5,27734100.0,[]
ALUPAR,ALUP3,9.07,3.99,58.5,198859.0,[]
ALUPAR,ALUP4,9.27,4.04,58.5,257457.0,[]
LOJAS MARISA,AMAR3,6.35,55.15,2.6,41784400.0,[]
AMBIPAR,AMBP3,28.58,21.04,17.6,10606700.0,[]
ANIMA,ANIM3,12.12,20.53,16.7,25169800.0,[]
ALPER S.A.,APER3,50.3,,,5698810.0,[]
AREZZO CO,ARZZ3,85.76,98.16,5.1,54333500.0,[]
ASSAI,ASAI3,89.21,11.58,7.6,124052000.0,[]
ATMASA,ATMP3,10.19,-14.86,-3.6,1834960.0,[]
ATOMPAR,ATOM3,8.5,12.84,34.9,5457160.0,[]
ALPHAVILLE,AVLL3,25.9,-10.41,-46.6,242290.0,[]
AZEVEDO & TRAVASSOS,AZEV3,6.89,-29.45,-17.7,1093520.0,[]
AZEVEDO & TRAVASSOS,AZEV4,5.3,-22.64,-17.7,2022690.0,[]
AZUL,AZUL4,40.35,-15.55,-26.2,247462000.0,[]
B3,B3SA3,17.45,16.1,62.2,618633000.0,[]
BAHEMA,BAHI3,74.69,40.17,1.4,40278.0,[]
BAUMER,BALM3,18.28,7.48,13.2,44410.0,[]
BAUMER,BALM4,16.14,6.52,13.2,67358.0,[]
EXCELSIOR,BAUH4,87.0,44.1,5.2,50769.0,[]
BR Brokers,BBRK3,1.75,-3.55,-28.6,2625670.0,[]
BAEDELLA,BDLL3,10.97,-6.74,-231.3,162658.0,[]
BAEDELLA,BDLL4,10.36,-6.71,-231.3,118821.0,[]
Minerva,BEEF3,9.83,5.62,9.1,111728000.0,[]
BIOMM SA,BIOM3,15.83,-21.17,-87.4,364193.0,[]
BK BRASIL,BKBR3,10.35,-6.92,-20.6,26793400.0,[]
BLAU,BLAU3,42.87,18.21,35.1,11806300.0,[]
MONARK,BMKS3,240.0,17.17,-9.1,20614.0,[]
BEMOBI TECH,BMOB3,23.26,14.08,34.1,24553200.0,[]
BOA VISTA,BOAS3,11.21,71.43,17.8,11611800.0,[]
BOMBRIL SA,BOBR4,2.36,12.35,6.5,466886.0,[]
BRADESPAR S/A,BRAP3,60.95,-979.06,,3416580.0,[]
BRADESPAR S/A,BRAP4,69.95,-1132.62,,192741000.0,[]
PETROBRAS BR,BRDT3,25.63,14.18,2.9,202890000.0,[]
BRF Foods,BRFS3,26.21,12.58,7.0,247355000.0,[]
BRASKEM,BRKM3,49.91,4.98,19.2,1721550.0,[]
BRASKEM,BRKM5,50.6,5.02,19.2,197321000.0,[]
BRASKEM,BRKM6,39.0,4.32,19.2,10537.0,[]
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.83,25.44,53.8,165905000.0,[]
BR PROPERTIES,BRPR3,9.0,28.1,69.4,12766100.0,[]
BIOSEV,BSEV3,9.0,9.81,15.2,1318930.0,[]
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,58.31,91.1,2.9,251018000.0,[]
APABA,BTTL3,18.02,8.92,5.7,223610.0,[]
PENALTY,CAMB3,5.17,44.84,4.3,568444.0,[]
CAMIL,CAML3,9.93,8.22,8.0,15733600.0,[]
CSU CARDSYST,CARD3,24.14,14.44,15.8,9628750.0,[]
MELIUZ,CASH3,36.0,181.46,16.4,96064200.0,[]
AMPLA ENERG,CBEE3,23.45,36.86,3.4,138016.0,[]
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,12.05,12.27,49.8,5416420.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.87,14.07,26.9,169369000.0,[]
CEA MODAS,CEAB3,13.77,-11.85,-9.6,30545900.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,193.49,2.62,-29.5,840485.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,198.0,3.28,-29.5,95790.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,199.0,3.42,-29.5,306807.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,9.9,7.9,5.8,37079.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.31,6.97,5.8,261428.0,[]
COELBA,CEEB3,39.9,9.12,17.3,70455.0,[]
CEEE-D,CEED3,58.1,-5.26,-8.1,29898.0,[]
CEEE-D,CEED4,53.0,-5.09,-8.1,3126.0,[]
CEG,CEGR3,60.1,27.34,19.3,10914.0,[]
CELPE,CEPE5,26.88,9.07,10.8,38316.0,[]
CELPE,CEPE6,28.5,9.23,10.8,7066.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP3,28.81,18.29,28.3,378378.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP5,35.49,22.13,28.3,32552.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.6,16.45,28.3,59757600.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,145.0,13.03,22.3,17015.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,162.0,14.24,22.3,330787.0,[]
GRAZZIOTIN,CGRA3,32.79,10.19,10.9,37250.0,[]
GRAZZIOTIN,CGRA4,33.05,10.29,10.9,525017.0,[]
