Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,26.69,19.23,17.62,37716698.77,[]
JBS,JBSS3,30.1,5.82,7.91,430918640.54,[]
JHSF,JHSF3,7.7,5.94,69.99,40488418.38,[]
JEREISSATI,JPSA3,29.37,13.53,48.64,8378912.44,[]
JSL S.A.,JSLG3,10.8,20.44,17.87,4197083.38,[]
KEPLER WEBER,KEPL3,50.3,11.50,12.34,10951914.9,[]
LOJAS AMERICANAS,LAME4,19.38,30.81,5.44,253435978.18,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,7.85,7.17,31.04,12059130.64,[]
LOCAMERICA,LCAM3,26.66,17.56,17.05,61912387.64,[]
MAHLE-METAL LEVE,LEVE3,27.17,11.33,11.29,18233840.21,[]
LIGHT,LIGT3,17.33,6.92,12.79,37249223.97,[]
LOJAS QUERO-QUERO S/A,LJQQ3,21.37,23.08,10.09,29973323.69,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.92,9.60,254.89,10742018.1,[]
LOG-IN LOGÍSTICA INTERMODAL,LOGN3,19.4,14.22,17.68,17602580.72,[]
LOPES BRASIL,LPSB3,4.1,9.59,26.03,4547682.95,[]
LOJAS RENNER,LREN3,47.0,50.44,11.37,442065678.92,[]
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,26.24,316.83,7.58,224065201.13,[]
M.DIAS BRANCO,MDIA3,27.74,18.65,7.44,42211387.62,[]
MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,6.23,10.87,10.28,4023866.28,[]
MANGELS INDUSTRIAL,MGEL4,17.98,8.18,16.06,245371.15,[]
MAGAZINE LUIZA,MGLU3,19.59,107.76,3.68,504390331.82,[]
MILLS,MILS3,7.74,58.85,5.78,18418666.69,[]
MINUPAR,MNPR3,15.89,2.99,14.58,891172.56,[]
