Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,12.27,80.63,2.55,9460000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.95,15.89,27.05,330630000.0,FASE OPERACIONAL
AERIS,AERI3,9.5,35.07,8.71,34100000.0,FASE OPERACIONAL
AES BRASIL,AESB3,13.97,,,11560000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.36,28.32,54.72,17850.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,32.45,8.22,34.26,27700000.0,FASE OPERACIONAL
SPTURIS,AHEB3,24.88,-6.13,-17.42,5650.0,FASE OPERACIONAL
SPTURIS,AHEB5,20.01,-6.13,-17.42,49032.0,FASE OPERACIONAL
SPTURIS,AHEB6,30.0,-6.13,-17.42,35692.0,FASE OPERACIONAL
ALLIED,ALLD3,18.5,5.69,6.39,1050000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,40.45,55.57,12.57,115210.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,47.29,55.57,12.57,66130000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.13,-106.73,-4.96,311920.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,30.0,36.97,30.24,38720000.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.41,4.07,57.88,23060000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.92,4.07,57.88,161090.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.09,4.07,57.88,209940.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,7.72,-13.4,-12.13,36720000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,32.49,23.2,18.24,10060000.0,FASE OPERACIONAL
ANIMA,ANIM3,12.6,27.35,12.99,24670000.0,FASE OPERACIONAL
ALPER S.A.,APER3,52.45,-239.49,-3.21,4850000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,88.63,95.87,5.79,50180000.0,FASE OPERACIONAL
ASSAI,ASAI3,89.45,12.95,5.91,124200000.0,FASE OPERACIONAL
ATMASA,ATMP3,9.06,-4.88,-10.47,1640000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.37,12.47,35.35,3530000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.9,-4.74,-102.43,186830.0,FASE OPERACIONAL
AZEVEDO,AZEV3,7.04,0.8,601.47,831430.0,FASE OPERACIONAL
AZEVEDO,AZEV4,6.05,0.8,601.47,1650000.0,FASE OPERACIONAL
AZUL,AZUL4,43.0,-10.95,-37.84,286790000.0,FASE OPERACIONAL
B3,B3SA3,17.54,4.52,61.43,706480000.0,FASE OPERACIONAL
BAHEMA,BAHI3,74.0,-11.21,-4.94,42480.0,FASE OPERACIONAL
BAUMER,BALM3,19.99,8.48,11.93,32000.0,FASE OPERACIONAL
BAUMER,BALM4,17.46,8.48,11.93,50060.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,89.99,9.06,11.40,37810.0,FASE OPERACIONAL
BR BROKERS,BBRK3,1.73,-0.91,-101.08,2040000.0,FASE OPERACIONAL
BARDELLA,BDLL3,10.5,-4.39,-353.49,135560.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,10.09,-4.39,-353.49,101330.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,9.91,5.74,8.97,100220000.0,FASE OPERACIONAL
BIOMM,BIOM3,16.25,-20.51,-92.41,291910.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,10.65,-7.11,-20.55,24150000.0,FASE OPERACIONAL
BLAU,BLAU3,47.99,20.16,34.52,8590000.0,FASE OPERACIONAL
BIC MONARK,BMKS3,253.98,-15.43,8.31,17130.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,23.28,11.55,34.97,25180000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,10.01,70.48,11.91,11480000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.34,9.82,6.49,346090.0,FASE OPERACIONAL
BRADESPAR,BRAP3,61.5,7.19,,3050000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,71.21,7.19,,188930000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,25.8,7.29,5.72,190680000.0,FASE OPERACIONAL
