Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
CEEE-D,CEED4,54.45,-2.73,-15.81,2340.0,FASE OPERACIONAL
CEG,CEGR3,60.0,28.23,18.62,28310.0,FASE OPERACIONAL
CELPE,CEPE5,27.9,22.5,8.40,24190.0,FASE OPERACIONAL
CELPE,CEPE6,28.5,22.5,8.40,4860.0,FASE OPERACIONAL
CESP,CESP3,28.42,10.11,47.26,324120.0,FASE OPERACIONAL
CESP,CESP5,34.9,10.11,47.26,27290.0,FASE OPERACIONAL
CESP,CESP6,25.0,10.11,47.26,60100000.0,FASE OPERACIONAL
COMGAS,CGAS3,150.0,13.27,22.78,15020.0,FASE OPERACIONAL
COMGAS,CGAS5,160.7,13.27,22.78,296690.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,33.7,6.0,18.83,43770.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,32.95,6.0,18.83,649550.0,FASE OPERACIONAL
CIELO,CIEL3,4.24,-177.24,-0.58,106470000.0,FASE OPERACIONAL
CELESC,CLSC3,70.02,4.82,8.09,13020.0,FASE OPERACIONAL
CELESC,CLSC4,67.04,4.82,8.09,359100.0,FASE OPERACIONAL
CEMIG,CMIG3,16.42,5.88,21.92,8840000.0,FASE OPERACIONAL
CEMIG,CMIG4,13.75,5.88,21.92,118240000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,9.22,5.23,51.90,89040000.0,FASE OPERACIONAL
COELCE,COCE3,70.0,19.85,6.40,2370.0,FASE OPERACIONAL
COELCE,COCE5,56.41,19.85,6.40,1020000.0,FASE OPERACIONAL
COGNA ON,COGN3,4.29,-4.28,-66.97,179150000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,29.4,8.88,16.88,67820000.0,FASE OPERACIONAL
COPEL,CPLE3,5.65,5.23,22.77,12260000.0,FASE OPERACIONAL
COPEL,CPLE6,6.32,5.23,22.77,78370000.0,FASE OPERACIONAL
CR2,CRDE3,23.98,-2.59,-749.69,12140.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,21.65,10.34,6.80,90720000.0,FASE OPERACIONAL
CRISTAL,CRPG3,62.03,8.2,23.70,2780.0,FASE OPERACIONAL
CRISTAL,CRPG5,71.49,8.2,23.70,921720.0,FASE OPERACIONAL
CRISTAL,CRPG6,67.95,8.2,23.70,190730.0,FASE OPERACIONAL
COSAN,CSAN3,21.91,15.26,18.70,243820000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,13.5,23.04,12.53,7530000.0,FASE OPERACIONAL
COPASA,CSMG3,17.27,7.02,24.20,38540000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,44.96,6.12,34.92,556670000.0,FASE OPERACIONAL
COSERN,CSRN3,16.91,8.83,17.04,34510.0,FASE OPERACIONAL
COSERN,CSRN5,16.6,8.83,17.04,11070.0,FASE OPERACIONAL
COSERN,CSRN6,16.2,8.83,17.04,9280.0,FASE OPERACIONAL
KARSTEN,CTKA3,30.39,8.42,20.24,17160.0,FASE OPERACIONAL
KARSTEN,CTKA4,27.73,8.42,20.24,87630.0,FASE OPERACIONAL
COTEMINAS,CTNM3,11.12,17.47,4.23,5430.0,FASE OPERACIONAL
COTEMINAS,CTNM4,6.19,17.47,4.23,158910.0,FASE OPERACIONAL
SANTANENSE,CTSA3,2.51,26.34,3.61,133750.0,FASE OPERACIONAL
SANTANENSE,CTSA4,2.05,26.34,3.61,79910.0,FASE OPERACIONAL
CURY S/A,CURY3,9.44,9.86,20.98,10360000.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,24.35,-7.47,-181.31,131650000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,23.26,4.28,58.05,149330000.0,FASE OPERACIONAL
DASA,DASA3,57.7,175.28,2.55,13450000.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,13.16,8.59,15.49,16920000.0,FASE OPERACIONAL
DOMMO,DMMO3,0.88,2.24,41.09,8180000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,9.22,0.0608789,0.01,2620000.0,FASE OPERACIONAL
DOHLER,DOHL3,29.1,18.63,15.62,9420.0,FASE OPERACIONAL
DOHLER,DOHL4,6.17,18.63,15.62,121380.0,FASE OPERACIONAL
DTCOM-DIRECT,DTCY3,9.63,-205.31,-4.06,67820.0,FASE OPERACIONAL
DURATEX,DTEX3,20.61,19.31,12.88,47990000.0,FASE OPERACIONAL
ACO ALTONA,EALT3,15.24,8.65,12.86,42040.0,FASE OPERACIONAL
ACO ALTONA,EALT4,6.7,8.65,12.86,347390.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,12.56,15.92,21.84,49460000.0,FASE OPERACIONAL
CEEE-GT,EEEL3,520.0,8.81,42.80,2340.0,FASE OPERACIONAL
CEEE-GT,EEEL4,600.0,8.81,42.80,0.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,40.55,7.88,46.31,68160000.0,FASE OPERACIONAL
ELEKTRO,EKTR3,33.05,8.83,14.51,1130.0,FASE OPERACIONAL
ELEKTRO,EKTR4,25.99,8.83,14.51,47310.0,FASE OPERACIONAL
ELETROBRAS,ELET3,43.01,10.7,30.42,231480000.0,FASE OPERACIONAL
