Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,11.19,87.58,2.2,7980180.0,[]
AMBEV S/A,ABEV3,17.61,17.83,23.6,326664000.0,[]
AERIS,AERI3,8.3,,,36469800.0,[]
AES BRASIL,AESB3,14.65,-87239.7,,15349000.0,[]
AFLUENTE T,AFLT3,9.25,27.84,55.0,23445.0,[]
BRASILAGRO,AGRO3,30.67,9.3,35.2,34276400.0,[]
PARQUE ANHEMBI,AHEB3,20.0,-4.36,-19.3,4838.0,[]
PARQUE ANHEMBI,AHEB5,19.0,-4.12,-19.3,415.0,[]
PARQUE ANHEMBI,AHEB6,30.0,-6.77,-19.3,540.0,[]
ALLIED,ALLD3,18.79,5.89,6.3,1258260.0,[]
ALPARGATAS,ALPA3,39.66,35.14,18.3,156722.0,[]
ALPARGATAS,ALPA4,45.38,40.36,18.3,66290000.0,[]
ESTAPAR,ALPK3,8.23,61.48,8.7,364461.0,[]
ALIANSCSONAE,ALSO3,28.31,26.88,39.4,39293400.0,[]
ALUPAR,ALUP11,26.66,3.95,58.5,27028500.0,[]
ALUPAR,ALUP3,8.79,3.93,58.5,192571.0,[]
ALUPAR,ALUP4,8.9,3.96,58.5,254791.0,[]
LOJAS MARISA,AMAR3,6.59,56.36,2.6,40610300.0,[]
AMBIPAR,AMBP3,28.17,20.72,17.6,10363600.0,[]
ANIMA,ANIM3,11.99,20.32,16.7,25761600.0,[]
ALPER S.A.,APER3,49.85,,,5752730.0,[]
AREZZO CO,ARZZ3,84.84,97.11,5.1,53448400.0,[]
ASSAI,ASAI3,86.2,11.25,7.6,122445000.0,[]
ATMASA,ATMP3,10.1,-14.8,-3.6,1793140.0,[]
ATOMPAR,ATOM3,8.4,12.68,34.9,5204460.0,[]
ALPHAVILLE,AVLL3,25.9,-10.41,-46.6,234469.0,[]
AZEVEDO & TRAVASSOS,AZEV3,6.86,-29.32,-17.7,1046910.0,[]
AZEVEDO & TRAVASSOS,AZEV4,5.2,-22.21,-17.7,1912980.0,[]
AZUL,AZUL4,40.98,-15.73,-26.2,260259000.0,[]
B3,B3SA3,17.35,16.0,62.2,627038000.0,[]
BAHEMA,BAHI3,72.0,38.06,1.4,43490.0,[]
BAUMER,BALM3,18.06,7.38,13.2,43335.0,[]
BAUMER,BALM4,16.1,6.5,13.2,63875.0,[]
EXCELSIOR,BAUH4,86.0,43.57,5.2,48206.0,[]
BR Brokers,BBRK3,1.78,-3.63,-28.6,2490600.0,[]
BAEDELLA,BDLL3,10.85,-6.73,-231.3,163321.0,[]
BAEDELLA,BDLL4,10.23,-6.71,-231.3,114465.0,[]
Minerva,BEEF3,9.66,5.58,9.1,111478000.0,[]
BIOMM SA,BIOM3,15.8,-21.13,-87.4,368733.0,[]
BK BRASIL,BKBR3,10.5,-7.02,-20.6,26360300.0,[]
BLAU,BLAU3,42.39,18.02,35.1,10955300.0,[]
MONARK,BMKS3,240.0,17.17,-9.1,19840.0,[]
BEMOBI TECH,BMOB3,22.58,13.16,34.1,24054000.0,[]
BOA VISTA,BOAS3,11.2,71.36,17.8,11171400.0,[]
BOMBRIL SA,BOBR4,2.39,12.46,6.5,451714.0,[]
BRADESPAR S/A,BRAP3,61.3,-985.04,,3313290.0,[]
BRADESPAR S/A,BRAP4,70.12,-1135.52,,192455000.0,[]
PETROBRAS BR,BRDT3,25.58,14.16,2.9,199842000.0,[]
BRF Foods,BRFS3,26.93,12.79,7.0,232016000.0,[]
BRASKEM,BRKM3,50.7,5.03,19.2,1672740.0,[]
BRASKEM,BRKM5,50.82,5.04,19.2,191833000.0,[]
BRASKEM,BRKM6,39.0,4.32,19.2,10335.0,[]
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.85,25.48,53.8,169064000.0,[]
BR PROPERTIES,BRPR3,8.95,27.98,69.4,12697400.0,[]
BIOSEV,BSEV3,9.0,9.81,15.2,1291790.0,[]
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,56.0,87.22,2.9,254118000.0,[]
APABA,BTTL3,15.01,7.5,5.7,168373.0,[]
PENALTY,CAMB3,5.04,43.96,4.3,541740.0,[]
CAMIL,CAML3,9.64,8.04,8.0,15933000.0,[]
CSU CARDSYST,CARD3,23.89,14.3,15.8,9298110.0,[]
MELIUZ,CASH3,34.41,173.01,16.4,90853700.0,[]
AMPLA ENERG,CBEE3,23.45,36.86,3.4,131597.0,[]
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,12.49,12.55,49.8,5305800.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.64,13.91,26.9,171563000.0,[]
CEA MODAS,CEAB3,13.74,-11.82,-9.6,31318400.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,185.0,1.38,-29.5,805027.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,187.0,1.67,-29.5,91538.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,187.0,1.67,-29.5,290950.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,9.82,7.88,5.8,35934.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.45,7.01,5.8,253517.0,[]
COELBA,CEEB3,39.9,9.12,17.3,67178.0,[]
CEEE-D,CEED3,58.1,-5.26,-8.1,28856.0,[]
CEEE-D,CEED4,53.0,-5.09,-8.1,2980.0,[]
CEG,CEGR3,60.1,27.34,19.3,11921.0,[]
CELPE,CEPE5,26.88,9.07,10.8,36534.0,[]
CELPE,CEPE6,28.5,9.23,10.8,6737.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP3,28.5,18.11,28.3,365160.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP5,34.38,21.5,28.3,29928.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.16,16.19,28.3,59624100.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,141.0,12.74,22.3,16224.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,160.52,14.14,22.3,312411.0,[]
GRAZZIOTIN,CGRA3,33.5,10.47,10.9,39205.0,[]
GRAZZIOTIN,CGRA4,33.0,10.27,10.9,747219.0,[]
CIELO,CIEL3,3.82,19.35,11.6,100061000.0,[]
CELESC,CLSC3,72.0,5.29,7.7,18428.0,[]
CELESC,CLSC4,66.01,4.96,7.7,416846.0,[]
CEMIG,CMIG3,15.68,7.2,18.8,9310230.0,[]
CEMIG,CMIG4,13.12,6.33,18.8,123069000.0,[]
CSNMINERACAO,CMIN3,9.23,4.95,55.0,107438000.0,[]
CIA ENERG CEARA - COELCE,COCE3,70.84,22.79,6.0,3254.0,[]
CIA ENERG CEARA - COELCE,COCE5,57.86,19.97,6.0,1034300.0,[]
COGNA,COGN3,3.92,-24.84,-11.4,173994000.0,[]
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,-1.18,57.9,0.0,[]
CPFL ENERGIA S.A.,CPFE3,28.8,8.66,17.1,69027600.0,[]
COPEL,CPLE3,5.48,4.93,22.6,11558500.0,[]
COPEL,CPLE6,6.08,5.3,22.6,78394300.0,[]
CR2,CRDE3,24.94,-4.49,-457.5,14498.0,[]
CARREFOUR BR,CRFB3,21.2,10.09,6.8,95025400.0,[]
CRISTAL,CRPG3,62.03,7.75,22.6,2849.0,[]
CRISTAL,CRPG5,70.0,9.0,22.6,943449.0,[]
CRISTAL,CRPG6,67.99,8.69,22.6,233338.0,[]
COSAN SA INDUSTRIA E COMERCIO,CSAN3,21.91,36.16,13.7,181729000.0,[]
CRUZEIRO EDU,CSED3,13.25,24.96,11.4,4949950.0,[]
COPASA MG,CSMG3,17.51,6.95,24.7,36796700.0,[]
CSN,CSNA3,45.7,6.2,34.9,569878000.0,[]
COSERN,CSRN3,16.1,8.57,17.1,49065.0,[]
COSERN,CSRN5,16.86,8.82,17.1,13452.0,[]
COSERN,CSRN6,16.0,8.53,17.1,13987.0,[]
KARSTEN,CTKA3,31.5,25.94,6.7,22882.0,[]
KARSTEN,CTKA4,26.27,24.74,6.7,116824.0,[]
COTEMINAS,CTNM3,11.6,11.23,7.0,5861.0,[]
COTEMINAS,CTNM4,6.19,10.12,7.0,198170.0,[]
SANTANENSE,CTSA3,2.54,37.39,2.7,126397.0,[]
SANTANENSE,CTSA4,2.1,33.8,2.7,83160.0,[]
CURY S/A,CURY3,9.41,9.58,21.5,10881300.0,[]
CVC BRASIL,CVCB3,23.57,-8.22,-160.0,145113000.0,[]
CYRELA BRAZIL REALTY,CYRE3,21.95,15.54,15.1,134320000.0,[]
DIAGNOSTICOS DA AMERICA SA,DASA3,59.4,247.0,1.9,19300100.0,[]
Direcional Engenharia,DIRR3,12.88,7.26,17.6,17816800.0,[]
DOMMO,DMMO3,0.88,-7.61,-12.1,8399750.0,[]
D1000VFARMA,DMVF3,8.91,5.58,7.5,2691630.0,[]
DOHLER,DOHL3,26.8,31.89,10.8,10428.0,[]
DOHLER,DOHL4,6.18,6.73,10.8,165776.0,[]
DTCOM,DTCY3,10.02,-81.11,-11.1,90933.0,[]
DURATEX,DTEX3,22.2,17.14,15.5,47237000.0,[]
ELECTRO AÇO ALTONA S/A,EALT3,15.3,14.15,10.8,37170.0,[]
ELECTRO AÇO ALTONA S/A,EALT4,6.45,7.2,10.8,452498.0,[]
ECORODOVIAS,ECOR3,12.26,8.06,42.6,53572700.0,[]
CEEE,EEEL3,520.0,10.49,35.9,3535.0,[]
CEEE,EEEL4,600.0,12.11,35.9,0.0,[]
ENGIE BRASIL,EGIE3,40.35,8.5,42.8,63532700.0,[]
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.05,8.45,16.3,1716.0,[]
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,25.55,7.22,16.3,54536.0,[]
ELETROBRÁS,ELET3,41.75,26.78,11.7,243461000.0,[]
ELETROBRÁS,ELET5,64.0,36.66,11.7,14848.0,[]
ELETROBRÁS,ELET6,41.63,26.73,11.7,105510000.0,[]
ELETROMIDIA,ELMD3,17.0,-26.44,-39.6,4497680.0,[]
EMAE,EMAE4,88.01,18.82,34.6,413568.0,[]
EMBRAER,EMBR3,16.66,53.14,2.0,186134000.0,[]
ENAUTA PART,ENAT3,14.49,13.36,25.2,29198700.0,[]
EDP ENERGIAS DO BRASIL S/A,ENBR3,18.62,5.69,20.8,66157300.0,[]
ENEVA,ENEV3,16.74,26.65,30.5,104260000.0,[]
ENERGISA,ENGI11,46.0,9.73,15.4,74180700.0,[]
ENERGISA,ENGI3,16.74,13.96,15.4,334938.0,[]
ENERGISA,ENGI4,7.24,8.63,15.4,404927.0,[]
ENJOEI,ENJU3,10.23,,,24657100.0,[]
ENERGISA MT,ENMT3,56.01,12.69,22.2,78883.0,[]
ENERGISA MT,ENMT4,56.0,12.69,22.2,35340.0,[]
EQTL PARA,EQPA3,4.5,7.93,23.7,273787.0,[]
EQTL PARA,EQPA5,5.56,9.54,23.7,9942.0,[]
EQTL PARAC,EQPA7,5.38,9.27,23.7,9965.0,[]
EQUATORIAL ENERGIA S.A.,EQTL3,25.83,7.62,26.8,186589000.0,[]
ESPACOLASER,ESPA3,16.99,48.27,16.5,19392300.0,[]
ESTRELA,ESTR4,36.7,6.08,9.4,26023.0,[]
ETERNIT,ETER3,31.9,8.6,20.8,83695900.0,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,22.21,8.37,15.2,291076.0,[]
EUCATEX,EUCA4,11.45,5.01,15.2,4632680.0,[]
Even,EVEN3,9.7,3.22,16.3,14209800.0,[]
EZTec,EZTC3,29.63,26.38,24.3,72007500.0,[]
FERBASA,FESA3,58.2,13.32,22.5,60942.0,[]
FERBASA,FESA4,36.67,8.61,22.5,17681200.0,[]
Fer Heringer,FHER3,22.16,4.94,9.6,25916100.0,['RECUPERAÇÃO JUDICIAL']
FLEURY,FLRY3,27.22,17.77,18.3,45187000.0,[]
FRAS-LE S.A.,FRAS3,11.46,12.1,12.7,3106910.0,[]
Metalfrio,FRIO3,70.99,22.54,3.3,23379.0,[]
POMIFRUTAS,FRTA3,7.4,-1199.64,-0.5,419359.0,['RECUPERAÇÃO JUDICIAL']
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,36.61,3.72,92.7,5790.0,[]
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,38.0,3.83,92.7,33900.0,[]
GAFISA,GFSA3,4.28,28.53,6.8,21300200.0,[]
GERDAU S.A.,GGBR3,28.5,8.25,14.2,4566790.0,[]
GERDAU S.A.,GGBR4,33.87,9.53,14.2,485449000.0,[]
GRUPO MATEUS,GMAT3,7.8,18.02,6.9,36535000.0,[]
INTERMEDICA,GNDI3,84.13,43.01,11.0,323529000.0,[]
METALÚRGICA GERDAU,GOAU3,14.21,3.41,14.2,1169860.0,[]
METALÚRGICA GERDAU,GOAU4,15.04,3.54,14.2,145862000.0,[]
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,25.5,-11.09,-34.9,177134000.0,[]
CELGPAR,GPAR3,58.5,,,4178.0,[]
GPC PARTICIPACOES SA,GPCP3,38.26,13.42,8.7,6855830.0,[]
GRENDENE SA,GRND3,9.33,15.66,21.3,18411900.0,[]
Generalshopp,GSHP3,42.48,169.62,11.9,52518.0,[]
GUARARAPES CONFECÇÕES,GUAR3,18.7,-39.02,-4.6,15865200.0,[]
HAGA,HAGA3,3.65,12.13,9.4,117926.0,[]
HAGA,HAGA4,3.27,10.85,9.4,885187.0,[]
HAPVIDA,HAPV3,15.16,48.32,13.6,172986000.0,[]
Helbor,HBOR3,8.57,106.81,2.0,17273700.0,[]
HBR REALTY,HBRE3,15.95,26.7,92.4,2325340.0,[]
HIDROVIAS,HBSA3,6.74,44.88,13.3,31782300.0,[]
CIA HABITASUL,HBTS5,33.1,5.35,70.4,30644.0,[]
HERCULES S/A,HETA4,9.92,-14983.6,-1.4,69133.0,[]
CIA HERING,HGTX3,29.32,164.85,2.5,119617000.0,[]
HOTEIS OTHON S.A.,HOOT4,2.72,-0.9,-259.5,38833.0,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,35.81,22.78,27.3,97415300.0,[]
GRADIENTE,IGBR3,13.97,,,1094830.0,['RECUPERAÇÃO JUDICIAL']
IGUATEMI,IGTA3,43.37,30.16,45.9,95328800.0,[]
INEPAR S/A,INEP3,53.24,-4.01,,1352940.0,['RECUPERAÇÃO JUDICIAL']
INEPAR S/A,INEP4,54.41,-4.05,,2087850.0,['RECUPERAÇÃO JUDICIAL']
INTELBRAS,INTB3,27.39,27.11,12.9,36117200.0,[]
JALLESMACHAD,JALL3,8.74,,,6375900.0,[]
J B DUARTE,JBDU3,3.26,-70.19,,382853.0,[]
J B DUARTE,JBDU4,2.9,-64.49,,722119.0,[]
JBS,JBSS3,30.09,5.96,7.7,444789000.0,[]
JHSF Part,JHSF3,7.35,6.69,59.5,40553800.0,[]
JOSAPAR S/A,JOPA3,29.98,6.43,7.1,23484.0,[]
JOSAPAR S/A,JOPA4,74.88,10.48,7.1,3024.0,[]
JEREISSATI PARTICIPACOES,JPSA3,29.55,15.46,42.7,8445750.0,[]
JULIO SIMOES,JSLG3,11.0,26.65,13.9,4048710.0,[]
KEPLER WEBER SA,KEPL3,52.0,13.44,11.0,11141800.0,[]
KLABIN,KLBN11,26.06,17.51,22.7,179370000.0,[]
KLABIN,KLBN3,5.6,18.25,22.7,1902440.0,[]
KLABIN,KLBN4,5.12,17.33,22.7,9060590.0,[]
LOJAS AMERICANAS S.A.,LAME3,17.39,22.56,6.8,73105700.0,[]
LOJAS AMERICANAS S.A.,LAME4,18.46,23.88,6.8,242030000.0,[]
LAVVI,LAVV3,8.0,7.54,30.4,11364200.0,[]
LOCAMERICA,LCAM3,26.79,17.62,17.0,62199900.0,[]
MAHLE METAL LEVE,LEVE3,29.89,8.4,16.8,17314400.0,[]
LIGHT SA,LIGT3,17.29,6.53,13.5,42059900.0,[]
LINX,LINX3,37.38,51.46,14.8,20822400.0,[]
LIGHTPAR,LIPR3,67.8,-123.84,,35511.0,[]
QUERO-QUERO,LJQQ3,19.85,19.29,11.2,26351600.0,[]
LE LIS BLANC DEUX,LLIS3,3.93,-5.68,-58.4,2080120.0,[]
LOG COM PROP,LOGG3,28.81,31.76,75.6,11850500.0,[]
Log-In,LOGN3,18.8,20.01,12.3,16309000.0,[]
LOPES BRASIL,LPSB3,3.88,9.15,25.5,4887650.0,[]
RENNER,LREN3,44.16,65.29,8.6,424456000.0,[]
LUPATECH,LUPA3,8.34,-15.0,-38.7,40621000.0,['RECUPERAÇÃO JUDICIAL']
TREVISA INVESTIMENTOS SA,LUXM4,71.14,27.66,12.7,40673.0,[]
LOCAWEB,LWSA3,22.95,268.83,7.6,218303000.0,[]
CIA MARCOPOLO,MAPT3,37.0,-255.66,,344.0,[]
CIA MARCOPOLO,MAPT4,40.0,-276.39,,2169.0,[]
MOBLY,MBLY3,17.0,-38.47,-5.1,3312120.0,[]
M.DIASBRANCO,MDIA3,27.49,31.21,4.4,39409000.0,[]
MOURA DUBEUX,MDNE3,8.31,10.68,11.2,2981190.0,[]
IMC S/A,MEAL3,3.81,-6.22,-18.5,17993300.0,[]
MELNICK,MELK3,6.15,10.07,11.0,4297440.0,[]
MANGELS,MGEL4,15.3,12.91,9.9,267863.0,[]
MAGAZ LUIZA,MGLU3,18.53,136.97,2.7,573039000.0,[]
MILLS,MILS3,7.83,54.92,6.2,18319200.0,[]
MMX MINER,MMXM3,14.0,18.64,,10252900.0,['RECUPERAÇÃO JUDICIAL']
MUNDIAL S/A,MNDL3,39.8,5.6,10.2,89027.0,[]
MINUPAR,MNPR3,14.23,1.97,19.8,909116.0,[]
MONTEIRO ARANHA,MOAR3,300.0,-88.3,-35.7,57756.0,[]
MOSAICO SA,MOSI3,19.37,36.85,21.6,34165300.0,[]
MOVIDA,MOVI3,17.7,19.69,14.9,37134600.0,[]
Marfrig,MRFG3,18.05,3.63,12.1,166225000.0,[]
MRV,MRVE3,16.87,14.86,11.8,64813300.0,[]
MELHORAMENTOS,MSPA3,48.0,-8.41,-39.4,321.0,[]
IGUAÇU,MTIG4,54.12,-6.13,-14.0,12021.0,[]
MITRE REALTY,MTRE3,10.85,11.31,9.6,8308140.0,[]
METISA,MTSA4,41.67,6.55,12.2,212860.0,[]
