Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
CIELO,CIEL3,4.09,20.71,11.6,107439000.0,[]
CELESC,CLSC3,70.02,5.18,7.7,19668.0,[]
CELESC,CLSC4,69.47,5.15,7.7,411083.0,[]
CEMIG,CMIG3,16.16,7.37,18.8,9558700.0,[]
CEMIG,CMIG4,13.45,6.44,18.8,123007000.0,[]
CSNMINERACAO,CMIN3,9.12,4.88,55.0,113873000.0,[]
CIA ENERG CEARA - COELCE,COCE3,70.0,22.6,6.0,3755.0,[]
CIA ENERG CEARA - COELCE,COCE5,57.5,19.89,6.0,1020850.0,[]
COGNA,COGN3,4.17,-25.71,-11.4,175721000.0,[]
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,-1.18,57.9,0.0,[]
CPFL ENERGIA S.A.,CPFE3,29.09,8.72,17.1,66842000.0,[]
COPEL,CPLE3,5.62,5.02,22.6,11544000.0,[]
COPEL,CPLE6,6.21,5.38,22.6,74725900.0,[]
CR2,CRDE3,24.99,-4.5,-457.5,15157.0,[]
CARREFOUR BR,CRFB3,21.42,10.18,6.8,83905100.0,[]
CRISTAL,CRPG3,62.03,7.75,22.6,2864.0,[]
CRISTAL,CRPG5,70.5,9.08,22.6,940539.0,[]
CRISTAL,CRPG6,66.98,8.53,22.6,267685.0,[]
COSAN SA INDUSTRIA E COMERCIO,CSAN3,21.87,36.13,13.7,176869000.0,[]
CRUZEIRO EDU,CSED3,13.47,25.37,11.4,4724940.0,[]
COPASA MG,CSMG3,17.9,7.06,24.7,36290100.0,[]
CSN,CSNA3,44.15,6.03,34.9,570008000.0,[]
COSERN,CSRN3,16.2,8.6,17.1,51134.0,[]
COSERN,CSRN5,17.49,9.04,17.1,13827.0,[]
COSERN,CSRN6,16.2,8.6,17.1,14671.0,[]
KARSTEN,CTKA3,30.4,25.69,6.7,24813.0,[]
KARSTEN,CTKA4,27.32,24.98,6.7,122327.0,[]
COTEMINAS,CTNM3,11.58,11.23,7.0,5919.0,[]
COTEMINAS,CTNM4,6.13,10.1,7.0,206092.0,[]
SANTANENSE,CTSA3,2.52,37.23,2.7,118712.0,[]
SANTANENSE,CTSA4,2.07,33.56,2.7,86831.0,[]
CURY S/A,CURY3,9.13,9.28,21.5,10826400.0,[]
CVC BRASIL,CVCB3,23.6,-8.23,-160.0,140735000.0,[]
CYRELA BRAZIL REALTY,CYRE3,22.64,15.99,15.1,134042000.0,[]
DIAGNOSTICOS DA AMERICA SA,DASA3,57.98,241.78,1.9,20835100.0,[]
Direcional Engenharia,DIRR3,12.5,7.06,17.6,18541300.0,[]
DOMMO,DMMO3,0.87,-7.51,-12.1,8219700.0,[]
D1000VFARMA,DMVF3,9.26,5.82,7.5,2558450.0,[]
DOHLER,DOHL3,26.8,31.89,10.8,10664.0,[]
DOHLER,DOHL4,6.19,6.74,10.8,175613.0,[]
DTCOM,DTCY3,9.85,-79.75,-11.1,92421.0,[]
DURATEX,DTEX3,21.15,16.42,15.5,47715200.0,[]
ELECTRO AÇO ALTONA S/A,EALT3,15.0,13.92,10.8,37711.0,[]
