Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,12.85,14.93,12.33,15960000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,14.53,10.98,27.80,359890000.0,FASE OPERACIONAL
AERIS,AERI3,5.92,27.12,7.06,13950000.0,FASE OPERACIONAL
AES BRASIL,AESB3,10.31,99.92,8.41,14690000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,8.38,24.54,53.41,4920.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,28.06,5.18,32.47,20880000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,10.4,17.38,2.79,455550.0,FASE OPERACIONAL
SPTURIS,AHEB3,27.5,-6.16,-19.49,3460.0,FASE OPERACIONAL
SPTURIS,AHEB5,22.0,-6.16,-19.49,30611.0,FASE OPERACIONAL
ALLIED,ALLD3,15.12,2.81,8.39,4830000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,28.97,29.23,14.25,79250.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,32.35,29.23,14.25,94580000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,4.0,-276.35,-1.08,95330.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,18.64,17.91,37.03,28710000.0,FASE OPERACIONAL
ALUPAR,ALUP11,23.59,3.26,71.60,21560000.0,FASE OPERACIONAL
ALUPAR,ALUP3,7.9,3.26,71.60,628790.0,FASE OPERACIONAL
ALUPAR,ALUP4,7.9,3.26,71.60,637440.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,3.06,-132.86,-0.62,30110000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,35.12,21.21,17.76,48420000.0,FASE OPERACIONAL
AMERICANAS,AMER3,27.7,66.29,2.55,228360000.0,FASE OPERACIONAL
ANIMA,ANIM3,7.1,24.13,13.81,24830000.0,FASE OPERACIONAL
ALPER S.A.,APER3,28.93,77.87,3.39,1630000.0,FASE PRÉ-OPERACIONAL
ARMAC,ARML3,20.4,77.3,33.85,17780000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,67.41,16.7,16.90,67570000.0,FASE OPERACIONAL
ASSAI,ASAI3,11.36,7.71,6.50,167260000.0,FASE OPERACIONAL
ATMASA,ATMP3,2.5,-3.82,-8.65,136470.0,FASE OPERACIONAL
ATOMPAR,ATOM3,3.3,8.1,21.77,126850.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,28.69,-5.83,-83.77,460760.0,FASE OPERACIONAL
AZEVEDO,AZEV3,4.06,1.22,296.26,369280.0,FASE OPERACIONAL
AZEVEDO,AZEV4,3.48,1.22,296.26,1860000.0,FASE OPERACIONAL
AZUL,AZUL4,23.9,-17.11,-10.79,215660000.0,FASE OPERACIONAL
BAHEMA,BAHI3,14.49,-19.11,-5.14,35490.0,FASE OPERACIONAL
BAUMER,BALM3,15.5,9.59,8.76,2280.0,FASE OPERACIONAL
BAUMER,BALM4,12.48,9.59,8.76,6900.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,83.9,25.58,9.20,31770.0,FASE OPERACIONAL
BR BROKERS,BBRK3,0.98,-0.53,-71.69,2080000.0,FASE OPERACIONAL
BARDELLA,BDLL3,12.0,-6.22,-385.42,19350.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,10.6,-6.22,-385.42,4740.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,9.92,6.1,7.71,68480000.0,FASE OPERACIONAL
BIOMM,BIOM3,13.44,-16.75,-59.30,131270.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,5.41,-6.74,-10.43,19300000.0,FASE OPERACIONAL
