Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,15.64,17.24,12.33,13860000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,15.4,11.69,27.80,344130000.0,FASE OPERACIONAL
AERIS,AERI3,6.1,27.86,7.06,13120000.0,FASE OPERACIONAL
AES BRASIL,AESB3,11.5,105.62,8.41,11420000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.15,26.88,53.41,5180.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,26.41,5.01,31.65,17320000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,10.39,17.37,2.79,639190.0,FASE OPERACIONAL
SPTURIS,AHEB3,27.5,-6.16,-19.49,3420.0,FASE OPERACIONAL
SPTURIS,AHEB5,22.0,-6.16,-19.49,30611.0,FASE OPERACIONAL
ALLIED,ALLD3,15.55,2.89,8.39,3590000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,26.16,26.77,14.25,75970.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,30.21,26.77,14.25,92160000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,4.3,-284.09,-1.08,87270.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,22.2,20.82,37.03,30900000.0,FASE OPERACIONAL
ALUPAR,ALUP11,24.84,3.31,71.60,20220000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.12,3.31,71.60,87820.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.29,3.31,71.60,103720.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,3.45,-139.57,-0.62,28120000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,38.55,22.71,17.76,38270000.0,FASE OPERACIONAL
AMERICANAS,AMER3,33.47,78.34,2.55,218760000.0,FASE OPERACIONAL
ANIMA,ANIM3,8.35,25.81,13.81,24410000.0,FASE OPERACIONAL
ALPER S.A.,APER3,32.15,89.17,3.39,1640000.0,FASE PRÉ-OPERACIONAL
ARMAC,ARML3,20.92,79.32,33.85,15770000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,79.67,19.63,16.90,71460000.0,FASE OPERACIONAL
