Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,9.99,69.84,2.55,14450000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,16.63,13.26,28.38,430920000.0,FASE OPERACIONAL
AERIS,AERI3,8.6,32.02,8.71,33900000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.0,75.62,24.35,11560000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.69,28.99,56.15,21290.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,28.57,8.94,34.26,24050000.0,FASE OPERACIONAL
SPTURIS,AHEB3,28.9,-7.24,-17.42,5110.0,FASE OPERACIONAL
SPTURIS,AHEB5,19.99,-7.24,-17.42,42982.0,FASE OPERACIONAL
SPTURIS,AHEB6,51.5,-7.24,-17.42,50105.0,FASE OPERACIONAL
ALLIED,ALLD3,30.23,9.05,6.39,13840000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,51.9,71.87,12.57,153400.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,60.9,71.87,12.57,89890000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,6.6,-96.28,-4.96,306450.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,27.91,34.57,30.24,42640000.0,FASE OPERACIONAL
ALUPAR,ALUP11,25.11,3.95,57.88,21000000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.48,3.95,57.88,177510.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.48,3.95,57.88,238910.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,7.51,-13.17,-12.13,67620000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,55.29,40.39,18.24,32740000.0,FASE OPERACIONAL
AMERICANAS,AMER3,47.79,192.03,1.12,57490000.0,FASE OPERACIONAL
ANIMA,ANIM3,11.84,25.78,12.99,28210000.0,FASE OPERACIONAL
ALPER S.A.,APER3,46.72,-213.33,-3.21,6000000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,91.79,103.58,5.20,50240000.0,FASE OPERACIONAL
ASSAI,ASAI3,87.08,11.65,6.18,120480000.0,FASE OPERACIONAL
ATMASA,ATMP3,6.6,-4.28,-10.47,1470000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,5.45,7.73,35.35,653020.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,27.4,-4.86,-102.43,202520.0,FASE OPERACIONAL
AZEVEDO,AZEV3,7.51,0.93,601.47,1270000.0,FASE OPERACIONAL
AZEVEDO,AZEV4,7.3,0.93,601.47,6620000.0,FASE OPERACIONAL
AZUL,AZUL4,37.74,-10.02,-37.84,228940000.0,FASE OPERACIONAL
B3,B3SA3,15.94,14.77,61.43,668460000.0,FASE OPERACIONAL
BAHEMA,BAHI3,78.0,-12.1,-4.94,80970.0,FASE OPERACIONAL
BAUMER,BALM3,20.0,8.86,11.93,14500.0,FASE OPERACIONAL
BAUMER,BALM4,19.0,8.86,11.93,88780.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,88.92,8.94,11.40,23730.0,FASE OPERACIONAL
BR BROKERS,BBRK3,2.23,-1.25,-101.08,11460000.0,FASE OPERACIONAL
BARDELLA,BDLL3,10.55,-4.42,-353.49,59870.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,11.7,-4.42,-353.49,108930.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,8.7,5.39,8.97,62640000.0,FASE OPERACIONAL
BIOMM,BIOM3,14.5,-18.47,-92.41,171310.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,10.52,-7.03,-20.55,22190000.0,FASE OPERACIONAL
BLAU,BLAU3,50.3,21.53,34.52,14930000.0,FASE OPERACIONAL
BIC MONARK,BMKS3,233.0,-20.53,8.31,93380.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,20.0,7.91,34.97,22100000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,12.45,82.6,10.42,8800000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.25,9.66,6.49,769390.0,FASE OPERACIONAL
BRADESPAR,BRAP3,65.21,7.71,,2810000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,76.35,7.71,,156220000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,28.08,7.82,5.72,328760000.0,FASE OPERACIONAL
BRF SA,BRFS3,24.79,12.05,7.10,263210000.0,FASE OPERACIONAL
BRASKEM,BRKM3,56.4,4.04,19.50,798850.0,FASE OPERACIONAL
BRASKEM,BRKM5,57.82,4.04,19.50,172510000.0,FASE OPERACIONAL
BRASKEM,BRKM6,37.5,4.04,19.50,2660.0,FASE OPERACIONAL
BR MALLS PAR,BRML3,10.06,-31.73,-40.70,151280000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,8.79,15.68,123.18,15940000.0,FASE OPERACIONAL
CAMBUCI,CAMB3,5.02,9.06,17.13,554060.0,FASE OPERACIONAL
CAMIL,CAML3,8.96,7.57,7.62,12640000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,21.85,12.71,16.35,9350000.0,FASE OPERACIONAL
MELIUZ,CASH3,66.68,248.82,18.59,168350000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,23.4,104.23,1.16,21560.0,FASE OPERACIONAL
CYRE COM-CCP,CCPR3,11.11,11.86,48.94,3770000.0,FASE OPERACIONAL
CCR SA,CCRO3,12.73,13.32,26.87,119440000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,11.65,-13.31,-7.30,20990000.0,FASE OPERACIONAL
CEB,CEBR3,177.0,0.02,706.26,295760.0,FASE OPERACIONAL
CEB,CEBR5,182.0,0.02,706.26,107080.0,FASE OPERACIONAL
