Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,11.93,16.21,10.90,16530000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,16.52,13.17,28.38,407070000.0,FASE OPERACIONAL
AERIS,AERI3,7.99,30.81,8.06,30670000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.92,78.3,24.35,12770000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,8.66,25.85,56.15,22060.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,29.34,7.12,32.29,18440000.0,FASE OPERACIONAL
SPTURIS,AHEB3,25.25,-6.83,-15.75,2380.0,FASE OPERACIONAL
SPTURIS,AHEB5,21.0,-6.83,-15.75,41574.0,FASE OPERACIONAL
SPTURIS,AHEB6,51.5,-6.83,-15.75,35952.0,FASE OPERACIONAL
ALLIED,ALLD3,27.9,5.51,8.87,16740000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,49.3,58.35,13.20,180240.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,58.98,58.35,13.20,103730000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,6.61,-90.51,-4.53,290660.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,23.92,26.71,33.73,36640000.0,FASE OPERACIONAL
ALUPAR,ALUP11,24.74,3.37,65.89,20440000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.29,3.37,65.89,159820.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.29,3.37,65.89,209160.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,6.15,-22.72,-5.35,62080000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,64.8,44.5,18.23,63860000.0,FASE OPERACIONAL
AMERICANAS,AMER3,41.32,209.59,1.40,132140000.0,FASE OPERACIONAL
ANIMA,ANIM3,9.61,38.3,12.33,31520000.0,FASE OPERACIONAL
ALPER S.A.,APER3,45.24,-206.57,-3.21,5830000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,85.79,23.48,17.47,53350000.0,FASE OPERACIONAL
ASSAI,ASAI3,17.54,11.75,6.18,136490000.0,FASE OPERACIONAL
ATMASA,ATMP3,5.39,-4.58,-8.76,627990.0,FASE OPERACIONAL
ATOMPAR,ATOM3,5.16,8.38,31.96,484130.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,28.81,-5.96,-63.77,217660.0,FASE OPERACIONAL
AZEVEDO,AZEV3,6.25,1.98,395.24,1400000.0,FASE OPERACIONAL
AZEVEDO,AZEV4,4.9,1.98,395.24,7380000.0,FASE OPERACIONAL
AZUL,AZUL4,37.12,-15.18,-19.48,174940000.0,FASE OPERACIONAL
B3,B3SA3,14.07,11.94,63.19,617920000.0,FASE OPERACIONAL
BAHEMA,BAHI3,14.3,-16.0,-5.47,76970.0,FASE OPERACIONAL
BAUMER,BALM3,18.2,12.39,8.25,11090.0,FASE OPERACIONAL
BAUMER,BALM4,16.21,12.39,8.25,78400.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,87.99,21.05,11.24,19050.0,FASE OPERACIONAL
BR BROKERS,BBRK3,2.02,-1.3,-78.69,11530000.0,FASE OPERACIONAL
BARDELLA,BDLL3,10.9,-5.64,-227.65,53940.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,11.47,-5.64,-227.65,95150.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,7.92,5.22,8.07,62020000.0,FASE OPERACIONAL
BIOMM,BIOM3,13.0,-16.8,-67.85,141130.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,9.45,-8.27,-14.55,20260000.0,FASE OPERACIONAL
BLAU,BLAU3,50.45,17.69,36.11,14550000.0,FASE OPERACIONAL
BIC MONARK,BMKS3,236.97,-32.61,3.85,94130.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,22.1,12.58,34.88,19580000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,12.8,65.96,12.49,8850000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.07,4.17,14.71,744850.0,FASE OPERACIONAL
BRADESPAR,BRAP3,57.16,4.01,,2910000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,62.37,4.01,,150010000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,25.61,6.83,5.33,366400000.0,FASE OPERACIONAL
BRF SA,BRFS3,23.64,11.84,6.67,141800000.0,FASE OPERACIONAL
BRASKEM,BRKM3,64.0,4.44,19.50,855280.0,FASE OPERACIONAL
BRASKEM,BRKM5,67.07,4.44,19.50,159750000.0,FASE OPERACIONAL
BRASKEM,BRKM6,40.9,4.44,19.50,2000.0,FASE OPERACIONAL
BR MALLS PAR,BRML3,8.77,25.67,42.03,141110000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,8.35,15.13,123.18,17490000.0,FASE OPERACIONAL
CAMBUCI,CAMB3,3.92,7.52,17.13,585100.0,FASE OPERACIONAL
CAMIL,CAML3,9.58,7.94,7.62,12570000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,20.01,10.33,17.38,9100000.0,FASE OPERACIONAL
MELIUZ,CASH3,34.55,177.59,10.77,223110000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,23.4,104.23,1.16,16180.0,FASE OPERACIONAL
CYRE COM-CCP,CCPR3,10.55,10.19,53.02,2980000.0,FASE OPERACIONAL
CCR SA,CCRO3,12.0,12.24,27.20,114680000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,8.62,66.81,0.98,24090000.0,FASE OPERACIONAL
CEB,CEBR3,173.28,0.58,658.33,181630.0,FASE OPERACIONAL
CEB,CEBR5,172.0,0.58,658.33,91720.0,FASE OPERACIONAL
CEB,CEBR6,169.0,0.58,658.33,86730.0,FASE OPERACIONAL
CEDRO,CEDO3,8.41,6.69,5.01,30910.0,FASE OPERACIONAL
CEDRO,CEDO4,6.28,6.69,5.01,163380.0,FASE OPERACIONAL
COELBA,CEEB3,41.8,8.32,17.69,75350.0,FASE OPERACIONAL
CEEE-D,CEED3,46.16,-7.18,-15.81,7150.0,FASE OPERACIONAL
CEEE-D,CEED4,55.8,-7.18,-15.81,54186.0,FASE OPERACIONAL
CEG,CEGR3,61.0,26.19,18.29,10890.0,FASE OPERACIONAL
CELPE,CEPE5,25.01,15.78,10.97,6330.0,FASE OPERACIONAL
CELPE,CEPE6,28.05,15.78,10.97,18330.0,FASE OPERACIONAL
CESP,CESP3,22.61,11.6,38.28,171410.0,FASE OPERACIONAL
CESP,CESP5,31.2,11.6,38.28,21040.0,FASE OPERACIONAL
CESP,CESP6,24.0,11.6,38.28,36930000.0,FASE OPERACIONAL
COMGAS,CGAS3,153.0,10.41,24.74,10210.0,FASE OPERACIONAL
COMGAS,CGAS5,147.21,10.41,24.74,373320.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,42.41,5.27,25.30,69830.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,42.52,5.27,25.30,572160.0,FASE OPERACIONAL
CIELO,CIEL3,2.6,32.75,2.19,82820000.0,FASE OPERACIONAL
CELESC,CLSC3,93.69,4.89,8.14,2000.0,FASE OPERACIONAL
CELESC,CLSC4,69.0,4.89,8.14,468550.0,FASE OPERACIONAL
CEMIG,CMIG3,16.75,4.94,23.07,6510000.0,FASE OPERACIONAL
CEMIG,CMIG4,13.69,4.94,23.07,99790000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,6.8,2.59,55.35,49890000.0,FASE OPERACIONAL
COELCE,COCE3,65.9,13.99,8.52,1900.0,FASE OPERACIONAL
COELCE,COCE5,59.87,13.99,8.52,2050000.0,FASE OPERACIONAL
COGNA ON,COGN3,3.06,-4.26,-57.75,148180000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,27.22,7.27,18.25,50750000.0,FASE OPERACIONAL
COPEL,CPLE3,5.98,6.21,20.76,9670000.0,FASE OPERACIONAL
COPEL,CPLE6,6.98,6.21,20.76,56780000.0,FASE OPERACIONAL
CR2,CRDE3,21.79,-2.22,-828.63,8420.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,18.15,8.95,6.48,81880000.0,FASE OPERACIONAL
CRISTAL,CRPG3,110.5,10.23,25.90,6260.0,FASE OPERACIONAL
CRISTAL,CRPG5,95.6,10.23,25.90,3470000.0,FASE OPERACIONAL
CRISTAL,CRPG6,103.97,10.23,25.90,142430.0,FASE OPERACIONAL
COSAN,CSAN3,22.29,16.19,23.49,260380000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,9.04,11.77,16.77,6390000.0,FASE OPERACIONAL
COPASA,CSMG3,14.19,5.62,25.20,25670000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,34.22,2.93,42.24,470860000.0,FASE OPERACIONAL
COSERN,CSRN3,17.9,8.04,17.97,22590.0,FASE OPERACIONAL
COSERN,CSRN5,17.5,8.04,17.97,13300.0,FASE OPERACIONAL
COSERN,CSRN6,19.98,8.04,17.97,12930.0,FASE OPERACIONAL
KARSTEN,CTKA3,28.0,6.47,21.80,4470.0,FASE OPERACIONAL
KARSTEN,CTKA4,28.0,6.47,21.80,30710.0,FASE OPERACIONAL
COTEMINAS,CTNM3,9.91,9.77,6.46,3970.0,FASE OPERACIONAL
COTEMINAS,CTNM4,5.45,9.77,6.46,101010.0,FASE OPERACIONAL
SANTANENSE,CTSA3,2.49,9.09,8.46,328510.0,FASE OPERACIONAL
SANTANENSE,CTSA4,2.05,9.09,8.46,568390.0,FASE OPERACIONAL
CURY S/A,CURY3,7.7,6.63,20.91,7000000.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,20.35,-7.32,-124.74,159510000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,19.28,3.51,58.05,139310000.0,FASE OPERACIONAL
DASA,DASA3,48.96,294.1,1.04,15180000.0,FASE OPERACIONAL
DEXXOS PAR,DEXP3,13.55,5.93,17.98,9860000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
DEXXOS PAR,DEXP4,12.38,5.93,17.98,130920.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
DIRECIONAL,DIRR3,12.54,7.74,17.06,21970000.0,FASE OPERACIONAL
DOMMO,DMMO3,0.81,0.6,182.55,7150000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,6.87,30.53,0.90,1680000.0,FASE OPERACIONAL
DOHLER,DOHL3,23.49,12.11,17.98,1820.0,FASE OPERACIONAL
DOHLER,DOHL4,6.28,12.11,17.98,199290.0,FASE OPERACIONAL
DTCOM-DIRECT,DTCY3,8.45,-24.98,-36.67,116600.0,FASE OPERACIONAL
NOT FOUND,DTEX3,,,,,
ACO ALTONA,EALT3,12.42,8.99,11.04,9780.0,FASE OPERACIONAL
ACO ALTONA,EALT4,6.78,8.99,11.04,439350.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,9.67,12.29,24.46,55800000.0,FASE OPERACIONAL
NOT FOUND,EEEL3,,,,,
NOT FOUND,EEEL4,,,,,
ENGIE BRASIL,EGIE3,39.08,7.64,44.26,49270000.0,FASE OPERACIONAL
ELEKTRO,EKTR3,43.26,8.89,15.37,13500.0,FASE OPERACIONAL
ELEKTRO,EKTR4,28.96,8.89,15.37,24850.0,FASE OPERACIONAL
ELETROBRAS,ELET3,36.75,7.86,31.97,219080000.0,FASE OPERACIONAL
ELETROBRAS,ELET5,77.0,7.86,31.97,1750.0,FASE OPERACIONAL
ELETROBRAS,ELET6,37.1,7.86,31.97,107560000.0,FASE OPERACIONAL
ELETROMIDIA,ELMD3,17.9,-37.0,-24.10,3920000.0,FASE OPERACIONAL
EMAE,EMAE4,80.0,10.31,36.04,315040.0,FASE OPERACIONAL
EMBRAER,EMBR3,22.78,28.93,3.75,215920000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,13.35,2.49,107.04,33040000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,18.55,5.61,21.01,48180000.0,FASE OPERACIONAL
ENEVA,ENEV3,15.95,22.4,31.18,77240000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ENERGISA,ENGI11,44.38,8.99,16.77,70380000.0,FASE OPERACIONAL
ENERGISA,ENGI3,15.57,8.99,16.77,134610.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.18,8.99,16.77,175330.0,FASE OPERACIONAL
ENJOEI,ENJU3,5.91,-7.58,-93.50,18590000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,78.0,13.53,24.77,70180.0,FASE OPERACIONAL
ENERGISA MT,ENMT4,78.0,13.53,24.77,32860.0,FASE OPERACIONAL
EMBPAR S/A,EPAR3,14.98,3.86,8.54,86210.0,FASE OPERACIONAL
EQTL PARA,EQPA3,5.17,9.47,20.70,227560.0,FASE OPERACIONAL
EQTL PARA,EQPA7,9.6,9.47,20.70,26490.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,26.02,7.14,26.64,162690000.0,FASE OPERACIONAL
