Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,20.07,46.84,5.79,8630000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,14.21,12.4,22.97,334540000.0,FASE OPERACIONAL
AERIS,AERI3,3.78,18.39,8.41,10690000.0,FASE OPERACIONAL
AES BRASIL,AESB3,10.92,26.81,13.62,15840000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.28,5.34,84.24,5310.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,31.44,4.35,39.54,27430000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,10.65,10.63,3.14,896630.0,FASE OPERACIONAL
SPTURIS,AHEB6,41.2,-35.12,-3.15,6338.0,FASE OPERACIONAL
ALLIED,ALLD3,13.7,3.93,6.66,1650000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,18.05,23.47,12.84,87230.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,22.17,23.47,12.84,82370000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,3.58,,0.11,134280.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,18.85,5.68,55.68,26750000.0,FASE OPERACIONAL
ALUPAR,ALUP11,26.5,4.16,77.23,26400000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.88,4.16,77.23,91230.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.87,4.16,77.23,106520.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,2.59,-95.51,-0.85,15170000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,32.35,5.82,40.27,27290000.0,FASE OPERACIONAL
AMERICANAS,AMER3,21.5,24.4,4.29,193270000.0,FASE OPERACIONAL
ANIMA,ANIM3,5.55,15.94,11.91,15870000.0,FASE OPERACIONAL
ALPER S.A.,APER3,33.31,34.76,7.36,1230000.0,FASE PRÉ-OPERACIONAL
ARMAC,ARML3,12.98,25.84,32.83,9470000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,81.27,14.44,18.04,83470000.0,FASE OPERACIONAL
ASSAI,ASAI3,16.09,10.79,5.97,113050000.0,FASE OPERACIONAL
ATMASA,ATMP3,1.9,-2.62,-14.28,38090.0,FASE OPERACIONAL
ATOMPAR,ATOM3,2.75,4.77,29.38,103140.0,FASE OPERACIONAL
AUREN,AURE3,14.37,13.83,37.28,30220000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,19.0,-5.24,-126.33,56000.0,FASE OPERACIONAL
AZEVEDO,AZEV3,3.57,4.89,24.69,124400.0,FASE OPERACIONAL
AZEVEDO,AZEV4,2.76,4.89,24.69,821950.0,FASE OPERACIONAL
AZUL,AZUL4,20.95,178.2,1.33,187270000.0,FASE OPERACIONAL
B3,B3SA3,12.41,11.74,59.11,532420000.0,FASE OPERACIONAL
BAHEMA,BAHI3,13.49,-14.85,-8.87,107260.0,FASE OPERACIONAL
BAUMER,BALM3,14.42,8.03,9.74,37320.0,FASE OPERACIONAL
BAUMER,BALM4,11.25,8.03,9.74,8970.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,77.88,188.21,1.23,19670.0,FASE OPERACIONAL
NOT FOUND,BBRK3,,,,,
BARDELLA,BDLL3,11.0,-9.2,-140.71,2990.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,9.0,-9.2,-140.71,3390.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,13.41,6.67,7.73,82190000.0,FASE OPERACIONAL
BIOMM,BIOM3,10.55,-12.12,-60.65,60650.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,7.8,-54.2,-1.58,15630000.0,FASE OPERACIONAL
BLAU,BLAU3,23.89,8.56,32.75,7240000.0,FASE OPERACIONAL
B TECH EQI,BLUT3,1.09,-3.36,,151800.0,FASE OPERACIONAL
B TECH EQI,BLUT4,0.52,-3.36,,306750.0,FASE OPERACIONAL
BIC MONARK,BMKS3,233.0,-17.57,14.23,12280.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,13.83,8.23,11.03,8000000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,6.5,103.72,2.68,7900000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,1.39,4.27,11.52,48280.0,FASE OPERACIONAL
BRADESPAR,BRAP3,25.22,1.34,,4250000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,27.91,1.34,,128760000.0,FASE OPERACIONAL
BRF SA,BRFS3,14.53,15.57,3.73,139990000.0,FASE OPERACIONAL
BRISANET,BRIT3,2.4,22.93,9.09,1690000.0,FASE OPERACIONAL
BRASKEM,BRKM3,42.07,2.28,21.04,375320.0,FASE OPERACIONAL
BRASKEM,BRKM5,42.81,2.28,21.04,107960000.0,FASE OPERACIONAL
BRASKEM,BRKM6,23.35,2.28,21.04,64208.0,FASE OPERACIONAL
BR MALLS PAR,BRML3,8.35,14.81,51.90,129500000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,8.82,32.67,58.52,22120000.0,FASE OPERACIONAL
CAMBUCI,CAMB3,5.24,6.48,17.40,199140.0,FASE OPERACIONAL
CAMIL,CAML3,8.87,7.84,7.06,11090000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,13.73,6.33,18.08,2520000.0,FASE OPERACIONAL
MELIUZ,CASH3,1.97,-11.86,-30.21,71650000.0,FASE OPERACIONAL
CBA,CBAV3,15.48,6.3,18.51,64050000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,19.21,15.16,6.95,84405.0,FASE OPERACIONAL
CCR SA,CCRO3,13.13,5.72,49.39,118240000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,3.37,22.92,1.63,16560000.0,FASE OPERACIONAL
CEB,CEBR3,15.65,1.91,52.14,61430.0,FASE OPERACIONAL
CEB,CEBR5,14.37,1.91,52.14,84970.0,FASE OPERACIONAL
CEB,CEBR6,14.42,1.91,52.14,414980.0,FASE OPERACIONAL
CEDRO,CEDO3,6.72,6.94,3.84,5830.0,FASE OPERACIONAL
CEDRO,CEDO4,4.59,6.94,3.84,10330.0,FASE OPERACIONAL
COELBA,CEEB3,36.5,6.32,21.63,28170.0,FASE OPERACIONAL
COELBA,CEEB5,34.49,6.32,21.63,36029.0,FASE OPERACIONAL
CEEE-D,CEED3,46.0,67.84,1.58,98340.0,FASE OPERACIONAL
CEEE-D,CEED4,65.5,67.84,1.58,1190.0,FASE OPERACIONAL
CEG,CEGR3,89.0,30.52,16.23,13692.0,FASE OPERACIONAL
CELPE,CEPE5,40.0,14.01,11.77,14970.0,FASE OPERACIONAL
CELPE,CEPE6,40.16,14.01,11.77,19440.0,FASE OPERACIONAL
COMGAS,CGAS3,124.07,8.32,20.67,25460.0,FASE OPERACIONAL
COMGAS,CGAS5,123.03,8.32,20.67,294840.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,32.5,3.11,28.94,188220.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,32.59,3.11,28.94,287450.0,FASE OPERACIONAL
CIELO,CIEL3,4.04,58.32,1.99,103620000.0,FASE OPERACIONAL
CLEARSALE,CLSA3,4.44,-1.78,-34.55,13960000.0,FASE OPERACIONAL
CELESC,CLSC3,58.5,3.57,7.75,9260.0,FASE OPERACIONAL
CELESC,CLSC4,60.5,3.57,7.75,285850.0,FASE OPERACIONAL
CEMIG,CMIG3,15.1,5.13,20.29,8690000.0,FASE OPERACIONAL
CEMIG,CMIG4,11.73,5.13,20.29,124680000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,4.67,2.87,47.02,35050000.0,FASE OPERACIONAL
COELCE,COCE5,50.2,7.58,12.51,1210000.0,FASE OPERACIONAL
