Ticker,Cotação,VARIAÇÃO (12M),P/L,P/VP,DY,carteira investidor 10,P/RECEITA (PSR),DIVIDEND YIELD ,PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,data da cotação,CAGR LUCROS 5 ANOS
aalr3,"R$ 14,70","41,21%","-7,96","1,60",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,46",-,-,"-18,37%","29,80%","3,29%","11,12%","17,59","59,52","13,15","44,50","0,65","-11,19","-0,82","9,21","-1,85","0,44","-20,06%","1,36%","-7,74%","0,54","4,44","15,01","0,77","0,40","0,58","0,78","2,08%",R$ 1.738.904.000,R$ 2.325.592.000,R$ 1.089.045.000, 118.292.000,R$ 2.692.409.000,R$ 563.769.000,R$ 841.166.000,R$ 586.688.000,R$ 254.478.000,Novo Mercado,"6,19%","100,00%",R$ 363.000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",14/10/2024,
abcb4,"R$ 21,16","9,71%","5,55","0,83","7,19%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,62","7,19%","40,02%","11,25%","17,05%","13,24%",-,,"4,71",,"4,71","0,08","0,40","-0,12","25,48","3,81","0,12","14,96%","16,23%","1,38%",,,,,"0,09","0,91","2,13","25,56%",R$ 5.176.939.000,R$ 5.176.939.000,R$ 6.235.066.000, 244.656.000,R$ 67.353.006.000,R$ 24.345.254.000,,,R$ 4.068.885.000,Nível 2,"30,59%","100,00%",R$ 10.792.000,Financeiro,Bancos,14/10/2024,"12,04%"
abev3,"R$ 12,92","3,93%","14,14","2,14","5,67%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,53","5,67%","79,93%","17,85%","50,83%","23,88%","31,99%","7,43","9,96","7,89","10,57","1,42","55,05","-1,94","6,05","0,91","0,56","15,11%","17,59%","10,32%","-0,12","-0,46","-0,62","0,04","0,66","0,33","1,11","8,92%",R$ 203.588.932.000,R$ 191.703.493.000,R$ 95.262.776.000, 15.757.657.000,R$ 143.438.846.000,R$ 38.316.335.000,R$ 3.456.152.000,R$ -11.885.439.000,R$ 15.341.591.000,Tradicional,"27,89%","80,00%",R$ 421.984.000,Consumo não Cíclico,Cervejas e Refrigerantes,14/10/2024,"3,96%"
aeri3,"R$ 6,46","-60,12%","-3,66","0,37",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,19",-,-,"-5,26%","14,18%","8,06%","11,68%","3,98","5,76","1,65","2,39","0,11","0,48","-0,31","17,62","-1,76","0,57","-10,01%","5,64%","-3,00%","0,52","2,33","3,37","1,41","0,30","0,70","1,54","20,09%",R$ 401.296.000,R$ 967.548.000,R$ 1.094.390.000, 62.120.000,R$ 3.654.948.000,R$ 2.367.105.000,R$ 1.543.679.000,R$ 566.252.000,R$ 977.427.000,Nível 1,"57,08%","100,00%",R$ 2.199.000,Bens Industriais,Máquinas e Equipamentos Industriais,14/10/2024,
aesb3,"R$ 11,75","13,46%","-53,05","1,66","0,64%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,97","0,64%","-33,69%","-3,72%","31,46%","25,36%","45,82%","10,41","18,81","4,31","7,78","0,35","-7,06","-0,42","7,08","-0,22","0,18","-3,13%","5,30%","0,13%","2,35","6,10","11,02","2,86","0,21","0,74","0,77",,R$ 7.072.645.000,R$ 17.089.436.000,R$ 4.262.700.000, 601.927.000,R$ 20.299.813.000,R$ 3.405.914.000,R$ 12.191.010.000,R$ 10.016.791.000,R$ 2.174.219.000,Novo Mercado,"52,68%","100,00%",R$ 45.078.000,Utilidade Pública,Energia Elétrica,14/10/2024,
aflt3,"R$ 7,03","-2,36%","15,77","1,84","1,81%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","8,31","1,81%","33,32%","52,68%","68,60%","60,77%","61,14%","12,84","12,92","13,59","13,67","1,43","16,07","-1,94","3,83","0,45","0,17","11,65%","11,07%","9,08%","-0,10","-0,75","-0,75",-,"0,78","0,22","1,52","6,69%",R$ 443.485.000,R$ 418.994.000,R$ 241.397.000, 63.084.000,R$ 309.593.000,R$ 81.122.000,R$ 34.000,R$ -24.491.000,R$ 24.525.000,Tradicional,"1,33%",-,R$ 1.000,Utilidade Pública,Energia Elétrica,10/10/2024,"2,17%"
agro3,"R$ 25,00","-2,52%","11,32","1,18","12,98%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,42","12,98%","145,40%","21,42%","29,45%","17,55%","25,12%","12,85","18,39","9,65","13,82","0,71","4,49","-1,02","21,23","2,21","0,29","10,41%","4,67%","6,29%","0,39","3,20","4,58","0,48","0,60","0,40","2,09","13,29%",R$ 2.567.086.000,R$ 3.417.190.000,R$ 2.179.679.000, 102.683.000,R$ 3.605.082.000,R$ 1.099.490.000,R$ 1.043.998.000,R$ 850.104.000,R$ 193.894.000,Novo Mercado,"62,15%","100,00%",R$ 6.637.000,Consumo não Cíclico,Agricultura,14/10/2024,"17,35%"
agxy3,"R$ 0,53","-87,07%","-0,18","0,13",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,01",-,-,"-6,90%","9,32%","-0,76%","1,65%","9,30","-20,14","0,74","-1,60","0,01","-0,21","-0,04","4,13","-3,00","1,14","-72,76%","-11,82%","-7,96%","1,49","8,56","-18,54","2,05","0,11","0,89","0,91","38,86%",R$ 90.537.000,R$ 1.139.288.000,R$ 705.136.000, 170.824.000,R$ 6.513.329.000,R$ 4.248.707.000,R$ 1.442.012.000,R$ 1.048.751.000,R$ 393.261.000,Nível 1,"37,28%","100,00%",R$ 574.000,Consumo não Cíclico,Agricultura,14/10/2024,
aheb3,"R$ 38,00","137,50%","2,59","2,42",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,50",-,-,"19,37%","30,50%","23,93%","24,96%","1,50","1,56","2,01","2,10","0,64","1,76","-1,58","15,72","14,65","1,27","93,20%","100,29%","24,55%","-0,62","-0,51","-0,54","0,02","0,26","0,74","2,55","41,27%",R$ 324.702.000,R$ 241.907.000,R$ 134.277.000, 8.543.000,R$ 509.841.000,R$ 304.025.000,R$ 3.269.000,R$ -82.795.000,R$ 86.064.000,Tradicional,"3,25%",-,R$ 8.000,Consumo Cíclico,Produção de Eventos e Shows,14/10/2024,
aheb5,"R$ 41,00","147,14%","2,80","2,61",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,54",-,-,"19,37%","30,50%","23,93%","24,96%","1,50","1,56","2,17","2,27","0,69","1,89","-1,70","15,72","14,65","1,27","93,20%","100,29%","24,55%","-0,62","-0,51","-0,54","0,02","0,26","0,74","2,55","41,27%",R$ 324.702.000,R$ 241.907.000,R$ 134.277.000, 8.543.000,R$ 509.841.000,R$ 304.025.000,R$ 3.269.000,R$ -82.795.000,R$ 86.064.000,Tradicional,"3,25%",-,R$ 4.000,Consumo Cíclico,Produção de Eventos e Shows,03/10/2024,
aheb6,"R$ 35,50","108,58%","2,42","2,26",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,47",-,-,"19,37%","30,50%","23,93%","24,96%","1,50","1,56","1,88","1,96","0,59","1,64","-1,47","15,72","14,65","1,27","93,20%","100,29%","24,55%","-0,62","-0,51","-0,54","0,02","0,26","0,74","2,55","41,27%",R$ 324.702.000,R$ 241.907.000,R$ 134.277.000, 8.543.000,R$ 509.841.000,R$ 304.025.000,R$ 3.269.000,R$ -82.795.000,R$ 86.064.000,Tradicional,"3,25%",-,,Consumo Cíclico,Produção de Eventos e Shows,27/09/2024,
alld3,"R$ 7,62","59,14%","4,63","0,45","26,78%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,13","26,78%","123,62%","2,71%","11,65%","3,65%","4,66%","3,37","4,31","2,69","3,44","0,20","0,65","-0,64","17,05","1,65","1,56","9,66%","7,98%","4,24%","0,11","0,68","0,86","0,38","0,44","0,56","1,78",,R$ 713.602.000,R$ 892.575.000,R$ 1.596.435.000, 93.648.000,R$ 3.637.042.000,R$ 2.514.085.000,R$ 600.594.000,R$ 178.973.000,R$ 421.621.000,Novo Mercado,"29,32%","100,00%",R$ 590.000,Telecomunicações,Telecomunicações,14/10/2024,
alos3,"R$ 22,32","1,27%","17,92","0,87","5,49%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","4,44","5,49%","89,88%","24,80%","72,57%","40,03%","63,20%","4,96","7,83","7,03","11,10","0,44","5,11","-0,53","25,79","1,25","0,10","4,83%","6,84%","2,88%","-0,25","-2,07","-3,27",-,"0,51","0,46","2,06","29,69%",R$ 12.118.351.000,R$ 8.551.247.000,R$ 14.003.250.000, 542.936.000,R$ 27.504.919.000,R$ 4.605.377.000,R$ -,R$ -3.567.104.000,R$ 3.567.104.000,Novo Mercado,"92,76%","100,00%",R$ 94.435.000,Financeiro,Exploração de Imóveis,14/10/2024,"69,46%"
alpa3,"R$ 6,58","-12,38%","-2,87","1,15",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,17",-,-,"-40,63%","42,42%","-41,40%","-36,46%","-3,38","-2,98","-3,20","-2,82","0,69","2,06","-1,42","5,71","-2,29","0,59","-40,18%","-31,16%","-23,90%","0,04","-0,10","-0,09","0,36","0,59","0,41","2,82","0,75%",R$ 4.614.792.000,R$ 4.755.480.000,R$ 3.897.327.000, 683.062.000,R$ 6.555.466.000,R$ 3.379.752.000,R$ 1.416.275.000,R$ 140.688.000,R$ 1.275.587.000,Nível 1,"27,74%","80,00%",R$ 34.000,Consumo Cíclico,Calçados,14/10/2024,
alpa4,"R$ 6,93","-6,73%","-3,02","1,21",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,23",-,-,"-40,63%","42,42%","-41,40%","-36,46%","-3,38","-2,98","-3,37","-2,97","0,72","2,17","-1,49","5,71","-2,29","0,59","-40,18%","-31,16%","-23,90%","0,04","-0,10","-0,09","0,36","0,59","0,41","2,82","0,75%",R$ 4.614.792.000,R$ 4.755.480.000,R$ 3.897.327.000, 683.062.000,R$ 6.555.466.000,R$ 3.379.752.000,R$ 1.416.275.000,R$ 140.688.000,R$ 1.275.587.000,Nível 1,"27,74%",-,R$ 21.272.000,Consumo Cíclico,Calçados,14/10/2024,
alpk3,"R$ 2,67","-43,79%","-15,24","1,63",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,39",-,-,"-2,58%","32,52%","13,30%","22,79%","5,44","9,31","1,73","2,96","0,22","-2,65","-0,27","1,64","-0,18","0,55","-10,70%","9,96%","-1,19%","3,50","3,71","6,35","4,36","0,13","0,86","0,70",,R$ 579.454.000,R$ 1.822.506.000,R$ 355.256.000, 217.024.000,R$ 2.656.070.000,R$ 499.030.000,R$ 1.547.454.000,R$ 1.243.052.000,R$ 304.402.000,Novo Mercado,"40,85%","100,00%",R$ 588.000,Bens Industriais,Serviços Diversos,14/10/2024,
also3,"R$ 10,00","-40,68%","1,79","0,39",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","3,09",-,-,"172,55%","101,48%","315,03%","336,86%","0,64","0,69","0,92","0,98","0,20","4,34","-0,23","25,57","5,58","0,07","21,84%","29,06%","13,88%","-0,12","-0,27","-0,29",-,"0,52","0,44","1,87","20,10%",R$ 5.739.369.000,R$ 4.032.422.000,R$ 14.673.459.000, 573.936.000,R$ 28.202.240.000,R$ 2.839.725.000,R$ -,R$ -1.706.947.000,R$ 1.706.947.000,Novo Mercado,"92,76%","100,00%",,Financeiro,Exploração de Imóveis,13/03/2024,"133,30%"
altf3,-,-,-,-,-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais",,-,,-,-,-,-,,,,,,,,,,,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,-,-,27/09/2021,
alup11,"R$ 29,30","12,51%","12,67","1,19","4,40%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,67","4,40%","55,57%","21,08%","75,16%","71,66%","76,54%","6,82","7,28","3,49","3,73","0,31","3,90","-0,39","24,65","2,31","0,12","9,38%","10,38%","4,06%","1,12","3,28","3,50","1,60","0,26","0,63","1,59","-5,41%",R$ 9.426.068.000,R$ 18.149.049.000,R$ 7.814.087.000, 950.846.000,R$ 30.088.771.000,R$ 6.401.195.000,R$ 12.479.991.000,R$ 8.722.981.000,R$ 3.757.010.000,Nível 2,"34,43%","100,00%",R$ 31.160.000,Utilidade Pública,Energia Elétrica,14/10/2024,"-5,76%"
alup3,"R$ 10,00","15,52%","12,97","1,22","4,33%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,73","4,33%","55,57%","21,08%","75,16%","71,66%","76,54%","6,82","7,28","3,57","3,82","0,32","3,99","-0,40","8,22","0,77","0,12","9,38%","10,38%","4,06%","1,12","3,28","3,50","1,60","0,26","0,63","1,59","-5,41%",R$ 9.426.068.000,R$ 18.149.049.000,R$ 7.814.087.000, 950.846.000,R$ 30.088.771.000,R$ 6.401.195.000,R$ 12.479.991.000,R$ 8.722.981.000,R$ 3.757.010.000,Nível 2,"34,43%","100,00%",R$ 74.000,Utilidade Pública,Energia Elétrica,14/10/2024,"-5,76%"
alup4,"R$ 9,73","12,34%","12,62","1,18","4,48%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,66","4,48%","55,57%","21,08%","75,16%","71,66%","76,54%","6,82","7,28","3,48","3,71","0,31","3,88","-0,39","8,22","0,77","0,12","9,38%","10,38%","4,06%","1,12","3,28","3,50","1,60","0,26","0,63","1,59","-5,41%",R$ 9.426.068.000,R$ 18.149.049.000,R$ 7.814.087.000, 950.846.000,R$ 30.088.771.000,R$ 6.401.195.000,R$ 12.479.991.000,R$ 8.722.981.000,R$ 3.757.010.000,Nível 2,"34,43%","100,00%",R$ 201.000,Utilidade Pública,Energia Elétrica,14/10/2024,"-5,76%"
amar3,"R$ 1,02","-62,91%","-0,13","-0,28",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,06",-,-,"-48,19%","57,49%","-35,64%","-29,63%","-3,97","-3,30","-0,21","-0,17","0,03","-0,09","-0,05","-3,62","-7,89","0,54","-218,16%","-43,75%","-26,23%","-5,04","-3,76","-3,13","-5,17","-0,12","1,12","0,44","-17,18%",R$ 69.939.000,R$ 1.321.311.000,R$ -248.057.000, 68.568.000,R$ 2.063.394.000,R$ 623.117.000,R$ 1.283.184.000,R$ 1.251.372.000,R$ 31.812.000,Novo Mercado,"46,13%","100,00%",R$ 267.000,Consumo Cíclico,"Tecidos, Vestuário e Calçados",14/10/2024,
ambp3,"R$ 133,23","571,86%","-70,19","14,68",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","4,27",-,-,"-6,09%","23,24%","21,28%","30,47%","17,36","24,86","14,02","20,07","1,69","5,81","-2,89","9,07","-1,90","0,40","-20,92%","9,28%","-1,08%","3,50","3,34","4,79","5,81","0,12","0,81","3,31",,R$ 22.254.988.000,R$ 27.562.120.000,R$ 1.515.806.000, 167.041.000,R$ 13.177.779.000,R$ 5.487.722.000,R$ 8.809.098.000,R$ 5.307.132.000,R$ 3.501.966.000,Novo Mercado,"33,34%","100,00%",R$ 45.177.000,Utilidade Pública,Água e Saneamento,14/10/2024,
amer3,"R$ 3,97","-94,97%","-1,13","-0,03",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,05",-,-,"-4,70%","33,16%","-10,62%","-2,07%","-82,24","-16,01","-2,57","-0,50","0,03","-0,02","-0,05","-153,96","-3,52","0,57","-2,29%","546,31%","-2,68%","-0,80","-79,67","-15,51","-0,97","-1,17","2,17","0,22","16,87%",R$ 782.822.000,R$ 25.082.822.000,R$ -30.359.000.000, 197.184.000,R$ 25.902.000.000,R$ 10.705.000.000,R$ 29.316.000.000,R$ 24.300.000.000,R$ 5.016.000.000,Nível 1,"69,88%","0,10%",R$ 12.366.000,Consumo Cíclico,Produtos Diversos,14/10/2024,
anim3,"R$ 2,45","-16,67%","-9,82","0,41","20,40%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,26","20,40%","-188,89%","-2,64%","61,66%","17,85%","32,92%","3,89","7,18","0,79","1,45","0,10","1,13","-0,13","6,04","-0,25","0,39","-4,13%","9,03%","-0,12%","1,60","3,11","5,73","2,08","0,25","0,70","1,69","26,41%",R$ 989.478.000,R$ 4.887.552.000,R$ 2.437.734.000, 403.868.000,R$ 9.774.881.000,R$ 2.140.256.000,R$ 5.078.115.000,R$ 3.898.074.000,R$ 1.180.041.000,Novo Mercado,"63,64%","100,00%",R$ 24.095.000,Consumo Cíclico,Serviços Educacionais,14/10/2024,
arml3,"R$ 8,14","-36,22%","14,31","2,19","4,79%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,82","4,79%","62,92%","12,69%","43,97%","33,52%","45,07%","6,42","8,64","4,03","5,41","0,58","3,26","-0,91","3,72","0,57","0,32","15,30%","11,22%","4,02%","1,30","2,40","3,22","2,22","0,26","0,74","1,93","91,72%",R$ 2.820.588.000,R$ 4.499.369.000,R$ 1.288.620.000, 346.509.000,R$ 4.898.506.000,R$ 1.789.139.000,R$ 2.854.485.000,R$ 1.678.781.000,R$ 1.175.704.000,Nível 1,"49,46%","100,00%",R$ 7.348.000,Bens Industriais,Construção Pesada,14/10/2024,"65,25%"
asai3,"R$ 7,14","-38,55%","14,51","2,00",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,14",-,-,"0,94%","16,42%","5,13%","7,39%","4,28","6,15","1,85","2,67","0,22","-3,13","-0,34","3,57","0,49","1,60","13,78%","16,03%","1,51%","2,62","2,42","3,49","3,67","0,11","0,89","0,84","20,60%",R$ 9.652.089.000,R$ 22.280.089.000,R$ 4.827.000.000, 1.351.833.000,R$ 44.074.000.000,R$ 15.641.000.000,R$ 17.732.000.000,R$ 12.628.000.000,R$ 5.104.000.000,Nível 1,"99,82%","100,00%",R$ 176.320.000,Consumo não Cíclico,Alimentos,14/10/2024,"-8,90%"
atmp3,"R$ 1,46","-48,77%","0,16","0,10",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,12",-,-,"71,54%","9,88%","-36,06%","-12,09%","-5,24","-1,76","-0,95","-0,32","0,03","-0,68","-0,04","14,78","9,05","0,26","61,20%","-19,07%","18,64%","0,44","-4,28","-1,44","0,62","0,30","0,70","0,85","-17,10%",R$ 38.997.000,R$ 213.913.000,R$ 394.768.000, 26.710.000,R$ 1.296.471.000,R$ 324.604.000,R$ 243.875.000,R$ 174.916.000,R$ 68.959.000,Novo Mercado,"37,01%","100,00%",R$ 39.000,Bens Industriais,Serviços Diversos,14/10/2024,
atom3,"R$ 2,69","25,70%","3,43","1,68",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,47",-,-,"71,92%","92,43%","-1,37%","0,25%","888,55","-159,74","1.000,55","-179,87","1,26","3,96","-1,95","1,60","0,78","0,51","49,01%","-50,44%","38,81%","-0,19","-112,00","20,13",-,"0,75","0,20","9,35","22,36%",R$ 64.035.000,R$ 56.867.000,R$ 38.072.000, 23.804.000,R$ 50.926.000,R$ 18.103.000,R$ -,R$ -7.168.000,R$ 7.168.000,Tradicional,"22,86%",-,R$ 107.000,Financeiro,Outros,14/10/2024,"56,43%"
aura33,"R$ 21,10","96,40%","-8,71","1,08","5,06%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,59","5,06%","-43,11%","-6,83%","32,94%","24,77%","24,77%","3,67","3,67","2,40","2,40","0,30","2,39","-0,47","19,50","-2,42","0,51","-12,42%","13,56%","-3,50%","0,57","1,27","1,27","1,35","0,28","0,72","1,55","22,82%",R$ 1.492.666.000,R$ 2.284.553.000,R$ 1.379.764.000, 70.742.000,R$ 4.902.850.000,R$ 1.753.805.000,R$ 1.858.990.000,R$ 791.887.000,R$ 1.067.103.000,Tradicional,"40,69%",-,R$ 4.371.000,Materiais Básicos,Minerais Metálicos,14/10/2024,
aure3,"R$ 10,15","-18,04%","-26,31","0,82","18,89%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,64","18,89%","-492,46%","-6,25%","20,57%","20,40%","30,87%","7,06","10,69","5,32","8,06","0,35","2,35","-0,46","12,32","-0,39","0,21","-3,13%","0,27%","-1,32%","0,27","1,74","2,63","0,67","0,42","0,58","2,45",,R$ 10.150.000.000,R$ 13.467.658.000,R$ 12.315.534.000, 1.000.000.000,R$ 29.259.449.000,R$ 7.315.927.000,R$ 8.309.704.000,R$ 3.317.658.000,R$ 4.992.046.000,Novo Mercado,"29,18%","100,00%",R$ 44.789.000,Utilidade Pública,Energia Elétrica,14/10/2024,
azev3,"R$ 1,31","-47,18%","-1,47","0,88",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,11",-,-,"-75,85%","9,69%","-99,61%","-81,58%","-1,55","-1,27","-1,36","-1,12","0,36","-1,34","-0,46","1,49","-0,89","0,32","-59,91%","-99,70%","-24,32%","0,12","-0,18","-0,15","0,13","0,41","0,59","0,46","162,92%",R$ 245.188.000,R$ 278.206.000,R$ 278.841.000, 187.167.000,R$ 686.918.000,R$ 154.334.000,R$ 34.968.000,R$ 33.018.000,R$ 1.950.000,Tradicional,"59,66%",-,R$ 1.172.000,Bens Industriais,Construção Pesada,14/10/2024,
azev4,"R$ 1,31","-49,22%","-1,47","0,88",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,11",-,-,"-75,85%","9,69%","-99,61%","-81,58%","-1,55","-1,27","-1,36","-1,12","0,36","-1,34","-0,46","1,49","-0,89","0,32","-59,91%","-99,70%","-24,32%","0,12","-0,18","-0,15","0,13","0,41","0,59","0,46","162,92%",R$ 245.188.000,R$ 278.206.000,R$ 278.841.000, 187.167.000,R$ 686.918.000,R$ 154.334.000,R$ 34.968.000,R$ 33.018.000,R$ 1.950.000,Tradicional,"59,66%",-,R$ 3.812.000,Bens Industriais,Construção Pesada,14/10/2024,
azul4,"R$ 6,06","-53,24%","-1,17","-0,29",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,41",-,-,"-34,96%","22,12%","13,03%","26,08%","6,38","12,77","1,57","3,15","0,34","-0,62","-0,43","-20,69","-5,16","0,82","-24,95%","56,05%","-28,59%","-1,11","5,96","11,93","-1,17","-1,15","2,15","0,28","10,29%",R$ 2.033.844.000,R$ 31.066.916.000,R$ -26.166.566.000, 1.264.712.000,R$ 22.831.219.000,R$ 4.954.503.000,R$ 30.508.584.000,R$ 29.033.072.000,R$ 1.475.512.000,Nível 2,"50,56%","100,00%",R$ 244.190.000,Bens Industriais,Transporte Aéreo,14/10/2024,
azza3,"R$ 42,04","-33,44%","19,81","2,83","2,91%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,70","2,91%","57,41%","8,56%","53,13%","11,11%","15,79%","11,54","16,40","10,74","15,26","1,45","10,12","-2,75","14,87","2,12","0,85","14,27%","12,80%","7,23%","0,21","0,80","1,14","0,39","0,51","0,49","1,43","24,98%",R$ 8.680.831.000,R$ 9.330.642.000,R$ 3.069.791.000, 206.489.000,R$ 6.002.810.000,R$ 2.843.934.000,R$ 1.212.509.000,R$ 649.811.000,R$ 562.698.000,Novo Mercado,"56,14%","100,00%",R$ 96.109.000,Consumo Cíclico,"Tecidos, Vestuário e Calçados",14/10/2024,"21,78%"
b3sa3,"R$ 10,88","-3,31%","14,43","3,16","3,76%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","5,93","3,76%","53,23%","41,11%","90,09%","53,75%","62,89%","9,06","10,60","9,43","11,03","1,30","8,71","-2,03","3,45","0,75","0,22","21,88%","12,90%","9,01%","-0,12","-0,37","-0,44","0,67","0,41","0,59","1,70","9,13%",R$ 60.345.920.000,R$ 57.956.975.000,R$ 19.117.069.000, 5.546.500.000,R$ 46.444.945.000,R$ 16.781.627.000,R$ 12.758.723.000,R$ -2.388.945.000,R$ 15.147.668.000,Nível 1,"99,37%","100,00%",R$ 627.957.000,Financeiro,Serviços Financeiros Diversos,14/10/2024,"9,05%"
