Ticker,Cotação,VARIAÇÃO (12M),P/L,P/VP,DY,carteira investidor 10,P/RECEITA (PSR),DIVIDEND YIELD ,PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,data da cotação,CAGR LUCROS 5 ANOS
hoot3,"R$ 5,00",-,"1,78","-0,51",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,62",-,-,"35,12%","67,13%","91,59%","98,59%","0,40","0,43","0,63","0,68","0,18","-0,48","-0,21","-9,73","2,81","0,28","-28,93%","-72,88%","10,01%","0,06","-0,08","-0,09","-0,01","-0,35","1,35","0,27","10,11%",R$ 70.073.000,R$ 58.528.000,R$ -178.722.000, 18.372.000,R$ 516.740.000,R$ 71.482.000,R$ 2.005.000,R$ -11.545.000,R$ 13.550.000,Tradicional,"13,95%",-,,Consumo Cíclico,Hotelaria,07/10/2022,
hoot4,"R$ 2,24","-7,05%","0,80","-0,23",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,28",-,-,"35,12%","67,13%","91,59%","98,59%","0,40","0,43","0,28","0,31","0,08","-0,21","-0,09","-9,73","2,81","0,28","-28,93%","-72,88%","10,01%","0,06","-0,08","-0,09","-0,01","-0,35","1,35","0,27","10,11%",R$ 70.073.000,R$ 58.528.000,R$ -178.722.000, 18.372.000,R$ 516.740.000,R$ 71.482.000,R$ 2.005.000,R$ -11.545.000,R$ 13.550.000,Tradicional,"13,95%",-,R$ 8.000,Consumo Cíclico,Hotelaria,14/10/2024,
hvan3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hype3,"R$ 27,13","-18,39%","10,16","1,43","4,09%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,15","4,09%",-,"21,14%","61,86%","31,43%","34,76%","8,82","9,75","6,18","6,83","0,68","4,26","-1,02","18,97","2,67","0,32","14,08%","10,97%","6,66%","0,61","2,64","2,92","0,85","0,47","0,53","1,89","19,42%",R$ 17.184.706.000,R$ 24.526.240.000,R$ 12.014.866.000, 633.420.000,R$ 25.370.541.000,R$ 8.589.645.000,R$ 10.177.653.000,R$ 7.341.534.000,R$ 2.836.119.000,Novo Mercado,"64,65%","100,00%",R$ 100.119.000,Consumo Cíclico,Produtos Diversos,14/10/2024,"7,73%"
ifcm3,"R$ 0,17","-88,44%","-0,06","-30,24",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,10",-,-,"-171,54%","34,12%","-147,69%","-134,31%","-0,52","-0,48","-0,08","-0,07","0,07","-2,17","-0,12","-0,01","-2,81","0,65","-49.903,74%","-208,64%","-111,97%","-174,00","-0,45","-0,40","-207,76",-,"1,00","0,94",,R$ 108.372.000,R$ 731.992.000,R$ -3.584.000, 637.483.000,R$ 1.597.285.000,R$ 729.456.000,R$ 744.613.000,R$ 623.620.000,R$ 120.993.000,Nível 1,"82,23%","0,10%",R$ 2.078.000,Telecomunicações,Telecomunicações,14/10/2024,
igsn3,"R$ 0,00",-%,-,-,-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais",-,-,-,"-14,07%","33,06%","17,36%","29,88%","8,90","15,32",-,-,-,-,-,"5,71","-0,82","0,19","-14,40%","2,20%","-2,70%","2,72","8,90","15,32","3,36","0,19","0,81","0,86","22,72%",R$ -,R$ 6.652.673.000,R$ 2.443.683.000, 427.804.000,R$ 12.998.408.000,R$ 2.215.775.000,R$ 8.205.102.000,R$ 6.652.673.000,R$ 1.552.429.000,Tradicional,"0,10%",-,,Utilidade Pública,Água e Saneamento,-,
igti11,"R$ 21,32","5,04%","28,32","2,07","3,17%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","7,46","3,17%","58,51%","26,33%","63,86%","53,76%","68,83%","9,94","12,72","10,84","13,87","1,11","8,28","-1,48","10,32","0,75","0,15","7,29%","7,55%","3,96%","0,42","2,22","2,84","0,81","0,54","0,46","2,16","8,91%",R$ 6.147.249.000,R$ 7.916.070.000,R$ 4.177.323.000, 1.214.491.000,R$ 7.791.679.000,R$ 1.940.835.000,R$ 3.367.008.000,R$ 1.768.821.000,R$ 1.598.187.000,Tradicional,"55,81%","100,00%",R$ 72.653.000,Financeiro,Exploração de Imóveis,14/10/2024,"1,58%"
igti3,"R$ 2,60","-0,53%","10,36","0,76","3,74%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,73","3,74%","58,51%","26,33%","63,86%","53,76%","68,83%","9,94","12,72","3,96","5,08","0,41","3,03","-0,54","3,44","0,25","0,15","7,29%","7,55%","3,96%","0,42","2,22","2,84","0,81","0,54","0,46","2,16","8,91%",R$ 6.147.249.000,R$ 7.916.070.000,R$ 4.177.323.000, 1.214.491.000,R$ 7.791.679.000,R$ 1.940.835.000,R$ 3.367.008.000,R$ 1.768.821.000,R$ 1.598.187.000,Tradicional,"55,81%",-,R$ 93.000,Financeiro,Exploração de Imóveis,14/10/2024,"1,58%"
igti4,"R$ 9,40","5,46%","37,47","2,73","3,10%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","9,87","3,10%","58,51%","26,33%","63,86%","53,76%","68,83%","9,94","12,72","14,33","18,35","1,47","10,96","-1,95","3,44","0,25","0,15","7,29%","7,55%","3,96%","0,42","2,22","2,84","0,81","0,54","0,46","2,16","8,91%",R$ 6.147.249.000,R$ 7.916.070.000,R$ 4.177.323.000, 1.214.491.000,R$ 7.791.679.000,R$ 1.940.835.000,R$ 3.367.008.000,R$ 1.768.821.000,R$ 1.598.187.000,Tradicional,"55,81%","0,10%",R$ 5.000,Financeiro,Exploração de Imóveis,14/10/2024,"1,58%"
inep3,"R$ 1,73","-64,69%","0,16","-0,06",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","11,72",-,-,"7.161,55%","-44,96%","-2.140,69%","-1.963,33%","-7,59","-6,96","-0,60","-0,55","0,07","-0,07","-0,08","-28,90","10,57","0,01","-36,57%","226,76%","42,60%","-0,70","-6,99","-6,41","-0,70","-1,16","2,16","0,09","-13,04%",R$ 76.919.000,R$ 974.884.000,R$ -1.280.709.000, 44.316.000,R$ 1.099.607.000,R$ 98.868.000,R$ 899.244.000,R$ 897.965.000,R$ 1.279.000,Tradicional,"85,64%",-,R$ 106.000,Bens Industriais,Máquinas e Equipamentos Industriais,14/10/2024,
