Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,11.96,91.81,2.2,18639300.0
AMBEV S/A,ABEV3,17.43,17.64,23.6,496972000.0
AERIS,AERI3,10.18,,,39008400.0
AES BRASIL,AESB3,13.84,-84523.1,,13986000.0
AFLUENTE T,AFLT3,10.49,31.81,55.0,21595.0
BRASILAGRO,AGRO3,30.02,9.12,35.2,31926700.0
PARQUE ANHEMBI,AHEB3,26.01,-5.81,-19.3,10105.0
PARQUE ANHEMBI,AHEB5,21.51,-4.73,-19.3,773.0
PARQUE ANHEMBI,AHEB6,51.5,-11.94,-19.3,1140.0
ALLIED,ALLD3,36.25,11.01,6.3,9557080.0
ALPARGATAS,ALPA3,44.49,39.55,18.3,202985.0
ALPARGATAS,ALPA4,52.0,46.4,18.3,91368400.0
ESTAPAR,ALPK3,8.21,61.41,8.7,260039.0
ALIANSCSONAE,ALSO3,28.47,27.02,39.4,49943000.0
ALUPAR,ALUP11,26.47,3.94,58.5,22206700.0
ALUPAR,ALUP3,8.82,3.94,58.5,204401.0
ALUPAR,ALUP4,8.91,3.96,58.5,251385.0
LOJAS MARISA,AMAR3,8.6,66.5,2.6,78734100.0
AMBIPAR,AMBP3,45.78,34.52,17.6,23045000.0
ANIMA,ANIM3,14.3,24.05,16.7,30712700.0
ALPER S.A.,APER3,46.74,,,7141130.0
AREZZO CO,ARZZ3,95.42,109.09,5.1,53406500.0
ASSAI,ASAI3,86.0,11.25,7.6,132730000.0
ATMASA,ATMP3,7.7,-13.52,-3.6,2231110.0
ATOMPAR,ATOM3,7.64,11.43,34.9,927639.0
ALPHAVILLE,AVLL3,26.1,-10.45,-46.6,242186.0
AZEVEDO & TRAVASSOS,AZEV3,7.06,-30.18,-17.7,1541830.0
AZEVEDO & TRAVASSOS,AZEV4,6.7,-28.64,-17.7,6535980.0
AZUL,AZUL4,44.72,-16.76,-26.2,275917000.0
B3,B3SA3,16.42,15.07,62.2,798902000.0
BAHEMA,BAHI3,83.2,46.84,1.4,77834.0
BAUMER,BALM3,19.21,7.9,13.2,17054.0
BAUMER,BALM4,19.67,8.11,13.2,95666.0
EXCELSIOR,BAUH4,85.04,43.07,5.2,26089.0
BR Brokers,BBRK3,2.44,-5.39,-28.6,13044800.0
BAEDELLA,BDLL3,12.3,-6.79,-231.3,64643.0
BAEDELLA,BDLL4,13.05,-6.82,-231.3,131258.0
Minerva,BEEF3,9.36,5.49,9.1,75961400.0
BIOMM SA,BIOM3,16.39,-21.87,-87.4,185413.0
BK BRASIL,BKBR3,11.84,-7.85,-20.6,25799100.0
BLAU,BLAU3,49.0,20.64,35.1,13344200.0
MONARK,BMKS3,238.87,17.42,-9.1,64828.0
BEMOBI TECH,BMOB3,24.7,16.04,34.1,24667000.0
BOA VISTA,BOAS3,11.45,44.19,17.6,10114200.0
BOMBRIL SA,BOBR4,2.61,13.25,6.5,1063160.0
BRADESPAR S/A,BRAP3,64.71,-1043.22,,2577620.0
BRADESPAR S/A,BRAP4,75.02,-1219.13,,171360000.0
PETROBRAS BR,BRDT3,29.39,15.92,2.9,302357000.0
BRF Foods,BRFS3,26.86,12.77,7.0,351522000.0
BRASKEM,BRKM3,58.1,5.48,19.2,1062540.0
BRASKEM,BRKM5,60.0,5.59,19.2,210277000.0
BRASKEM,BRKM6,44.0,4.62,19.2,4515.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.04,23.95,53.8,177988000.0
BR PROPERTIES,BRPR3,9.11,28.34,69.4,17460600.0
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,66.71,105.22,2.9,190736000.0
PENALTY,CAMB3,6.04,50.74,4.3,740493.0
CAMIL,CAML3,9.7,8.08,8.0,12954400.0
CSU CARDSYST,CARD3,22.91,13.74,15.8,8699980.0
MELIUZ,CASH3,51.2,262.21,16.4,138634000.0
AMPLA ENERG,CBEE3,24.35,37.53,3.4,28759.0
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,11.9,12.17,49.8,4980070.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.42,13.76,26.9,148240000.0
CEA MODAS,CEAB3,14.0,-12.04,-9.6,20978600.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,181.94,0.94,-29.5,464589.0
