Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,17.25,21.07,10.9,8421030.0
AMBEV S/A,ABEV3,13.93,13.28,21.1,387310000.0
AERIS,AERI3,5.91,25.96,7.9,13457000.0
AES BRASIL,AESB3,11.1,,7.6,10498300.0
AFLUENTE T,AFLT3,8.52,5.04,85.8,6079.0
BRASILAGRO,AGRO3,34.16,4.2,42.3,21510600.0
AGROGALAXY,AGXY3,11.82,15.93,3.0,1327110.0
PARQUE ANHEMBI,AHEB3,27.5,-5.74,-20.8,134.0
PARQUE ANHEMBI,AHEB5,22.0,-4.56,-20.8,0.0
PARQUE ANHEMBI,AHEB6,51.5,-10.9,-20.8,0.0
ALLIED,ALLD3,13.0,3.15,6.4,1817350.0
ALPARGATAS,ALPA3,21.12,20.59,17.2,111058.0
ALPARGATAS,ALPA4,24.71,24.21,17.2,120044000.0
ESTAPAR,ALPK3,4.11,31.54,9.5,169087.0
ALIANSCSONAE,ALSO3,21.47,17.27,43.4,30497300.0
ALUPAR,ALUP11,25.42,4.22,70.7,18149300.0
ALUPAR,ALUP3,8.45,4.21,70.7,77690.0
ALUPAR,ALUP4,8.48,4.22,70.7,105383.0
LOJAS MARISA,AMAR3,2.94,7.86,10.4,19932200.0
AMBIPAR,AMBP3,32.77,21.46,16.7,25115000.0
AMERICANAS,AMER3,30.09,32.2,4.4,241969000.0
ANIMA,ANIM3,7.2,23.4,14.2,20715500.0
ALPER S.A.,APER3,32.99,-6.81,-45.9,1282640.0
ARMAC,ARML3,13.57,,,11979200.0
AREZZO CO,ARZZ3,77.66,31.21,11.4,88537700.0
ASSAI,ASAI3,12.71,7.01,7.7,124546000.0
ATMASA,ATMP3,2.45,-21.92,-1.5,178774.0
ATOMPAR,ATOM3,2.92,7.06,21.3,161702.0
ALPHAVILLE,AVLL3,32.35,-15.17,-34.1,67909.0
AZEVEDO & TRAVASSOS,AZEV3,3.53,-7.34,-40.4,181291.0
AZEVEDO & TRAVASSOS,AZEV4,2.9,-5.45,-40.4,1382450.0
AZUL,AZUL4,21.83,26.77,11.0,216488000.0
B3,B3SA3,14.44,12.05,63.2,604571000.0
BAHEMA,BAHI3,14.95,140.09,0.7,63433.0
BAUMER,BALM3,16.96,10.2,10.2,776.0
BAUMER,BALM4,9.85,5.44,10.2,7565.0
EXCELSIOR,BAUH4,79.88,749.49,0.3,51993.0
BR Brokers,BBRK3,1.05,-4.51,-10.0,1966010.0
BAEDELLA,BDLL3,10.89,-8.68,-275.8,4548.0
BAEDELLA,BDLL4,9.7,-8.62,-275.8,8102.0
Minerva,BEEF3,10.96,6.31,7.5,72897900.0
BIOMM SA,BIOM3,13.87,-19.77,-55.5,120739.0
BK BRASIL,BKBR3,6.44,-12.24,-6.3,15045400.0
BLAU,BLAU3,27.78,9.56,34.0,8597260.0
B TECH EQI,BLUT3,1.22,-19.19,,307982.0
B TECH EQI,BLUT4,0.62,-11.74,,633844.0
MONARK,BMKS3,245.0,11.5,-11.1,5519.0
BEMOBI TECH,BMOB3,13.78,6.63,31.4,12840000.0
BOA VISTA,BOAS3,4.75,8.74,22.4,6791800.0
BOMBRIL SA,BOBR3,1.0,18.36,2.7,0.0
BOMBRIL SA,BOBR4,1.46,22.38,2.7,65306.0
BRADESPAR S/A,BRAP3,29.46,-327.31,,5800090.0
BRADESPAR S/A,BRAP4,34.43,-398.16,,136018000.0
BR PARTNERS,BRBI11,18.37,9.55,46.5,3449410.0
BRF Foods,BRFS3,15.43,10.71,5.8,283628000.0
BRISANET,BRIT3,3.64,,,2855220.0
BRASKEM,BRKM3,44.72,2.12,26.8,844893.0
BRASKEM,BRKM5,47.4,2.21,26.8,172107000.0
BRASKEM,BRKM6,30.0,1.67,26.8,3877.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,9.18,16.53,59.3,186910000.0
BR PROPERTIES,BRPR3,7.43,25.18,66.8,12800600.0
