Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,14.35,21.9,9.2,12731100.0
AMBEV S/A,ABEV3,17.89,16.94,22.5,410209000.0
AERIS,AERI3,7.71,36.63,6.6,21602900.0
AES BRASIL,AESB3,11.37,122.56,7.2,27989200.0
AFLUENTE T,AFLT3,8.65,26.42,51.3,3794.0
BRASILAGRO,AGRO3,28.2,,,25175600.0
AGROGALAXY,AGXY3,7.65,24.23,2.0,764139.0
PARQUE ANHEMBI,AHEB3,25.0,-5.96,-17.8,2645.0
PARQUE ANHEMBI,AHEB5,20.0,-4.75,-17.8,141.0
ALLIED,ALLD3,16.56,4.52,6.9,9533650.0
ALPARGATAS,ALPA3,34.41,23.72,20.4,90730.0
ALPARGATAS,ALPA4,41.25,28.6,20.4,126390000.0
ESTAPAR,ALPK3,5.04,50.95,7.2,183488.0
ALIANSCSONAE,ALSO3,20.95,20.26,39.7,29199500.0
ALUPAR,ALUP11,24.62,3.28,71.1,22807600.0
ALUPAR,ALUP3,8.06,3.25,71.1,961346.0
ALUPAR,ALUP4,8.36,3.31,71.1,978156.0
LOJAS MARISA,AMAR3,4.53,9.5,10.4,31104700.0
AMBIPAR,AMBP3,40.21,29.82,18.1,78156600.0
AMERICANAS,AMER3,35.18,79.46,3.2,271375000.0
ANIMA,ANIM3,6.99,25.71,16.0,26917500.0
ALPER S.A.,APER3,34.35,-7.16,-45.9,3068420.0
ARMAC,ARML3,25.86,,,13963300.0
AREZZO CO,ARZZ3,76.25,27.91,11.4,69019400.0
ASSAI,ASAI3,15.5,12.09,8.5,254073000.0
ATMASA,ATMP3,4.15,-18.53,-2.0,167083.0
ATOMPAR,ATOM3,3.65,9.43,21.3,121379.0
ALPHAVILLE,AVLL3,31.1,-16.97,-23.3,133951.0
AZEVEDO & TRAVASSOS,AZEV3,4.05,-22.48,-27.4,831374.0
AZEVEDO & TRAVASSOS,AZEV4,3.38,-18.74,-27.4,3143740.0
AZUL,AZUL4,27.78,-28.95,-8.6,206426000.0
BAHEMA,BAHI3,14.01,324.66,0.3,34775.0
BAUMER,BALM3,15.8,9.68,9.6,3849.0
BAUMER,BALM4,13.68,8.2,9.6,22867.0
EXCELSIOR,BAUH4,83.85,52.74,4.3,24086.0
BR Brokers,BBRK3,1.47,-4.75,-15.9,3210420.0
BAEDELLA,BDLL3,10.4,-7.88,-162.0,13481.0
BAEDELLA,BDLL4,10.61,-7.89,-162.0,6300.0
Minerva,BEEF3,10.4,6.21,7.7,103012000.0
BIOMM SA,BIOM3,13.68,-18.67,-63.9,140129.0
BK BRASIL,BKBR3,8.1,-9.45,-10.4,23869500.0
BLAU,BLAU3,37.0,12.56,36.1,18423200.0
MONARK,BMKS3,232.8,44.15,-3.0,129799.0
BEMOBI TECH,BMOB3,14.01,7.55,33.5,17544400.0
BOMBRIL SA,BOBR4,1.75,14.57,4.6,111763.0
BRADESPAR S/A,BRAP3,43.39,-700.53,,13856800.0
BRADESPAR S/A,BRAP4,45.8,-741.22,,180109000.0
BRF Foods,BRFS3,23.54,11.66,6.8,182499000.0
BRISANET,BRIT3,6.9,,,5277710.0
BRASKEM,BRKM3,54.02,2.41,26.8,344112.0
BRASKEM,BRKM5,56.3,2.48,26.8,180696000.0
BRASKEM,BRKM6,36.0,1.85,26.8,737.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,7.87,17.11,58.2,147360000.0
BR PROPERTIES,BRPR3,7.67,24.32,68.5,23804800.0
PENALTY,CAMB3,4.86,8.57,15.8,252480.0
CAMIL,CAML3,10.25,8.81,7.1,17428100.0
MELIUZ,CASH3,3.79,437.37,3.7,269689000.0
CASAN,CASN3,15.01,55.83,20.4,0.0
CBA,CBAV3,12.71,,,41202900.0
AMPLA ENERG,CBEE3,23.0,75.93,1.5,3058.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,11.62,12.37,26.4,171226000.0
CEA MODAS,CEAB3,7.27,-16.04,-3.5,19182700.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,18.35,-0.48,-19.6,209892.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,17.99,-0.63,-19.6,173416.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,17.42,-0.86,-19.6,542995.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,7.0,4.9,6.7,5514.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.13,4.74,6.7,19551.0
