Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,20.07,39.35,6.9,8545370.0
AMBEV S/A,ABEV3,14.21,13.92,20.5,340737000.0
AERIS,AERI3,3.78,22.02,7.0,10463200.0
AES BRASIL,AESB3,10.92,29.64,12.3,15218300.0
AFLUENTE T,AFLT3,9.28,5.34,84.2,4532.0
BRASILAGRO,AGRO3,31.44,4.27,39.9,26365600.0
AGROGALAXY,AGXY3,10.65,10.59,3.2,964735.0
PARQUE ANHEMBI,AHEB6,41.2,-45.29,-3.7,98.0
ALLIED,ALLD3,13.7,5.77,4.5,2119460.0
ALPARGATAS,ALPA3,18.05,16.02,16.8,83760.0
ALPARGATAS,ALPA4,22.17,20.23,16.8,81974900.0
ESTAPAR,ALPK3,3.58,14.08,16.0,138229.0
ALIANSCSONAE,ALSO3,18.85,6.26,50.6,31375100.0
ALUPAR,ALUP11,26.5,4.26,75.3,30966000.0
ALUPAR,ALUP3,8.88,4.27,75.3,96756.0
ALUPAR,ALUP4,8.87,4.27,75.3,117641.0
LOJAS MARISA,AMAR3,2.59,7.15,10.2,16014400.0
AMBIPAR,AMBP3,32.35,17.68,16.3,29441500.0
AMERICANAS,AMER3,21.5,23.34,4.5,209491000.0
ANIMA,ANIM3,5.55,11.21,16.9,16636900.0
ALPER S.A.,APER3,33.31,,,1388160.0
ARMAC,ARML3,12.98,28.67,32.5,8691490.0
AREZZO CO,ARZZ3,81.27,22.18,11.7,87243200.0
ASSAI,ASAI3,16.09,8.47,7.6,124262000.0
ATMASA,ATMP3,1.9,-11.09,-3.4,47363.0
ATOMPAR,ATOM3,2.75,4.46,31.4,119725.0
AUREN,AURE3,14.37,13.35,37.3,46852900.0
ALPHAVILLE,AVLL3,19.0,-10.85,-61.1,65729.0
AZEVEDO & TRAVASSOS,AZEV3,3.57,-12.25,-11.5,140323.0
AZEVEDO & TRAVASSOS,AZEV4,2.76,-9.64,-11.5,896836.0
AZUL,AZUL4,20.95,22.24,10.8,169263000.0
B3,B3SA3,12.41,11.74,59.1,567182000.0
BAHEMA,BAHI3,13.49,-34.65,-2.8,125041.0
BAUMER,BALM3,14.42,15.72,5.7,362.0
BAUMER,BALM4,11.25,11.69,5.7,12414.0
EXCELSIOR,BAUH4,77.88,873.16,0.3,16226.0
BR Brokers,BBRK3,0.8,-3.35,-15.7,1021390.0
BAEDELLA,BDLL3,11.0,-8.92,-146.3,4320.0
BAEDELLA,BDLL4,9.0,-8.8,-146.3,4382.0
Minerva,BEEF3,13.41,6.84,7.5,94127100.0
BIOMM SA,BIOM3,10.55,-12.43,-59.1,59390.0
BK BRASIL,BKBR3,7.8,-54.2,-1.6,15335700.0
BLAU,BLAU3,23.89,8.46,33.2,8009790.0
B TECH EQI,BLUT3,1.09,-16.51,,140877.0
B TECH EQI,BLUT4,0.52,-9.91,,261121.0
MONARK,BMKS3,233.0,16.66,-15.0,11917.0
