Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,19.41,31.31,8.3,9295570.0
AMBEV S/A,ABEV3,14.52,13.89,21.1,385254000.0
AERIS,AERI3,4.88,21.94,7.9,12022400.0
AES BRASIL,AESB3,11.05,67.28,7.6,18548200.0
AFLUENTE T,AFLT3,9.48,5.46,84.2,7382.0
BRASILAGRO,AGRO3,33.99,4.18,42.3,33448200.0
AGROGALAXY,AGXY3,9.8,6.97,5.0,1142150.0
PARQUE ANHEMBI,AHEB3,27.5,-4.75,-25.7,0.0
PARQUE ANHEMBI,AHEB5,22.0,-3.7,-25.7,0.0
PARQUE ANHEMBI,AHEB6,41.2,-7.38,-25.7,100.0
ALLIED,ALLD3,14.02,3.41,5.0,2029080.0
ALPARGATAS,ALPA3,19.5,18.96,17.2,105318.0
ALPARGATAS,ALPA4,19.6,19.06,17.2,86476100.0
ESTAPAR,ALPK3,3.9,18.12,13.9,181928.0
ALIANSCSONAE,ALSO3,21.1,9.87,47.1,26029600.0
ALUPAR,ALUP11,26.28,4.29,70.7,28590600.0
ALUPAR,ALUP3,8.66,4.26,70.7,98753.0
ALUPAR,ALUP4,8.88,4.32,70.7,124612.0
LOJAS MARISA,AMAR3,2.33,5.99,12.0,17466100.0
AMBIPAR,AMBP3,35.14,18.69,16.3,26913400.0
AMERICANAS,AMER3,24.0,26.78,4.4,211776000.0
ANIMA,ANIM3,5.55,18.38,13.9,19301600.0
ALPER S.A.,APER3,33.75,57.83,5.1,1190680.0
ARMAC,ARML3,14.82,,33.2,11032400.0
AREZZO CO,ARZZ3,89.47,29.86,11.6,92637000.0
ASSAI,ASAI3,15.28,8.09,7.7,127915000.0
ATMASA,ATMP3,2.01,-16.16,-2.1,45006.0
ATOMPAR,ATOM3,2.97,8.06,19.5,110841.0
ALPHAVILLE,AVLL3,27.0,-12.0,-51.8,67480.0
AZEVEDO & TRAVASSOS,AZEV3,3.84,-13.12,-11.5,124920.0
AZEVEDO & TRAVASSOS,AZEV4,3.12,-10.8,-11.5,990181.0
AZUL,AZUL4,21.97,26.81,11.0,222360000.0
B3,B3SA3,13.3,12.05,61.4,605574000.0
BAHEMA,BAHI3,14.98,-104.4,-1.1,123729.0
BAUMER,BALM3,15.0,16.95,5.5,486.0
BAUMER,BALM4,13.0,14.29,5.5,13465.0
EXCELSIOR,BAUH4,84.99,798.73,0.3,26159.0
BR Brokers,BBRK3,0.92,-9.2,-8.2,1268660.0
BAEDELLA,BDLL3,11.0,-8.68,-128.1,3166.0
BAEDELLA,BDLL4,9.6,-8.59,-128.1,4826.0
Minerva,BEEF3,13.13,6.97,7.5,82133000.0
BIOMM SA,BIOM3,11.07,-14.86,-59.3,65556.0
BK BRASIL,BKBR3,6.3,-12.01,-6.3,15376800.0
BLAU,BLAU3,24.9,8.44,34.0,6927270.0
B TECH EQI,BLUT3,1.1,-17.7,,192819.0
B TECH EQI,BLUT4,0.6,-11.49,,390055.0
MONARK,BMKS3,245.0,16.17,-11.5,9281.0
BEMOBI TECH,BMOB3,14.42,9.39,17.4,9070190.0
BOA VISTA,BOAS3,8.03,18.06,22.8,8867530.0
BOMBRIL SA,BOBR3,1.0,24.65,2.0,0.0
BOMBRIL SA,BOBR4,1.45,29.91,2.0,59388.0
BRADESPAR S/A,BRAP3,26.91,-377.14,,5403670.0
BRADESPAR S/A,BRAP4,29.29,-411.45,,163066000.0
BR PARTNERS,BRBI11,15.92,7.11,46.5,3210940.0
BRF Foods,BRFS3,13.58,10.18,5.8,151071000.0
BRISANET,BRIT3,3.1,14.78,13.6,1521010.0
BRASKEM,BRKM3,40.04,2.02,25.7,405511.0
BRASKEM,BRKM5,40.22,2.02,25.7,124765000.0
BRASKEM,BRKM6,23.0,1.52,25.7,904.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,9.49,15.35,60.2,134975000.0
BR PROPERTIES,BRPR3,8.93,28.44,66.8,18605800.0
CAL S/A,CALI3,98.18,15.96,8.3,0.0
CAL S/A,CALI4,50.0,13.0,8.3,0.0
PENALTY,CAMB3,4.78,5.22,20.3,236244.0
CAMIL,CAML3,8.58,9.08,6.3,12347000.0
CSU CARDSYST,CARD3,13.96,6.96,16.9,2890810.0
MELIUZ,CASH3,1.88,-14.71,-25.7,85709000.0
CBA,CBAV3,17.14,9.31,14.8,69311300.0
AMPLA ENERG,CBEE3,19.21,8.1,12.9,1299.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,12.41,12.94,29.1,127008000.0
CEA MODAS,CEAB3,4.38,-14.41,-2.3,16830400.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,13.5,2.13,35.3,79698.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,11.91,1.19,35.3,55376.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,11.88,1.17,35.3,526528.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,6.98,5.12,5.7,12760.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,4.89,4.74,5.7,14176.0
COELBA,CEEB3,36.2,5.99,22.8,35411.0
COELBA,CEEB5,34.49,5.86,22.8,403.0
CEEE-D,CEED3,43.0,79.82,1.3,747.0
CEEE-D,CEED4,40.01,76.64,1.3,1309.0
CEG,CEGR3,89.0,30.55,17.9,217.0
CELPE,CEPE3,128.0,12.9,13.9,0.0
CELPE,CEPE5,40.01,7.42,13.9,14604.0
CELPE,CEPE6,40.01,7.42,13.9,3896.0
CESP CIA ENERGETICA SAO PAULO,CESP3,25.55,8.35,51.5,62536.0
CESP CIA ENERGETICA SAO PAULO,CESP5,25.0,8.19,51.5,2227.0
CESP CIA ENERGETICA SAO PAULO,CESP6,25.25,8.26,51.5,33295100.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,120.01,8.6,21.8,38559.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,128.7,9.05,21.8,374578.0
GRAZZIOTIN,CGRA3,34.0,5.18,19.6,98384.0
GRAZZIOTIN,CGRA4,32.88,5.0,19.6,271753.0
CIELO,CIEL3,3.4,6.86,16.5,115124000.0
CLEARSALE,CLSA3,5.11,-5.13,-13.6,18588900.0
CELESC,CLSC3,57.5,4.78,6.3,7152.0
CELESC,CLSC4,55.75,4.68,6.3,296482.0
CEMIG,CMIG3,19.15,6.87,17.9,8824990.0
CEMIG,CMIG4,14.67,5.6,17.9,141846000.0
CSNMINERACAO,CMIN3,5.2,2.37,50.7,38220200.0
CIA ENERG CEARA - COELCE,COCE3,58.92,6.46,15.1,0.0
CIA ENERG CEARA - COELCE,COCE5,54.35,6.19,15.1,1541540.0
COGNA,COGN3,2.45,16.31,13.4,111015000.0
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,4.9,-294.8,0.0
CPFL ENERGIA S.A.,CPFE3,36.15,8.31,18.8,123065000.0
COPEL,CPLE11,35.9,7.47,15.6,18366800.0
COPEL,CPLE3,6.52,6.99,15.6,8059920.0
COPEL,CPLE5,25.0,20.49,15.6,1005.0
COPEL,CPLE6,7.44,7.66,15.6,93720300.0
CR2,CRDE3,22.4,-5.1,-162.1,5204.0
