Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,19.52,38.51,6.9,8481510.0
AMBEV S/A,ABEV3,13.67,13.36,20.5,302969000.0
AERIS,AERI3,3.04,18.58,7.0,8260070.0
AES BRASIL,AESB3,10.6,29.16,12.3,16837700.0
AFLUENTE T,AFLT3,8.89,5.11,84.2,3187.0
BRASILAGRO,AGRO3,26.15,3.57,39.9,21991700.0
AGROGALAXY,AGXY3,7.67,8.69,3.2,715222.0
PARQUE ANHEMBI,AHEB6,41.2,-45.29,-3.7,0.0
ALLIED,ALLD3,10.56,4.69,4.5,1119890.0
ALPARGATAS,ALPA3,17.75,15.72,16.8,93372.0
ALPARGATAS,ALPA4,19.88,17.89,16.8,101499000.0
ESTAPAR,ALPK3,1.92,11.64,16.0,838406.0
ALIANSCSONAE,ALSO3,16.72,5.15,50.6,39348100.0
ALUPAR,ALUP11,25.37,4.17,75.3,26088600.0
ALUPAR,ALUP3,8.49,4.18,75.3,96184.0
ALUPAR,ALUP4,8.42,4.16,75.3,124993.0
LOJAS MARISA,AMAR3,1.98,7.16,10.2,12167900.0
AMBIPAR,AMBP3,23.04,12.41,16.2,32325400.0
AMERICANAS,AMER3,13.73,17.4,4.5,205085000.0
ANIMA,ANIM3,4.46,10.38,16.9,14101100.0
ALPER S.A.,APER3,26.01,,,2072920.0
ARMAC,ARML3,12.7,28.11,32.5,7288370.0
AREZZO CO,ARZZ3,69.55,18.82,11.7,80540100.0
ASSAI,ASAI3,14.97,8.02,7.6,119250000.0
ATMASA,ATMP3,1.08,-10.45,-3.4,61948.0
ATOMPAR,ATOM3,2.61,4.15,31.4,144582.0
AUREN,AURE3,13.39,12.53,37.3,41871900.0
ALPHAVILLE,AVLL3,21.99,-11.42,-61.1,68239.0
AZEVEDO & TRAVASSOS,AZEV3,3.09,-10.71,-11.5,129525.0
AZEVEDO & TRAVASSOS,AZEV4,2.39,-8.45,-11.5,791626.0
AZUL,AZUL4,14.06,20.28,10.8,149251000.0
B3,B3SA3,11.6,10.92,59.1,463669000.0
BAHEMA,BAHI3,10.86,-39.18,-2.8,84525.0
BAUMER,BALM3,14.42,15.72,5.7,230.0
BAUMER,BALM4,10.6,10.86,5.7,4197.0
EXCELSIOR,BAUH4,77.85,872.82,0.3,9865.0
BAEDELLA,BDLL3,10.58,-8.89,-146.3,8262.0
BAEDELLA,BDLL4,8.6,-8.78,-146.3,3747.0
Minerva,BEEF3,13.49,6.86,7.5,93699400.0
BIOMM SA,BIOM3,7.97,-9.74,-59.1,44945.0
BK BRASIL,BKBR3,6.04,-43.96,-1.6,14823700.0
BLAU,BLAU3,24.14,8.56,33.2,8929700.0
B TECH EQI,BLUT3,1.09,-16.51,,121353.0
B TECH EQI,BLUT4,0.51,-9.8,,273188.0
MONARK,BMKS3,240.0,15.43,-15.0,16727.0
BEMOBI TECH,BMOB3,12.21,6.57,11.0,6986550.0
BOA VISTA,BOAS3,5.43,8.11,25.5,9906360.0
BOMBRIL SA,BOBR4,1.33,18.84,2.8,58344.0
BRADESPAR S/A,BRAP3,22.68,-295.22,,3461600.0
BRADESPAR S/A,BRAP4,25.17,-331.29,,95221400.0
BRF Foods,BRFS3,14.54,17.11,3.4,163084000.0
BRISANET,BRIT3,2.0,15.79,11.7,1840180.0
BRASKEM,BRKM3,38.52,1.99,22.7,464607.0
BRASKEM,BRKM5,37.85,1.97,22.7,101174000.0
BRASKEM,BRKM6,25.0,1.56,22.7,1081.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,7.67,11.8,61.3,131292000.0
BR PROPERTIES,BRPR3,8.8,29.53,64.6,27401100.0
PENALTY,CAMB3,3.94,4.59,20.3,193659.0
CAMIL,CAML3,9.84,10.13,5.9,13061800.0
CSU CARDSYST,CARD3,12.45,6.05,17.2,2194600.0
MELIUZ,CASH3,1.26,-5.6,-30.2,50340000.0
CBA,CBAV3,11.5,6.02,15.0,60691600.0
AMPLA ENERG,CBEE3,19.21,8.1,12.9,131.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,12.72,5.66,49.0,118631000.0
CEA MODAS,CEAB3,2.45,-16.51,-2.0,15430800.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,14.0,2.26,34.8,47320.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,12.6,1.44,34.8,106217.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,13.62,2.04,34.8,326780.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,6.72,5.78,4.8,6875.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,4.75,5.38,4.8,5193.0
COELBA,CEEB3,37.51,6.09,22.8,14667.0
COELBA,CEEB5,34.49,5.86,22.8,235.0
CEEE-D,CEED3,42.0,33.11,3.1,1046.0
CEEE-D,CEED4,65.5,43.88,3.1,1445.0
CEG,CEGR3,89.0,30.23,16.5,0.0
CELPE,CEPE5,40.0,7.42,13.9,22393.0
CELPE,CEPE6,41.88,7.54,13.9,25909.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,105.51,7.42,20.6,6632.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,123.91,8.33,20.6,146461.0
GRAZZIOTIN,CGRA3,28.49,3.71,21.0,304744.0
GRAZZIOTIN,CGRA4,28.0,3.64,21.0,472657.0
CIELO,CIEL3,3.86,8.69,16.8,96954100.0
CLEARSALE,CLSA3,4.21,-1.9,-27.5,6918920.0
CELESC,CLSC3,57.0,3.72,7.2,14701.0
CELESC,CLSC4,56.39,3.69,7.2,341939.0
CEMIG,CMIG3,15.56,6.76,17.9,14972700.0
CEMIG,CMIG4,10.62,5.0,17.9,132682000.0
CSNMINERACAO,CMIN3,4.14,2.46,48.1,38665400.0
CIA ENERG CEARA - COELCE,COCE5,51.04,5.99,15.1,741004.0
COGNA,COGN3,2.2,15.29,13.7,81313700.0
CPFL ENERGIA S.A.,CPFE3,30.6,6.73,19.8,145674000.0
COPEL,CPLE11,34.1,6.84,15.8,12925300.0
COPEL,CPLE3,6.29,6.47,15.8,7535090.0
COPEL,CPLE5,22.0,17.56,15.8,1299.0
COPEL,CPLE6,6.93,6.92,15.8,75475900.0
CR2,CRDE3,21.4,-4.68,-184.3,2458.0
CARREFOUR BR,CRFB3,16.23,10.02,5.0,72272200.0
CRISTAL,CRPG3,40.8,5.12,21.9,1036.0
CRISTAL,CRPG5,33.0,4.01,21.9,388245.0
CRISTAL,CRPG6,33.5,4.08,21.9,15008.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,18.39,16.86,13.9,186459000.0
CRUZEIRO EDU,CSED3,3.35,4.41,16.2,1428520.0
COPASA MG,CSMG3,11.63,7.76,15.9,20021500.0
CSN,CSNA3,16.46,2.07,37.3,242904000.0
COSERN,CSRN3,22.35,7.08,21.1,7030.0
COSERN,CSRN5,19.6,6.49,21.1,3948.0
COSERN,CSRN6,22.0,7.01,21.1,1162.0
COTEMINAS,CTNM3,8.1,9.84,6.7,663.0
COTEMINAS,CTNM4,2.5,8.68,6.7,41290.0
SANTANENSE,CTSA3,1.57,12.92,4.4,43942.0
SANTANENSE,CTSA4,0.77,9.57,4.4,56927.0
CURY S/A,CURY3,6.0,3.78,22.1,6407090.0
CVC BRASIL,CVCB3,8.51,-7.64,-26.9,126029000.0
CYRELA BRAZIL REALTY,CYRE3,11.98,7.78,16.1,85130900.0
DIAGNOSTICOS DA AMERICA SA,DASA3,16.38,68.37,2.0,5955890.0
DESKTOPSIGMA,DESK3,7.69,11.63,19.7,5065220.0
DEXXOS PAR,DEXP3,7.71,3.66,12.1,2728270.0
DEXXOS PAR,DEXP4,7.29,3.5,12.1,28843.0
Direcional Engenharia,DIRR3,10.29,5.38,18.4,16455200.0
DOMMO,DMMO3,1.45,6.49,49.9,36339900.0
D1000VFARMA,DMVF3,3.99,2.06,6.8,330973.0
DOHLER,DOHL3,19.0,22.83,9.4,0.0
DOHLER,DOHL4,5.79,7.13,9.4,35679.0
DOTZ SA,DOTZ3,3.82,-11.5,-19.0,232252.0
DTCOM,DTCY3,5.85,-21.63,-37.0,1161.0
DEXCO,DXCO3,10.4,6.91,18.8,39855700.0
ELECTRO AÇO ALTONA S/A,EALT3,8.3,5.89,11.3,5857.0
ELECTRO AÇO ALTONA S/A,EALT4,6.86,5.24,11.3,151591.0
ECORODOVIAS,ECOR3,6.12,8.72,29.9,33692100.0
ENGIE BRASIL,EGIE3,41.01,8.67,46.2,69522500.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,30.0,5.77,19.4,389.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,27.07,5.43,19.4,6935.0
ELETROBRÁS,ELET3,44.25,26.43,11.9,713446000.0
ELETROBRÁS,ELET6,44.3,26.46,11.9,219746000.0
ELETROMIDIA,ELMD3,9.4,29.33,9.9,2723330.0
EMAE,EMAE4,34.99,23.58,7.6,281375.0
EMBRAER,EMBR3,12.5,10.31,7.7,123391000.0
ENAUTA PART,ENAT3,17.16,3.68,33.4,54795800.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,20.5,5.98,19.1,67007900.0
ENEVA,ENEV3,14.36,19.87,27.5,112375000.0
ENERGISA,ENGI11,40.75,5.98,20.2,101488000.0
