Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,14.13,21.65,9.2,12313900.0
AMBEV S/A,ABEV3,17.75,16.8,22.5,409969000.0
AERIS,AERI3,8.09,38.28,6.6,21656300.0
AES BRASIL,AESB3,11.82,125.07,7.2,28081300.0
AFLUENTE T,AFLT3,8.65,26.42,51.3,3836.0
BRASILAGRO,AGRO3,27.58,,,25584600.0
AGROGALAXY,AGXY3,7.9,24.72,2.0,670646.0
PARQUE ANHEMBI,AHEB3,26.5,-6.32,-17.8,2839.0
PARQUE ANHEMBI,AHEB5,20.0,-4.75,-17.8,190.0
ALLIED,ALLD3,16.78,4.1,6.4,9479580.0
ALPARGATAS,ALPA3,34.61,23.87,20.4,89584.0
ALPARGATAS,ALPA4,42.0,29.13,20.4,128224000.0
ESTAPAR,ALPK3,5.1,33.34,9.5,180540.0
ALIANSCSONAE,ALSO3,21.32,17.17,43.4,29943100.0
ALUPAR,ALUP11,24.77,3.29,71.1,22796700.0
ALUPAR,ALUP3,8.08,3.25,71.1,959958.0
ALUPAR,ALUP4,8.39,3.31,71.1,973939.0
LOJAS MARISA,AMAR3,4.95,9.94,10.4,31900400.0
AMBIPAR,AMBP3,39.98,29.68,18.1,76787700.0
AMERICANAS,AMER3,34.42,77.83,3.2,271043000.0
ANIMA,ANIM3,7.2,26.02,16.0,26919700.0
ALPER S.A.,APER3,34.43,-7.19,-45.9,3018740.0
ARMAC,ARML3,25.55,,,14044400.0
AREZZO CO,ARZZ3,77.75,28.44,11.4,69290700.0
ASSAI,ASAI3,15.97,12.38,8.5,249565000.0
ATMASA,ATMP3,4.16,-18.54,-2.0,166688.0
ATOMPAR,ATOM3,3.69,9.56,21.3,124091.0
ALPHAVILLE,AVLL3,31.0,-16.95,-23.3,132697.0
AZEVEDO & TRAVASSOS,AZEV3,4.02,-22.31,-27.4,828480.0
AZEVEDO & TRAVASSOS,AZEV4,3.37,-18.68,-27.4,3100270.0
AZUL,AZUL4,26.44,-28.07,-8.6,209324000.0
BAHEMA,BAHI3,14.4,333.02,0.3,34118.0
BAUMER,BALM3,15.8,9.68,9.6,3887.0
BAUMER,BALM4,13.68,8.2,9.6,22867.0
EXCELSIOR,BAUH4,80.0,50.23,4.3,24190.0
BR Brokers,BBRK3,1.51,-4.91,-15.9,3211820.0
BAEDELLA,BDLL3,10.2,-7.87,-162.0,13221.0
BAEDELLA,BDLL4,10.61,-7.89,-162.0,5511.0
Minerva,BEEF3,10.29,6.17,7.7,101736000.0
