Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,12.78,20.1,9.2,18167300.0
AMBEV S/A,ABEV3,15.36,14.99,23.1,382382000.0
AERIS,AERI3,8.15,,,25269200.0
AES BRASIL,AESB3,12.28,84.62,22.7,25936000.0
AFLUENTE T,AFLT3,8.65,25.7,56.4,7427.0
BRASILAGRO,AGRO3,32.51,7.51,34.1,21145900.0
AGROGALAXY,AGXY3,7.8,24.53,2.0,1434680.0
PARQUE ANHEMBI,AHEB3,25.01,-5.96,-17.8,4938.0
PARQUE ANHEMBI,AHEB5,18.0,-4.26,-17.8,424.0
ALLIED,ALLD3,19.5,5.21,6.9,11757400.0
ALPARGATAS,ALPA3,40.0,28.47,20.4,139084.0
ALPARGATAS,ALPA4,47.29,33.8,20.4,134036000.0
ESTAPAR,ALPK3,6.15,55.5,7.2,218898.0
ALIANSCSONAE,ALSO3,22.91,21.89,39.7,29915100.0
ALUPAR,ALUP11,24.4,3.27,66.1,21843800.0
ALUPAR,ALUP3,8.11,3.27,66.1,122579.0
ALUPAR,ALUP4,8.19,3.29,66.1,161306.0
LOJAS MARISA,AMAR3,5.4,17.32,6.5,33921900.0
AMBIPAR,AMBP3,45.98,33.35,18.1,104194000.0
AMERICANAS,AMER3,33.74,76.37,3.2,235231000.0
ANIMA,ANIM3,9.3,29.08,16.0,30550200.0
ALPER S.A.,APER3,40.23,,,4932190.0
ARMAC,ARML3,22.25,,,13778300.0
AREZZO CO,ARZZ3,84.1,37.44,10.7,60870300.0
ASSAI,ASAI3,18.3,13.12,7.8,203929000.0
ATMASA,ATMP3,5.0,-19.64,-2.0,307520.0
ATOMPAR,ATOM3,4.65,7.53,31.5,202620.0
ALPHAVILLE,AVLL3,31.89,-17.19,-23.3,154307.0
AZEVEDO & TRAVASSOS,AZEV3,4.72,-26.23,-27.4,1556960.0
AZEVEDO & TRAVASSOS,AZEV4,3.99,-22.15,-27.4,5530090.0
AZUL,AZUL4,35.86,-34.29,-8.6,155975000.0
BAHEMA,BAHI3,15.9,365.2,0.3,45150.0
BAUMER,BALM3,17.78,11.06,9.6,3742.0
BAUMER,BALM4,15.39,9.39,9.6,36120.0
EXCELSIOR,BAUH4,88.34,55.66,4.3,8551.0
BR Brokers,BBRK3,1.84,-6.23,-15.9,3808900.0
BAEDELLA,BDLL3,11.0,-7.91,-162.0,16222.0
BAEDELLA,BDLL4,11.18,-7.91,-162.0,7130.0
Minerva,BEEF3,11.05,6.13,8.1,97179600.0
BIOMM SA,BIOM3,15.0,-20.29,-63.9,166062.0
BK BRASIL,BKBR3,7.54,-6.78,-14.5,21844300.0
BLAU,BLAU3,40.95,13.97,36.6,15101000.0
MONARK,BMKS3,235.0,42.74,-3.0,74999.0
BEMOBI TECH,BMOB3,15.68,9.58,33.5,19537900.0
BOMBRIL SA,BOBR4,1.92,15.43,4.6,127221.0
BRADESPAR S/A,BRAP3,48.6,-788.5,,11623000.0
BRADESPAR S/A,BRAP4,53.32,-868.21,,170302000.0
