Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
GPC PARTICIPACOES SA,GPCP3,37.58,13.2,8.7,7110410.0,[]
MITRE REALTY,MTRE3,11.65,13.27,9.6,10150600.0,[]
TUPY,TUPY3,24.75,13.55,7.0,35824300.0,[]
BEMOBI TECH,BMOB3,23.0,13.73,34.1,23781900.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.9,14.09,26.9,167924000.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,160.0,14.1,22.3,294686.0,[]
PETROBRAS BR,BRDT3,25.45,14.1,2.9,201268000.0,[]
TELEF BRASIL,VIVT3,44.0,14.12,13.2,92526500.0,[]
Tegma,TGMA3,22.56,14.15,10.7,10034100.0,[]
FOCUS,POWE3,14.28,14.23,3.7,2797730.0,[]
CSU CARDSYST,CARD3,24.39,14.58,15.8,9882580.0,[]
SAO MARTINHO,SMTO3,33.23,14.79,25.5,35241100.0,[]
ENAUTA PART,ENAT3,15.77,14.97,25.2,28238800.0,[]
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,40.61,15.27,63.4,575152.0,[]
MRV,MRVE3,17.54,15.27,11.8,66487800.0,[]
JEREISSATI PARTICIPACOES,JPSA3,29.21,15.36,42.7,8294320.0,[]
OUROFINO S/A,OFSA3,36.29,15.39,17.4,1468020.0,[]
GRENDENE SA,GRND3,9.28,15.55,21.3,18811100.0,[]
Suzano Papel,SUZB3,62.22,15.71,29.7,470936000.0,[]
B3,B3SA3,17.1,15.75,62.2,625025000.0,[]
PAGUE MENOS,PGMN3,11.89,16.06,5.0,12239800.0,[]
Springs,SGPS3,11.4,16.16,5.0,1542580.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.2,16.22,28.3,56320500.0,[]
TOTVS,TOTS3,32.94,16.3,41.2,129174000.0,[]
CYRELA BRAZIL REALTY,CYRE3,23.28,16.4,15.1,137196000.0,[]
SIMPAR,SIMH3,49.6,16.53,13.8,24838900.0,[]
DURATEX,DTEX3,21.31,16.53,15.5,48421000.0,[]
