Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
UNICASA,UCAS3,5.03,13.45,12.0,883974.0,[]
TUPY,TUPY3,24.91,13.62,7.0,32306200.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.38,13.73,26.9,166476000.0,[]
ENAUTA PART,ENAT3,14.8,13.75,25.2,30000100.0,[]
TELEF BRASIL,VIVT3,42.99,13.82,13.2,102517000.0,[]
PETROBRAS BR,BRDT3,24.91,13.85,2.9,192297000.0,[]
KEPLER WEBER SA,KEPL3,53.59,13.93,11.0,11017000.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,158.0,13.96,22.3,300738.0,[]
Tegma,TGMA3,22.3,13.99,10.7,11599900.0,[]
CSU CARDSYST,CARD3,24.0,14.36,15.8,9123300.0,[]
SAO MARTINHO,SMTO3,32.12,14.44,25.5,38324000.0,[]
PAGUE MENOS,PGMN3,10.68,14.53,5.0,9985730.0,[]
PORTOBELLO S/A,PTBL3,12.08,14.6,10.8,44726500.0,[]
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,39.15,14.89,63.4,331820.0,[]
MANGELS,MGEL4,12.26,15.09,8.9,230809.0,[]
MRV,MRVE3,17.37,15.17,11.8,64435800.0,[]
TOTVS,TOTS3,31.01,15.3,41.2,134050000.0,[]
FOCUS,POWE3,15.4,15.41,7.4,2920820.0,[]
JEREISSATI PARTICIPACOES,JPSA3,29.54,15.46,42.7,7732120.0,[]
OUROFINO S/A,OFSA3,36.69,15.55,17.4,1151440.0,[]
SIMPAR,SIMH3,45.4,15.91,13.8,24729700.0,[]
GRENDENE SA,GRND3,9.55,16.11,21.3,18165800.0,[]
Suzano Papel,SUZB3,65.15,16.13,29.7,498839000.0,[]
Springs,SGPS3,11.37,16.14,5.0,1467180.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.08,16.15,28.3,67003300.0,[]
DURATEX,DTEX3,20.88,16.23,15.5,47074500.0,[]
LOCAMERICA,LCAM3,24.42,16.44,17.0,61277800.0,[]
GPC PARTICIPACOES SA,GPCP3,37.31,16.52,7.7,5881690.0,[]
CYRELA BRAZIL REALTY,CYRE3,23.72,16.69,15.1,130325000.0,[]
POSITIVO INF,POSI3,11.22,17.11,4.4,103660000.0,[]
FLEURY,FLRY3,26.22,17.22,18.3,44987400.0,[]
AMBEV S/A,ABEV3,17.18,17.37,23.6,323904000.0,[]
BLAU,BLAU3,42.49,17.68,35.1,9188170.0,[]
KLABIN,KLBN11,26.9,17.83,22.7,193243000.0,[]
GRUPO MATEUS,GMAT3,7.84,18.12,6.9,36476200.0,[]
CIELO,CIEL3,3.61,18.29,11.6,94996900.0,[]
EMAE,EMAE4,88.0,18.81,34.6,426816.0,[]
MOVIDA,MOVI3,16.35,18.99,14.9,34718300.0,[]
ROMI,ROMI3,27.24,19.27,11.5,47574000.0,[]
QUERO-QUERO,LJQQ3,19.9,19.33,11.2,28066600.0,[]
CIA ENERG CEARA - COELCE,COCE5,56.7,19.72,6.0,864734.0,[]
ANIMA,ANIM3,11.85,20.09,16.7,26566000.0,[]
ULTRAPAR PARTICIPAÇÕES SA,UGPA3,19.96,20.12,2.1,106925000.0,[]
Log-In,LOGN3,19.49,20.53,12.3,15064300.0,[]
AMBIPAR,AMBP3,28.12,20.68,17.6,10153400.0,[]
SCHULZ,SHUL4,10.52,21.06,8.9,4840280.0,[]
HYPERA,HYPE3,33.73,21.7,27.3,96062600.0,[]
PETRORIO,PRIO3,18.32,22.91,29.1,492274000.0,[]
MARCOPOLO,POMO4,2.73,23.04,4.5,16877700.0,[]
VALID,VLID3,9.48,23.36,3.5,7994860.0,[]
GAFISA,GFSA3,4.5,23.66,8.0,23498800.0,[]
INTELBRAS,INTB3,25.4,24.99,12.9,31384300.0,[]
LOJAS AMERICANAS S.A.,LAME4,19.44,25.08,6.8,249788000.0,[]
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.65,25.1,53.8,161599000.0,[]
RUMO S.A.,RAIL3,20.95,25.64,27.1,173410000.0,[]
LOCALIZA RENT A CAR,RENT3,58.79,25.91,19.3,303093000.0,[]
ELETROBRÁS,ELET3,39.84,25.94,11.7,209654000.0,[]
ALIANSCSONAE,ALSO3,27.45,26.12,39.4,38108200.0,[]
ENEVA,ENEV3,16.54,26.39,30.5,110035000.0,[]
JULIO SIMOES,JSLG3,11.2,26.96,13.9,3992290.0,[]
BR PROPERTIES,BRPR3,8.9,27.87,69.4,12946000.0,[]
OMEGA GER,OMGE3,37.01,28.59,33.9,31226200.0,[]
IGUATEMI,IGTA3,41.7,29.23,45.9,94124900.0,[]
EZTec,EZTC3,32.36,29.27,24.3,68639200.0,[]
VAMOS,VAMO3,45.85,29.27,23.8,24584500.0,[]
M.DIASBRANCO,MDIA3,26.4,30.02,4.4,39073200.0,[]
PETTENATI,PTNT3,13.0,30.09,4.3,835879.0,[]
GRUPO NATURA,NTCO3,49.34,30.67,6.3,304133000.0,[]
VIVARA S.A.,VIVA3,26.48,31.58,18.3,26326400.0,[]
LOG COM PROP,LOGG3,29.64,32.54,75.6,11960700.0,[]
HBR REALTY,HBRE3,16.0,33.22,94.2,2287100.0,[]
ORIZON,ORVR3,23.7,33.51,13.0,5650680.0,[]
PANVEL FARMÁCIAS,PNVL3,18.68,34.62,3.1,17134000.0,[]
VULCABRAS S/A.,VULC3,8.47,34.9,5.1,4462120.0,[]
Multiplan,MULT3,24.21,35.34,45.6,138545000.0,[]
WEG SA,WEGE3,32.1,35.9,19.6,373315000.0,[]
COSAN SA INDUSTRIA E COMERCIO,CSAN3,22.34,36.56,13.7,206313000.0,[]
NEOGRID,NGRD3,6.81,37.5,16.8,21704100.0,[]
CRUZEIRO EDU,CSED3,13.4,37.63,9.3,6347330.0,[]
ALPARGATAS,ALPA4,45.7,40.65,18.3,64809900.0,[]
INTERMEDICA,GNDI3,81.62,41.74,11.0,332158000.0,[]
RAIADROGASIL,RADL3,25.88,43.47,4.8,142252000.0,[]
MOSAICO SA,MOSI3,21.6,43.76,27.1,40435300.0,[]
BOA VISTA,BOAS3,12.22,43.94,19.3,11881000.0,[]
HIDROVIAS,HBSA3,6.76,44.96,13.3,23143300.0,[]
PENALTY,CAMB3,5.2,45.04,4.3,535018.0,[]
PADTEC,PDTC3,8.0,45.87,8.4,2623090.0,[]
ESPACOLASER,ESPA3,16.5,46.95,16.5,20083700.0,[]
HAPVIDA,HAPV3,14.74,46.97,13.6,172326000.0,[]
YDUQS PART,YDUQ3,31.76,48.7,6.6,74641100.0,[]
EMBRAER,EMBR3,15.99,52.02,2.0,198716000.0,[]
B3,B3SA3,53.55,52.31,62.2,699278000.0,[]
LOJAS MARISA,AMAR3,6.23,54.55,2.6,37705700.0,[]
LINX,LINX3,37.3,55.38,14.1,23630200.0,[]
MILLS,MILS3,8.3,58.47,6.2,18184700.0,[]
ESTAPAR,ALPK3,8.06,60.82,8.7,377704.0,[]
PETZ,PETZ3,21.67,61.02,8.8,76141300.0,[]
RENNER,LREN3,43.75,64.68,8.6,430757000.0,[]
SBPAR,STBP3,7.98,66.24,9.2,48382900.0,[]
ALLIAR,AALR3,9.98,80.94,2.2,6936880.0,[]
REDE D OR,RDOR3,73.7,84.82,13.0,118309000.0,[]
RECRUSUL,RCSL4,1.65,90.68,3.6,4909430.0,[]
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,59.31,92.78,2.9,266231000.0,[]
SEQUOIA LOG,SEQL3,23.56,93.06,3.3,23694300.0,[]
OCEANPACT,OPCT3,7.9,95.29,2.6,10474400.0,[]
AREZZO CO,ARZZ3,83.84,95.98,5.1,52699300.0,[]
Helbor,HBOR3,8.82,108.52,2.0,17749600.0,[]
SINQIA,SQIA3,21.56,112.9,5.6,13907100.0,[]
MAGAZ LUIZA,MGLU3,19.15,141.54,2.7,683265000.0,[]
MELIUZ,CASH3,35.99,148.14,22.7,84272900.0,[]
CIA HERING,HGTX3,29.45,165.61,2.5,117560000.0,[]
DIAGNOSTICOS DA AMERICA SA,DASA3,58.9,245.17,1.9,18030500.0,[]
LOCAWEB,LWSA3,22.82,267.0,7.6,234523000.0,[]
TRACK FIELD,TFCO4,13.6,268.99,17.4,1442920.0,[]
