Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.73,7.97,15.6,404.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,25.0,6.64,15.6,15791.0
ELETROBRÁS,ELET3,35.29,-22.77,-11.8,176657000.0
ELETROBRÁS,ELET5,64.5,-35.79,-11.8,154.0
ELETROBRÁS,ELET6,34.48,-22.41,-11.8,90083900.0
ELETROMIDIA,ELMD3,14.67,-68.32,-8.7,1782270.0
NOT FOUND,EMAE3,,,,
EMAE,EMAE4,48.37,8.3,36.1,575931.0
EMBRAER,EMBR3,20.31,12.76,7.5,224286000.0
ENAUTA PART,ENAT3,15.26,6.97,28.0,17954300.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,21.44,5.43,20.4,71993700.0
ENEVA,ENEV3,13.21,17.37,27.7,86858100.0
ENERGISA,ENGI11,43.65,7.2,17.6,75145100.0
ENERGISA,ENGI3,14.5,9.53,17.6,142722.0
ENERGISA,ENGI4,7.42,6.67,17.6,264471.0
ENJOEI,ENJU3,3.14,-1.76,-108.6,8916670.0
ENERGISA MT,ENMT3,81.2,12.42,25.4,278877.0
ENERGISA MT,ENMT4,81.79,12.5,25.4,2100.0
EMBPAR S/A,EPAR3,15.84,4.4,6.3,33799.0
EQTL PARA,EQPA3,5.66,8.36,23.5,40902.0
EQTL PARA,EQPA5,7.3,10.43,23.5,5877.0
EQTL PARA,EQPA6,10.68,14.71,23.5,0.0
EQTL PARAC,EQPA7,6.7,9.68,23.5,32.0
EQUATORIAL ENERGIA S.A.,EQTL3,22.96,6.9,23.2,134766000.0
ESPACOLASER,ESPA3,6.39,10.37,27.9,24822000.0
ESTRELA,ESTR3,40.0,4.85,13.5,0.0
ESTRELA,ESTR4,67.18,5.77,13.5,0.0
ETERNIT,ETER3,17.67,2.94,27.8,40711600.0
EUCATEX,EUCA3,14.01,4.04,18.3,125552.0
EUCATEX,EUCA4,9.01,2.92,18.3,488114.0
Even,EVEN3,7.41,2.19,16.8,12817500.0
EZTec,EZTC3,21.38,14.01,26.3,46214700.0
FERBASA,FESA3,50.0,6.91,29.0,17091.0
FERBASA,FESA4,46.45,6.41,29.0,24435300.0
Fer Heringer,FHER3,15.95,2.73,14.4,24226900.0
UNIFIQUE,FIQE3,6.72,,,3237980.0
FLEURY,FLRY3,20.22,11.83,19.0,35302700.0
FRAS-LE S.A.,FRAS3,12.61,10.0,13.5,2707630.0
Metalfrio,FRIO3,50.59,16.62,3.5,120.0
POMIFRUTAS,FRTA3,5.1,-264.98,-1.6,24035.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,32.0,4.07,78.9,612.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,31.51,4.02,78.9,13687.0
NOT FOUND,GETT11,,,,
GETNET BR,GETT3,1.64,,,878021.0
GETNET BR,GETT4,1.65,,,835734.0
GAFISA,GFSA3,2.04,11.49,10.5,14555400.0
GERDAU S.A.,GGBR3,22.6,2.91,23.2,1314300.0
GERDAU S.A.,GGBR4,27.84,3.46,23.2,290721000.0
GPS,GGPS3,17.1,,,25836600.0
GRUPO MATEUS,GMAT3,6.11,14.76,6.2,25192500.0
INTERMEDICA,GNDI3,71.2,96.66,3.9,328179000.0
METALÚRGICA GERDAU,GOAU3,10.2,1.12,23.2,877491.0
METALÚRGICA GERDAU,GOAU4,11.57,1.21,23.2,86888400.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,18.29,-7.95,-35.2,94085800.0
CELGPAR,GPAR3,41.52,16.33,90.6,99.0
GRENDENE SA,GRND3,9.07,14.57,19.2,13827500.0
Generalshopp,GSHP3,30.5,40.27,33.3,14478.0
GUARARAPES CONFECÇÕES,GUAR3,12.74,29.22,4.0,13645700.0
HAGA,HAGA3,8.59,21.64,10.2,511132.0
HAGA,HAGA4,1.94,4.41,10.2,200426.0
HAPVIDA,HAPV3,12.66,93.38,5.5,275765000.0
Helbor,HBOR3,4.3,20.49,7.1,4648630.0
HBR REALTY,HBRE3,7.98,18.5,86.7,570740.0
HIDROVIAS,HBSA3,3.11,32.65,15.2,10660000.0
CIA HABITASUL,HBTS5,45.0,2.93,58.9,3862.0
HERCULES S/A,HETA3,96.0,568.56,28.3,0.0
HERCULES S/A,HETA4,8.2,500.4,28.3,103373.0
HOTEIS OTHON S.A.,HOOT4,2.8,-1.66,-88.5,19452.0
HYPERA,HYPE3,31.11,14.88,29.6,87784500.0
INFRACOMM,IFCM3,16.3,,,21471900.0
GRADIENTE,IGBR3,49.2,-6.16,,676820.0
IGUATEMI S.A,IGTI11,20.0,27.55,36.0,47433700.0
IGUATEMI S.A,IGTI3,3.37,31.17,36.0,2467330.0
INEPAR S/A,INEP3,1.6,-4.14,,1439200.0
INEPAR S/A,INEP4,1.56,-4.12,,1305690.0
INTELBRAS,INTB3,31.3,35.13,9.7,29542300.0
ITAÚSA,ITSA3,10.3,70.9,17.2,1540800.0
ITAÚSA,ITSA4,10.19,70.18,17.2,247185000.0
JALLESMACHAD,JALL3,10.02,5.77,48.3,6818760.0
JBS,JBSS3,35.09,5.33,8.1,341660000.0
JOÃO FORTES ENGENHARIA S.A.,JFEN3,1.25,-6.89,958.8,1025360.0
JHSF Part,JHSF3,6.43,4.9,58.5,26805500.0
JOSAPAR S/A,JOPA3,27.0,12.23,3.1,6409.0
JOSAPAR S/A,JOPA4,35.0,13.67,3.1,634.0
JULIO SIMOES,JSLG3,7.14,50.76,18.3,3114220.0
KEPLER WEBER SA,KEPL3,38.9,6.44,11.8,9099680.0
KLABIN,KLBN11,24.88,10.95,28.8,131116000.0
KLABIN,KLBN3,5.74,11.93,28.8,598093.0
KLABIN,KLBN4,4.76,10.67,28.8,2596310.0
KORA SAUDE,KRSA3,4.27,,,860224.0
TERRASANTAPA,LAND3,0.0,,,0.0
LAVVI,LAVV3,5.78,2.92,30.6,5006050.0
LOCAMERICA,LCAM3,26.23,11.74,25.4,72834800.0
MAHLE METAL LEVE,LEVE3,32.68,6.13,19.6,11722400.0
LIGHT SA,LIGT3,11.61,6.16,12.4,28504400.0
LIGHTPAR,LIPR3,67.01,-120.09,,18293.0
QUERO-QUERO,LJQQ3,10.14,8.95,9.9,27960400.0
LE LIS BLANC DEUX,LLIS3,1.72,-9.34,-23.7,749180.0
LOG COM PROP,LOGG3,28.28,35.45,74.2,19632800.0
Log-In,LOGN3,22.18,16.52,14.3,17277000.0
LOPES BRASIL,LPSB3,2.93,5.68,24.0,3645760.0
RENNER,LREN3,28.12,16.93,15.3,310470000.0
LUPATECH,LUPA3,5.83,-19.33,-18.5,11249700.0
TREVISA INVESTIMENTOS SA,LUXM4,81.99,20.92,16.2,167339.0
WDC NETWORKS,LVTC3,16.35,,,3312090.0
LOCAWEB,LWSA3,9.7,127.89,4.5,131543000.0
CIA MARCOPOLO,MAPT3,37.0,-225.19,,0.0
CIA MARCOPOLO,MAPT4,21.51,-130.91,,1954.0
MATER DEI,MATD3,15.89,,,12296500.0
MOBLY,MBLY3,6.38,-6.67,-11.1,1711260.0
M.DIASBRANCO,MDIA3,23.13,22.55,4.7,27363200.0
MOURA DUBEUX,MDNE3,6.54,6.05,12.5,1957450.0
IMC S/A,MEAL3,2.62,-13.16,-4.3,4909910.0
MELNICK,MELK3,4.22,5.8,9.3,2592490.0
MANGELS,MGEL4,13.94,7.4,12.2,20261.0
MAGAZ LUIZA,MGLU3,7.0,88.27,1.5,923795000.0
MILLS,MILS3,6.42,13.37,17.0,7717420.0
MULTILASER,MLAS3,7.69,,,12028000.0
NOT FOUND,MMXM11,,,,
MMX MINER,MMXM3,14.0,18.64,,0.0
MUNDIAL S/A,MNDL3,34.7,4.26,12.3,69992.0
MINUPAR,MNPR3,6.05,1.0,14.2,63327.0
MONTEIRO ARANHA,MOAR3,406.0,-137.35,,1369540.0
MOSAICO SA,MOSI3,8.48,45.6,5.3,5675100.0
MOVIDA,MOVI3,16.48,9.19,27.7,37515500.0
Marfrig,MRFG3,22.48,2.73,13.8,139086000.0
MRV,MRVE3,13.41,13.51,10.9,67195200.0
MELHORAMENTOS,MSPA3,48.5,-11.8,-23.9,462.0
MELHORAMENTOS,MSPA4,46.0,-11.29,-23.9,438.0
IGUAÇU,MTIG4,35.44,-5.74,-19.4,3492.0
MITRE REALTY,MTRE3,7.6,10.43,9.1,4320560.0
NOT FOUND,MTSA3,,,,
METISA,MTSA4,40.79,5.18,13.2,186537.0
Multiplan,MULT3,21.5,26.92,48.4,144119000.0
WETZEL S.A.,MWET3,22.5,24.87,1.8,423.0
WETZEL S.A.,MWET4,16.01,21.58,1.8,45201.0
IOCHPE-MAXION,MYPK3,15.07,7.83,6.9,21014400.0
NEOENERGIA,NEOE3,16.44,6.12,19.5,31638900.0
NEOGRID,NGRD3,3.05,15.19,13.9,4902890.0
GETNINJAS,NINJ3,4.99,,,4268600.0
NORDON INDS METALURGICAS SA,NORD3,10.0,-99.26,-52.8,2129.0
GRUPO NATURA,NTCO3,22.7,18.63,5.1,239322000.0
NUTRIPLANT,NUTR3,253.0,9.62,3.8,0.0
CONSERVAS ODERICH SA,ODER4,190.0,19.0,18.9,0.0
ODONTOPREV,ODPV3,12.48,10.61,32.6,19341600.0
OUROFINO S/A,OFSA3,25.29,10.7,16.4,260237.0
OI,OIBR3,1.07,-10.07,-174.5,73083500.0
OI,OIBR4,1.75,-11.35,-174.5,1373660.0
ONCOCLINICAS,ONCO3,10.85,,,15161600.0
OCEANPACT,OPCT3,2.92,370.81,0.4,2792930.0
ORIZON,ORVR3,28.02,44.77,13.2,9787510.0
OSX BRASIL,OSXB3,7.71,-57.32,-387.7,117405.0
IHPARDINI,PARD3,22.98,7.7,20.1,6730460.0
PANATLANTICA,PATI3,69.0,4.76,15.9,1298.0
PANATLANTICA,PATI4,59.61,4.2,15.9,1240.0
PÃO DE AÇÚCAR,PCAR3,22.63,4.22,10.4,53091000.0
PDG REALT,PDGR3,1.46,-23.85,-11.7,1239470.0
PADTEC,PDTC3,6.35,16.3,9.4,837188.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB3,65.0,-17.81,-85.6,2546.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB4,75.0,-23.76,-85.6,4701.0
PETROBRAS,PETR3,35.27,4.17,44.0,688276000.0
PETROBRAS,PETR4,32.35,3.95,44.0,2134360000.0
PETZ,PETZ3,17.81,46.56,9.2,108474000.0
PROFARMA,PFRM3,5.01,4.58,3.8,646951.0
PAGUE MENOS,PGMN3,8.6,10.87,5.3,6853690.0
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLAS3,10.9,-6.89,-7.8,6238.0
PLANOEPLANO,PLPL3,3.8,2.53,27.8,2674380.0
PARANAPANEMA S.A.,PMAM3,8.14,-46.11,-1.4,2689980.0
PANVEL FARMÁCIAS,PNVL3,13.73,33.67,2.4,7885440.0
MARCOPOLO,POMO3,2.88,161.87,0.7,875853.0
MARCOPOLO,POMO4,3.42,183.11,0.7,17530600.0
WILSON SONS,PORT3,60.63,,,3087360.0
POSITIVO INF,POSI3,9.36,6.73,7.9,37993600.0
FOCUS,POWE3,10.93,10.68,3.5,5463160.0
PETRORIO,PRIO3,23.92,13.85,42.6,411299000.0
PRINER,PRNR3,6.37,8.43,7.0,701069.0
NOT FOUND,PSVM11,,,,
PORTOBELLO S/A,PTBL3,9.43,6.18,16.9,8919080.0
PETTENATI,PTNT3,12.12,9.64,8.9,215816.0
PETTENATI,PTNT4,6.15,5.47,8.9,140376.0
QUALICORP,QUAL3,18.4,7.99,37.4,39665800.0
RAIADROGASIL,RADL3,23.16,30.27,5.6,141143000.0
RUMO S.A.,RAIL3,15.62,21.73,24.5,192034000.0
RAIZEN,RAIZ4,6.42,21.6,2.9,57261200.0
CELULOSE IRANI,RANI3,6.42,5.09,25.5,7739140.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT3,12.16,5.4,13.8,154920.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,12.04,5.37,13.8,31861300.0
RECRUSUL,RCSL3,4.64,382.04,1.7,21317600.0
RECRUSUL,RCSL4,1.26,101.95,1.7,1557430.0
RNI,RDNI3,9.33,170.06,1.4,267408.0
REDE D OR,RDOR3,44.32,26.24,20.2,151468000.0
PETRORECONCA,RECV3,20.4,,,14435000.0
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,6.85,7.19,21.0,7713.0
LOCALIZA RENT A CAR,RENT3,58.6,16.53,28.1,457706000.0
RENOVA,RNEW11,6.88,-24.23,-88.7,51208.0
RENOVA,RNEW3,2.4,-24.38,-88.7,173456.0
RENOVA,RNEW4,2.26,-24.18,-88.7,334686.0
ROMI,ROMI3,17.0,8.85,14.5,15259400.0
ALFA HOLDINGS,RPAD3,6.3,-124.03,,4424.0
ALFA HOLDINGS,RPAD5,8.18,-161.94,,27884.0
ALFA HOLDINGS,RPAD6,4.4,-85.72,,6174.0
REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,RPMG3,2.97,-0.68,-16.9,108525.0
3R PETROLEUM,RRRP3,38.24,28.61,38.2,98367200.0
ROSSI RESIDENCIAL,RSID3,8.85,-67.49,-10.5,593673.0
METALURGICA RIOSULENSE S/A,RSUL4,74.0,7.44,19.6,279696.0
SANEPAR,SAPR11,20.16,4.37,41.1,30906700.0
SANEPAR,SAPR3,3.87,4.25,41.1,1870720.0
SANEPAR,SAPR4,4.01,4.36,41.1,14480600.0
GRUPO SBF,SBFG3,25.75,26.67,6.7,20832800.0
SABESP,SBSP3,37.36,8.71,23.4,91598500.0
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,39.8,23.46,55.2,242472.0
SER EDUCA,SEER3,11.57,8.22,14.2,6630310.0
SEQUOIA LOG,SEQL3,15.26,147.17,1.2,33385900.0
Springs,SGPS3,6.06,8.3,6.9,407059.0
TIME FOR FUN,SHOW3,3.73,-3.46,-449.6,2180070.0
NOT FOUND,SHUL3,,,,
SCHULZ,SHUL4,8.31,12.71,9.1,2062750.0
SIMPAR,SIMH3,11.07,8.96,19.6,24023400.0
SLC Agricola,SLCE3,45.98,7.39,29.0,54943800.0
EDITORA SARAIVA,SLED3,8.53,-5.82,-48.3,51519.0
EDITORA SARAIVA,SLED4,4.25,-5.67,-48.3,196395.0
SMART FIT,SMFT3,17.31,-28.2,-23.2,22053700.0
SAO MARTINHO,SMTO3,36.74,11.5,31.0,45393000.0
NOT FOUND,SNSY3,,,,
SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SNSY5,4.63,-20.32,-1.1,19641.0
NOT FOUND,SNSY6,,,,
BOA SAFRA,SOJA3,14.1,10.87,16.1,5228170.0
GRUPO SOMA,SOMA3,14.5,55.77,10.6,63432800.0
SONDOTECNICA S/A.,SOND3,40.2,12.6,8.0,0.0
SONDOTECNICA S/A.,SOND5,40.63,12.78,8.0,632.0
SONDOTECNICA S/A.,SOND6,35.52,10.6,8.0,85.0
SINQIA,SQIA3,19.06,43.66,9.7,17011100.0
SBPAR,STBP3,6.98,18.29,21.5,34524400.0
Suzano Papel,SUZB3,59.2,9.99,37.1,364213000.0
SYN PROP TEC,SYNE3,7.24,8.69,51.7,23672200.0
TAESA,TAEE11,38.17,6.45,75.7,83793400.0
TAESA,TAEE3,12.81,6.48,75.7,1100290.0
TAESA,TAEE4,12.75,6.46,75.7,2302210.0
TAURUS ARMAS,TASA3,22.08,3.94,30.2,898056.0
TAURUS ARMAS,TASA4,21.9,3.91,30.2,21142700.0
TECNOSOLO S/A,TCNO3,1.79,-24.31,,147084.0
TECNOSOLO S/A,TCNO4,1.35,-22.75,,226660.0
TECNISA,TCSA3,3.61,-7.81,-48.9,2711410.0
TECHNOS,TECN3,2.63,3.67,19.5,3261650.0
TEKA S.A.,TEKA3,26.1,,0.1,124.0
TEKA S.A.,TEKA4,8.89,,0.1,20032.0
TELEBRAS,TELB3,40.0,-5.78,-129.0,21234.0
TELEBRAS,TELB4,15.6,-0.99,-129.0,82752.0
Tenda,TEND3,16.01,5.94,12.2,17228000.0
TRACK FIELD,TFCO4,11.81,23.49,20.0,2611410.0
Tegma,TGMA3,14.9,7.85,12.1,5288050.0
TIM,TIMS3,13.27,8.59,18.3,75786500.0
TEKNO,TKNO4,51.0,3.43,16.0,1875.0
TOTVS,TOTS3,29.07,13.8,40.8,134890000.0
TRIUNFO PARTICIPACOES SA,TPIS3,2.1,-98.22,-1.9,2460720.0
TC,TRAD3,4.27,,,12101100.0
Trisul,TRIS3,6.42,7.55,21.7,8676740.0
TRANSMISSÃO PAULISTA,TRPL3,31.2,5.93,98.7,86013.0
TRANSMISSÃO PAULISTA,TRPL4,24.16,4.87,98.7,25046600.0
3TENTOS,TTEN3,9.8,,,6664160.0
TUPY,TUPY3,20.87,7.14,8.9,11962500.0
RENAUX,TXRX3,34.0,13.42,19.9,162.0
RENAUX,TXRX4,6.74,9.5,19.9,2862.0
UNICASA,UCAS3,3.73,6.76,13.7,176024.0
ULTRAPAR PARTICIPAÇÕES SA,UGPA3,15.11,16.23,1.7,103857000.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP3,92.99,4.53,33.9,3912330.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP5,95.2,4.64,33.9,110796.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP6,93.9,4.57,33.9,34093400.0
USIMINAS,USIM3,14.62,1.74,31.6,9673530.0
USIMINAS,USIM5,15.97,1.91,31.6,299824000.0
USIMINAS,USIM6,17.93,2.16,31.6,221.0
VALE,VALE3,80.87,2.36,60.3,1934290000.0
VAMOS,VAMO3,12.28,21.58,25.3,29333300.0
VIBRA,VBBR3,22.9,11.26,2.7,178518000.0
VIA,VIIA3,4.72,15.38,3.2,193382000.0
VITTIA,VITT3,15.18,16.57,19.7,1885360.0
VIVARA S.A.,VIVA3,26.3,20.12,23.8,27488800.0
VIVER,VIVR3,1.28,-7.64,-54.7,6358190.0
TELEF BRASIL,VIVT3,49.68,16.2,12.4,93131800.0
VALID,VLID3,9.7,11.34,6.9,3657610.0
VULCABRAS S/A.,VULC3,9.41,16.02,9.3,5202010.0
VIVEO,VVEO3,17.75,,,9098620.0
WEG SA,WEGE3,32.16,31.45,19.4,241795000.0
WESTWING,WEST3,3.73,-2.38,-18.7,3382660.0
WHIRLPOOL S.A.,WHRL3,6.44,8.27,9.1,17521.0
WHIRLPOOL S.A.,WHRL4,7.03,9.13,9.1,90266.0
WIZ S.A.,WIZS3,8.21,2.61,44.1,15351100.0
WLM,WLMM3,34.0,9.51,6.5,406.0
WLM,WLMM4,30.73,8.46,6.5,59307.0
YDUQS PART,YDUQ3,22.11,23.18,10.1,59257500.0
