Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
CELPE,CEPE3,125.26,14.80,11.00,,[]
CELPE,CEPE5,25.0,14.80,11.00,10472.5,[]
CELPE,CEPE6,26.11,14.80,11.00,12197.3,[]
CESP,CESP3,23.02,6.52,65.10,132586.2,[]
CESP,CESP5,26.1,6.52,65.10,18512.13,[]
CESP,CESP6,23.38,6.52,65.10,48464900.28,[]
COMGAS,CGAS3,130.0,8.46,24.78,26532.86,[]
COMGAS,CGAS5,122.5,8.46,24.78,766570.92,[]
GRAZZIOTIN,CGRA3,38.99,3.48,32.69,54579.46,[]
GRAZZIOTIN,CGRA4,38.25,3.48,32.69,260898.72,[]
CIELO,CIEL3,2.33,6.52,3.29,69142684.84,[]
CLEAR SALE S.A.,CLSA3,10.8,-407.14,-0.80,20179944.84,[]
CELESC,CLSC3,61.8,3.01,8.50,33048.93,[]
CELESC,CLSC4,64.6,3.01,8.50,544789.08,[]
CEMIG,CMIG3,17.72,4.68,22.63,6256837.16,[]
CEMIG,CMIG4,12.81,4.68,22.63,89182019.64,[]
CSN MINERAÇÃO S.A.,CMIN3,7.12,2.91,52.40,55284444.36,[]
COELCE,COCE3,58.92,11.95,7.34,11395.5,[]
COELCE,COCE5,53.75,11.95,7.34,370082.52,[]
COGNA ON,COGN3,2.49,-5.21,-47.92,71860325.16,[]
CORREA RIBEIRO,CORR4,82.0,2.24,-154.37,,[]
CPFL ENERGIA,CPFE3,28.3,6.92,18.16,68348040.04,[]
COPEL,CPLE11,35.46,4.32,25.34,13971198.64,[]
COPEL,CPLE3,6.5,4.32,25.34,6895311.36,[]
COPEL,CPLE5,31.0,4.32,25.34,5770.25,[]
COPEL,CPLE6,7.23,4.32,25.34,80329456.36,[]
CR2,CRDE3,16.74,-1.48,-815.91,3793.25,[]
ATACADÃO,CRFB3,15.8,8.18,6.55,74649195.2,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,53.2,6.43,23.31,7578.0,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,60.25,6.43,23.31,831660.76,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,62.99,6.43,23.31,26749.94,[]
COSAN,CSAN3,23.31,9.24,36.76,149743603.16,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,5.56,7.33,16.55,5661995.72,[]
COPASA,CSMG3,13.41,6.82,19.34,17558300.52,[]
CSN,CSNA3,26.63,2.31,44.08,303155720.56,[]
COSERN,CSRN3,15.15,6.49,18.35,14076.43,[]
COSERN,CSRN5,15.1,6.49,18.35,1525.0,[]
COSERN,CSRN6,16.1,6.49,18.35,1605.0,[]
KARSTEN,CTKA3,27.5,11.94,10.45,8730.0,[]
KARSTEN,CTKA4,11.0,11.94,10.45,116275.46,[]
COTEMINAS,CTNM3,8.37,6.27,9.32,1150.0,[]
COTEMINAS,CTNM4,3.68,6.27,9.32,40014.24,[]
SANTANENSE,CTSA3,1.91,7.05,9.45,60056.84,[]
SANTANENSE,CTSA4,1.27,7.05,9.45,135725.16,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,7.72,20.98,22.18,8264997.72,[]
CVC BRASIL,CVCB3,13.01,-6.60,-70.69,124528442.32,[]
CYRELA,CYRE3,15.98,7.19,23.28,122767348.44,[]
DASA,DASA3,27.79,99.58,1.89,14522025.48,[]
DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,17.36,20.91,23.61,6315535.6,[]
DEXXOS PARTICIPACOES S.A.,DEXP3,9.64,3.63,19.32,3698637.52,[]
DEXXOS PARTICIPACOES S.A.,DEXP4,8.2,3.63,19.32,32747.44,[]
DIRECIONAL ENGENHARIA,DIRR3,13.34,7.44,18.05,20922140.64,[]
