Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,18.42,19.56,12.33,17358236.46,[]
AMBEV,ABEV3,16.1,12.26,27.80,444365135.76,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,7.77,35.03,7.06,13453770.73,[]
AES BRASIL ENERGIA S.A.,AESB3,11.55,105.86,8.41,12974828.44,[]
AFLUENTE,AFLT3,8.83,25.91,53.41,9076.04,[]
BRASILAGRO,AGRO3,24.65,10.54,23.03,22160606.58,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,9.35,-30.35,-2.02,315202.38,[]
SÃO PAULO TURISMO,AHEB3,27.0,-6.11,-19.49,5800.22,[]
SÃO PAULO TURISMO,AHEB5,23.0,-6.11,-19.49,3800.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,15.83,2.95,8.39,5651613.16,[]
ALPARGATAS,ALPA3,33.36,33.83,15.21,79517.32,[]
ALPARGATAS,ALPA4,40.03,33.83,15.21,108793852.36,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.48,-288.62,-1.08,141372.76,[]
ALIANSCSONAE,ALSO3,20.6,19.51,37.03,32070375.88,[]
ALUPAR,ALUP11,24.49,3.22,72.21,26178281.0,[]
ALUPAR,ALUP3,8.05,3.22,72.21,96702.23,[]
ALUPAR,ALUP4,8.2,3.22,72.21,106650.04,[]
LOJAS MARISA,AMAR3,4.17,-151.97,-0.62,39373783.08,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,41.57,24.02,17.76,58678295.08,[]
AMERICANAS S.A,AMER3,29.8,70.68,2.55,237346703.12,[]
ANIMA,ANIM3,8.81,25.07,14.45,33178104.88,[]
ALPER,APER3,29.92,-114.01,-1.65,1550324.92,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,22.0,87.29,33.81,17732844.6,[]
AREZZO&CO,ARZZ3,74.11,20.29,19.09,87671786.72,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,14.05,10.39,7.64,142880460.44,[]
ATMA SA,ATMP3,3.36,-4.07,-8.65,191873.8,[]
ATOM EMPREENDIMENTOS,ATOM3,3.05,7.31,21.77,109257.68,[]
ALPHAVILLE S.A.,AVLL3,21.89,-5.14,-84.72,1069868.68,[]
AZEVEDO E TRAVASSOS,AZEV3,3.73,1.06,360.13,405262.32,[]
AZEVEDO E TRAVASSOS,AZEV4,3.14,1.06,360.13,1387602.76,[]
AZUL,AZUL4,24.76,-17.79,-10.79,261019097.77,[]
BAHEMA,BAHI3,14.2,-19.37,-4.66,30225.2,[]
BAUMER,BALM3,15.85,10.20,8.76,6789.13,[]
BAUMER,BALM4,13.69,10.20,8.76,7982.84,[]
EXCELSIOR ALIMENTOS,BAUH4,83.0,25.30,9.20,41951.26,[]
BRASIL BROKERS,BBRK3,1.06,-0.56,-81.05,2647613.23,[]
BARDELLA,BDLL3,11.5,-6.22,-385.42,45610.42,[]
BARDELLA,BDLL4,11.0,-6.22,-385.42,10083.81,[]
MINERVA,BEEF3,8.67,5.67,7.71,67267305.2,[]
BIOMM,BIOM3,13.23,-16.52,-59.30,100977.4,[]
BK BRASIL,BKBR3,7.18,-8.52,-10.43,29084195.68,[]
BLAU FARMACÊUTICA S.A.,BLAU3,35.6,12.30,35.33,14781491.32,[]
BICICLETAS MONARK,BMKS3,228.98,-35.55,4.64,11567.65,[]
BEMOBI MOBILE TECH S.A.,BMOB3,13.6,8.19,31.51,16177971.84,[]
BOMBRIL,BOBR4,1.77,3.37,13.51,75623.72,[]
BRADESPAR,BRAP3,51.5,3.41,-,11431397.48,[]
BRADESPAR,BRAP4,53.93,3.41,-,200510950.04,[]
BRF,BRFS3,20.44,11.57,6.29,141368659.6,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,5.66,25.41,13.83,3930258.52,[]
BRASKEM,BRKM3,64.01,3.02,24.39,3428574.8,[]
BRASKEM,BRKM5,66.58,3.02,24.39,214101401.0,[]
BRASKEM,BRKM6,34.0,3.02,24.39,3416.0,[]
BR MALLS,BRML3,7.9,22.04,41.45,148313075.73,[]
BR PROPERTIES,BRPR3,7.33,13.37,120.84,15050549.36,[]
CAMBUCI,CAMB3,4.79,9.00,14.91,118268.28,[]
CAMIL,CAML3,9.77,8.20,7.15,18763971.76,[]
MÉLIUZ S.A.,CASH3,3.29,-240.68,-4.36,171538907.19,[]
CASAN,CASN3,15.01,41.14,21.71,,[]
Companhia Brasileira de Alumínio,CBAV3,12.65,12.70,9.82,27456887.15,[]
AMPLA ENERGIA E SERVICOS,CBEE3,23.0,-162.81,-0.70,6063.91,[]
CCR,CCRO3,12.99,12.38,28.64,186465231.27,[]
CEA MODAS,CEAB3,6.7,54.42,0.90,27762837.12,[]
CEB,CEBR3,16.1,-0.18,-222.59,56298.8,[]
CEB,CEBR5,15.7,-0.18,-222.59,19641.52,[]
CEB,CEBR6,16.0,-0.18,-222.59,76740.72,[]
CEDRO TÊXTIL,CEDO3,7.01,5.12,5.45,14591.2,[]
CEDRO TÊXTIL,CEDO4,5.49,5.12,5.45,11566.91,[]
COELBA,CEEB3,32.99,7.99,18.76,167533.17,[]
COELBA,CEEB5,37.05,7.99,18.76,7800.0,[]
CEEE-D,CEED3,40.5,-16.58,-5.90,6120.5,[]
CEEE-D,CEED4,55.8,-16.58,-5.90,5580.0,[]
CEG,CEGR3,60.0,23.74,17.34,9002.5,[]
CELPE,CEPE5,26.32,14.84,11.00,10655.75,[]
CELPE,CEPE6,29.99,14.84,11.00,50729.13,[]
CESP,CESP3,22.81,6.47,65.10,214805.68,[]
CESP,CESP5,33.5,6.47,65.10,4925.0,[]
CESP,CESP6,23.14,6.47,65.10,52589881.68,[]
COMGAS,CGAS3,183.99,10.49,24.78,77651.0,[]
COMGAS,CGAS5,179.0,10.49,24.78,458673.77,[]
GRAZZIOTIN,CGRA3,43.49,3.92,32.69,70548.17,[]
GRAZZIOTIN,CGRA4,41.5,3.92,32.69,773097.28,[]
CELESC,CLSC3,67.49,3.32,8.50,36592.5,[]
CELESC,CLSC4,76.59,3.32,8.50,611769.04,[]
CEMIG,CMIG3,17.92,4.85,22.63,5802467.96,[]
CEMIG,CMIG4,13.75,4.85,22.63,106965213.52,[]
CSN MINERAÇÃO S.A.,CMIN3,6.54,2.62,52.40,55949977.08,[]
COELCE,COCE3,60.0,12.04,7.34,6000.0,[]
COELCE,COCE5,57.14,12.04,7.34,908428.56,[]
COGNA ON,COGN3,2.49,-5.21,-47.92,104813651.56,[]
CPFL ENERGIA,CPFE3,27.21,6.74,18.16,159008025.92,[]
COPEL,CPLE11,30.34,3.83,25.34,14472895.24,[]
COPEL,CPLE3,5.75,3.83,25.34,9540422.04,[]
COPEL,CPLE5,30.01,3.83,25.34,12568.67,[]
COPEL,CPLE6,6.24,3.83,25.34,128640310.48,[]
CR2,CRDE3,16.97,-1.51,-815.91,55674.38,[]
ATACADÃO,CRFB3,14.85,7.81,6.55,78554393.68,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,94.69,8.95,23.31,9469.0,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,68.29,8.95,23.31,2585444.8,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,68.5,8.95,23.31,62539.92,[]
COSAN,CSAN3,21.97,8.94,36.76,160627941.28,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,7.2,9.43,16.55,5382680.12,[]
COPASA,CSMG3,13.26,6.77,19.34,31986769.28,[]
CSN,CSNA3,24.41,2.16,44.08,335855932.52,[]
COSERN,CSRN3,16.0,6.64,18.35,27802.0,[]
COSERN,CSRN5,15.83,6.64,18.35,11799.5,[]
COSERN,CSRN6,17.17,6.64,18.35,4162.5,[]
KARSTEN,CTKA3,26.7,12.40,10.45,5890.17,[]
KARSTEN,CTKA4,21.0,12.40,10.45,49290.9,[]
COTEMINAS,CTNM3,9.1,6.32,9.32,3380.0,[]
COTEMINAS,CTNM4,3.64,6.32,9.32,56893.96,[]
SANTANENSE,CTSA3,1.95,7.13,9.45,33122.4,[]
SANTANENSE,CTSA4,1.41,7.13,9.45,34613.88,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,6.65,18.57,22.18,5291448.23,[]
CVC BRASIL,CVCB3,14.58,-7.40,-70.69,161507364.35,[]
CYRELA,CYRE3,15.31,6.89,23.28,115561761.65,[]
DASA,DASA3,35.5,120.17,1.89,7795272.08,[]
DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,16.26,19.10,23.61,8574324.76,[]
DEXXOS PARTICIPACOES S.A.,DEXP3,9.68,3.64,19.32,5890511.27,[]
DEXXOS PARTICIPACOES S.A.,DEXP4,8.12,3.64,19.32,79924.92,[]
DIRECIONAL ENGENHARIA,DIRR3,11.88,6.73,18.05,18197830.73,[]
DOMMO ENERGIA,DMMO3,0.61,1.13,97.40,3294890.81,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,5.05,52.43,0.36,466402.77,[]
DOHLER,DOHL3,17.51,8.58,18.34,4806.5,[]
DOHLER,DOHL4,6.11,8.58,18.34,39188.24,[]
Dotz S.A.,DOTZ3,3.15,-3.02,-39.70,580533.68,[]
DTCOM,DTCY3,7.4,-30.20,-32.68,8532.92,[]
DURATEX,DXCO3,18.37,7.51,24.57,59884058.8,[]
ELECTRO ACO ALTONA,EALT3,11.8,7.43,11.27,7392.69,[]
ELECTRO ACO ALTONA,EALT4,5.99,7.43,11.27,140480.8,[]
ECORODOVIAS,ECOR3,8.58,11.77,26.17,56503073.92,[]
ENCORPAR,ECPR3,79.89,-8.67,-,15978.0,[]
CEEE-GT,EEEL3,375.0,6.81,46.00,36500.0,[]
ENGIE BRASIL,EGIE3,39.38,7.51,45.88,51930958.77,[]
ELEKTRO,EKTR3,36.08,7.84,14.77,3608.0,[]
ELEKTRO,EKTR4,24.8,7.84,14.77,81304.15,[]
ELETROBRAS,ELET3,35.14,9.06,29.60,148887366.2,[]
ELETROBRAS,ELET5,65.0,9.06,29.60,6500.0,[]
ELETROBRAS,ELET6,34.55,9.06,29.60,79582409.4,[]
ELETROMIDIA S.A.,ELMD3,10.07,-45.11,-9.18,2914812.6,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,55.38,7.15,36.82,404114.44,[]
EMBRAER,EMBR3,20.3,24.30,3.92,197898972.72,[]
ENAUTA PARTICIPAÇÕES,ENAT3,14.53,2.05,88.17,20357896.81,[]
EDP Brasil,ENBR3,21.26,5.27,20.89,78087220.04,[]
ENEVA,ENEV3,14.67,17.69,29.46,76782474.92,[]
ENERGISA,ENGI11,45.62,7.67,16.87,101149134.28,[]
ENERGISA,ENGI3,16.48,7.67,16.87,119552.2,[]
ENERGISA,ENGI4,7.25,7.67,16.87,162578.52,[]
ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,ENJU3,3.11,-1.97,-109.53,8305143.65,[]
ENERGISA MATO GROSSO,ENMT3,79.67,12.98,24.08,86083.4,[]
ENERGISA MATO GROSSO,ENMT4,80.3,12.98,24.08,35595.75,[]
EMBPAR PARTICIPACOES S.A.,EPAR3,15.12,3.20,8.30,67788.42,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,5.13,8.76,20.30,29610.5,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA5,6.92,8.76,20.30,27271.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA7,6.84,8.76,20.30,3500.0,[]
EQUATORIAL ENERGIA,EQTL3,23.35,7.04,22.98,170541918.36,[]
MPM CORPÓREOS S.A.,ESPA3,8.6,9.62,35.02,22652828.08,[]
ESTRELA,ESTR3,17.8,8.28,8.51,,[]
ESTRELA,ESTR4,67.18,8.28,8.51,13062.4,[]
ETERNIT,ETER3,17.34,2.09,38.21,24934623.72,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,13.49,3.09,19.51,67783.44,[]
EUCATEX,EUCA4,9.11,3.09,19.51,668132.31,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,6.3,1.65,15.91,14684829.56,[]
EZ TEC,EZTC3,19.75,10.29,31.92,49869294.15,[]
FERBASA,FESA3,50.0,7.26,27.41,23042.0,[]
FERBASA,FESA4,49.4,7.26,27.41,26484628.64,[]
FERTILIZANTES HERINGER,FHER3,21.21,3.05,15.60,47603758.84,['RECUPERAÇÃO JUDICIAL']
UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,6.29,13.62,31.77,4532906.96,[]
FLEURY,FLRY3,18.8,11.29,18.83,40902303.04,[]
FRAS-LE,FRAS3,13.06,9.24,15.03,2338782.64,[]
METALFRIO SOLUTIONS,FRIO3,50.59,10.28,5.71,8887.0,[]
POMIFRUTAS,FRTA3,5.65,-10.10,-45.44,15854.29,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,32.0,3.88,82.27,11833.33,[]
RIO PARANAPANEMA,GEPA4,31.7,3.88,82.27,21542.75,[]
GAFISA,GFSA3,2.18,10.21,12.25,17901549.56,[]
GERDAU,GGBR3,23.3,2.90,27.09,1747948.54,[]
GERDAU,GGBR4,28.95,2.90,27.09,340294706.81,[]
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GGPS3,16.45,19.51,9.11,27673040.36,[]
GRUPO MATEUS S.A.,GMAT3,6.29,16.39,5.78,31359807.52,[]
NOTRE DAME INTERMEDICA,GNDI3,63.4,103.01,3.28,256700241.8,[]
METALURGICA GERDAU,GOAU3,10.6,1.03,27.04,2476392.88,[]
METALURGICA GERDAU,GOAU4,11.88,1.03,27.04,133536880.73,[]
GOL,GOLL4,17.26,-7.26,-37.56,128044403.69,[]
CELGPAR,GPAR3,43.0,11.84,114.03,4300.0,[]
GRENDENE,GRND3,8.68,14.33,18.53,17322789.4,[]
GENERAL SHOPPING,GSHP3,36.7,18.53,73.01,43748.77,[]
GUARARAPES CONFECÇÕES,GUAR3,10.77,13.98,7.26,11261240.68,[]
