Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,12.93,17.29,10.90,10539878.86,[]
AMBEV,ABEV3,15.51,12.33,28.38,389841837.86,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.56,32.82,8.04,25814314.17,[]
AES BRASIL ENERGIA S.A.,AESB3,12.26,78.91,24.35,30500196.62,[]
AFLUENTE,AFLT3,8.65,25.82,56.15,4864.33,[]
BRASILAGRO,AGRO3,32.5,7.92,32.29,25081394.97,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,8.2,-11.02,-12.69,1409033.66,[]
SÃO PAULO TURISMO,AHEB3,25.01,-6.84,-15.75,6376.07,[]
SÃO PAULO TURISMO,AHEB5,18.0,-6.84,-15.75,1800.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,19.46,4.04,8.87,10982539.28,[]
ALPARGATAS,ALPA3,40.93,45.74,14.16,87660.97,[]
ALPARGATAS,ALPA4,48.05,45.74,14.16,136621249.76,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,5.85,-85.59,-4.53,220848.72,[]
ALIANSCSONAE,ALSO3,23.29,26.10,33.73,29534814.0,[]
ALUPAR,ALUP11,25.0,3.29,66.47,21513186.48,[]
ALUPAR,ALUP3,8.19,3.29,66.47,113635.72,[]
ALUPAR,ALUP4,8.4,3.29,66.47,150833.86,[]
LOJAS MARISA,AMAR3,5.45,-21.24,-5.35,29561246.07,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,44.17,31.98,18.23,97092335.93,[]
AMERICANAS S.A,AMER3,34.83,178.10,1.40,222584147.62,[]
ANIMA,ANIM3,9.5,38.09,12.33,25758090.31,[]
ALPER,APER3,40.5,-528.35,-0.74,4449306.83,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,23.31,138.34,37.45,12394632.93,[]
AREZZO&CO,ARZZ3,85.9,26.45,20.33,63420578.72,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,17.92,12.79,6.66,244619744.55,[]
ATMA SA,ATMP3,5.28,-4.55,-8.76,169285.97,[]
ATOM EMPREENDIMENTOS,ATOM3,4.73,7.58,31.96,135057.45,[]
ALPHAVILLE S.A.,AVLL3,31.5,-6.15,-64.55,165494.59,[]
AZEVEDO E TRAVASSOS,AZEV3,5.26,1.46,1110.11,1075133.76,[]
AZEVEDO E TRAVASSOS,AZEV4,3.98,1.46,1110.11,3739034.72,[]
AZUL,AZUL4,34.97,-14.94,-19.48,163152745.97,[]
BAHEMA,BAHI3,15.95,-22.73,-4.96,48686.0,[]
BAUMER,BALM3,17.78,11.56,8.25,10677.7,[]
BAUMER,BALM4,14.6,11.56,8.25,31499.11,[]
EXCELSIOR ALIMENTOS,BAUH4,88.34,21.14,11.24,31217.43,[]
BRASIL BROKERS,BBRK3,1.77,-1.04,-91.37,3428685.24,[]
BARDELLA,BDLL3,10.75,-5.63,-227.65,15669.92,[]
BARDELLA,BDLL4,11.29,-5.63,-227.65,8751.75,[]
MINERVA,BEEF3,11.04,6.15,8.07,106556775.55,[]
BIOMM,BIOM3,15.19,-19.34,-67.85,185978.07,[]
BK BRASIL,BKBR3,7.49,-6.74,-14.55,24961975.76,[]
BLAU FARMACÊUTICA S.A.,BLAU3,39.75,13.71,36.11,17846721.48,[]
BICICLETAS MONARK,BMKS3,231.0,-35.62,3.85,176164.52,[]
BEMOBI MOBILE TECH S.A.,BMOB3,15.37,8.24,35.92,15440023.66,[]
BOMBRIL,BOBR4,1.94,3.24,14.71,90233.86,[]
BRADESPAR,BRAP3,49.84,3.92,-,15831667.07,[]
BRADESPAR,BRAP4,53.96,3.92,-,195711254.83,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.07,6.72,5.33,297940482.0,[]
BRF,BRFS3,26.43,12.62,6.67,162178150.9,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,9.67,139.28,13.49,5791327.21,[]
BRASKEM,BRKM3,56.01,4.04,19.50,677087.79,[]
BRASKEM,BRKM5,58.71,4.04,19.50,229815559.14,[]
BRASKEM,BRKM6,36.98,4.04,19.50,6142.2,[]
BR MALLS,BRML3,8.6,25.30,42.02,126288195.55,[]
BR PROPERTIES,BRPR3,8.28,14.69,123.18,28658563.93,[]
CAMBUCI,CAMB3,4.59,8.46,17.13,272546.69,[]
CAMIL,CAML3,10.05,8.15,7.62,15234075.9,[]
MÉLIUZ S.A.,CASH3,5.43,639.47,3.72,326480374.69,[]
CASAN,CASN3,15.01,42.61,21.44,,[]
Companhia Brasileira de Alumínio,CBAV3,15.0,22.66,16.21,37587957.03,[]
AMPLA ENERGIA E SERVICOS,CBEE3,23.48,104.40,1.16,39175.08,[]
CCR,CCRO3,12.59,12.62,27.20,165596396.93,[]
CEA MODAS,CEAB3,7.43,58.97,0.98,17811795.45,[]
CEB,CEBR3,192.01,0.69,-212.61,314799.55,[]
CEB,CEBR5,180.0,0.69,-212.61,297957.5,[]
CEB,CEBR6,184.52,0.69,-212.61,710283.13,[]
CEDRO TÊXTIL,CEDO3,7.25,6.50,5.01,9133.88,[]
CEDRO TÊXTIL,CEDO4,5.99,6.50,5.01,27288.75,[]
COELBA,CEEB3,33.89,8.72,17.69,90164.63,[]
COELBA,CEEB5,39.0,8.72,17.69,7800.0,[]
CEEE-D,CEED3,45.0,-13.58,-7.60,4510.17,[]
CEEE-D,CEED4,55.8,-13.58,-7.60,5580.0,[]
CEG,CEGR3,60.05,25.80,18.29,9621.0,[]
CELPE,CEPE5,28.34,15.82,10.98,7051.0,[]
CELPE,CEPE6,28.05,15.82,10.98,2924.33,[]
CESP,CESP3,23.48,11.82,38.28,324126.17,[]
CESP,CESP5,30.5,11.82,38.28,4644.67,[]
CESP,CESP6,24.6,11.82,38.28,60579987.38,[]
COMGAS,CGAS3,145.23,10.04,24.74,21684.0,[]
COMGAS,CGAS5,151.01,10.04,24.74,341705.32,[]
GRAZZIOTIN,CGRA3,46.54,5.86,25.34,75696.79,[]
GRAZZIOTIN,CGRA4,46.81,5.86,25.34,556144.62,[]
CELESC,CLSC3,67.5,4.39,8.14,25855.38,[]
CELESC,CLSC4,69.45,4.39,8.14,207620.03,[]
CEMIG,CMIG3,18.38,5.28,23.59,8995853.79,[]
CEMIG,CMIG4,15.0,5.28,23.59,144000857.55,[]
CSN MINERAÇÃO S.A.,CMIN3,6.2,2.32,55.35,64673677.79,[]
COELCE,COCE3,65.9,11.77,8.52,6590.0,[]
COELCE,COCE5,59.79,11.77,8.52,1164022.79,[]
COGNA ON,COGN3,3.15,-4.20,-63.84,115031002.14,[]
CPFL ENERGIA,CPFE3,26.65,7.17,18.25,55334425.1,[]
COPEL,CPLE11,31.64,6.10,20.66,21773282.76,[]
COPEL,CPLE3,5.71,6.10,20.66,20739047.62,[]
COPEL,CPLE5,49.9,6.10,20.66,18616.0,[]
COPEL,CPLE6,6.55,6.10,20.66,119575545.55,[]
CR2,CRDE3,20.92,-2.09,-828.63,14193.56,[]
ATACADÃO,CRFB3,18.31,9.02,6.48,90361631.93,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,110.5,10.27,25.90,22099.0,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,99.0,10.27,25.90,2906888.03,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,98.5,10.27,25.90,84406.52,[]
COSAN,CSAN3,23.52,16.71,23.49,202832079.55,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,7.86,10.86,15.88,5037342.97,[]
COPASA,CSMG3,14.24,5.63,25.20,28342872.62,[]
CSN,CSNA3,27.47,2.45,42.24,402481480.79,[]
COSERN,CSRN3,17.24,7.71,17.98,15063.11,[]
COSERN,CSRN5,16.02,7.71,17.98,7011.4,[]
COSERN,CSRN6,17.26,7.71,17.98,5934.33,[]
KARSTEN,CTKA3,27.1,6.24,21.80,20897.91,[]
KARSTEN,CTKA4,21.5,6.24,21.80,85830.74,[]
COTEMINAS,CTNM3,9.9,7.02,8.92,3771.6,[]
COTEMINAS,CTNM4,4.76,7.02,8.92,113526.03,[]
SANTANENSE,CTSA3,2.3,9.32,8.46,45219.59,[]
SANTANENSE,CTSA4,1.81,9.32,8.46,83189.69,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,7.72,25.13,25.40,8519813.14,[]
CVC BRASIL,CVCB3,20.13,-8.01,-124.74,169717192.0,[]
CYRELA,CYRE3,18.19,3.34,58.05,143601235.07,[]
DASA,DASA3,42.19,255.50,1.04,8724173.66,[]
DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,23.99,112.84,19.15,9717986.07,[]
DEXXOS PARTICIPACOES S.A.,DEXP3,11.36,5.05,17.98,6926511.59,[]
DEXXOS PARTICIPACOES S.A.,DEXP4,9.43,5.05,17.98,145536.86,[]
DIRECIONAL ENGENHARIA,DIRR3,12.64,7.80,17.06,17526569.9,[]
DOMMO ENERGIA,DMMO3,0.74,0.54,182.55,2743278.48,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,6.36,27.78,0.90,655902.07,[]
DOHLER,DOHL3,23.49,12.13,17.98,7047.0,[]
DOHLER,DOHL4,6.37,12.13,17.98,55059.03,[]
Dotz S.A.,DOTZ3,6.19,-15.33,-29.60,894641.14,[]
DTCOM,DTCY3,8.3,-30.69,-36.97,19430.18,[]
DURATEX,DXCO3,18.55,8.42,23.40,63334259.59,[]
ELECTRO ACO ALTONA,EALT3,13.0,8.98,11.04,7265.16,[]
ELECTRO ACO ALTONA,EALT4,6.3,8.98,11.04,229503.86,[]
ECORODOVIAS,ECOR3,9.87,12.43,24.46,57657285.83,[]
ENCORPAR,ECPR3,79.89,-8.27,-,15978.0,[]
CEEE-GT,EEEL3,335.0,4.94,50.16,49916.67,[]
ENGIE BRASIL,EGIE3,38.52,7.56,44.26,58755591.07,[]
