Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,11.8,16.09,10.90,11018767.46,[]
AMBEV,ABEV3,15.18,12.05,28.38,392586755.13,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.0,30.90,8.04,28031679.29,[]
AES BRASIL ENERGIA S.A.,AESB3,12.25,78.84,24.35,30532181.21,[]
AFLUENTE,AFLT3,8.97,26.79,56.15,4776.38,[]
BRASILAGRO,AGRO3,30.86,7.52,32.29,23354873.54,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,8.32,-11.13,-12.69,1598288.75,[]
SÃO PAULO TURISMO,AHEB3,25.01,-6.84,-15.75,6912.25,[]
SÃO PAULO TURISMO,AHEB5,18.0,-6.84,-15.75,1800.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,19.77,4.09,8.87,11743078.33,[]
ALPARGATAS,ALPA3,40.6,45.89,14.16,90028.67,[]
ALPARGATAS,ALPA4,48.69,45.89,14.16,134953028.21,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,5.8,-85.27,-4.53,236948.79,[]
ALIANSCSONAE,ALSO3,21.74,24.59,33.73,28208431.04,[]
ALUPAR,ALUP11,23.65,3.21,66.47,21659121.21,[]
ALUPAR,ALUP3,7.82,3.21,66.47,108495.54,[]
ALUPAR,ALUP4,7.87,3.21,66.47,161425.96,[]
LOJAS MARISA,AMAR3,5.25,-20.81,-5.35,30532317.17,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,42.65,31.05,18.23,90903557.58,[]
AMERICANAS S.A,AMER3,30.49,157.04,1.40,214302998.0,[]
ANIMA,ANIM3,8.74,36.65,12.33,25170121.75,[]
ALPER,APER3,39.51,-515.43,-0.74,5086669.04,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,20.1,120.38,37.45,12586128.29,[]
AREZZO&CO,ARZZ3,78.98,24.35,20.33,61064248.25,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,19.22,13.56,6.66,239591372.71,[]
ATMA SA,ATMP3,4.85,-4.42,-8.76,173293.96,[]
ATOM EMPREENDIMENTOS,ATOM3,4.58,7.30,31.96,147727.21,[]
ALPHAVILLE S.A.,AVLL3,31.4,-6.14,-64.55,161705.13,[]
AZEVEDO E TRAVASSOS,AZEV3,4.74,1.45,1110.11,1176026.58,[]
AZEVEDO E TRAVASSOS,AZEV4,4.2,1.45,1110.11,3660423.75,[]
AZUL,AZUL4,36.25,-15.31,-19.48,168830252.83,[]
BAHEMA,BAHI3,15.5,-22.13,-4.96,54249.17,[]
BAUMER,BALM3,16.72,11.29,8.25,11666.56,[]
BAUMER,BALM4,14.98,11.29,8.25,33296.27,[]
EXCELSIOR ALIMENTOS,BAUH4,88.48,21.17,11.24,33506.33,[]
BRASIL BROKERS,BBRK3,1.56,-0.89,-91.37,2827469.13,[]
BARDELLA,BDLL3,10.3,-5.63,-227.65,18089.09,[]
BARDELLA,BDLL4,11.45,-5.63,-227.65,9557.47,[]
MINERVA,BEEF3,10.83,6.08,8.07,108664759.21,[]
BIOMM,BIOM3,15.9,-20.16,-67.85,208046.33,[]
BK BRASIL,BKBR3,7.91,-7.07,-14.55,26220017.5,[]
BLAU FARMACÊUTICA S.A.,BLAU3,42.7,14.81,36.11,15325172.96,[]
BICICLETAS MONARK,BMKS3,230.0,-36.12,3.85,87398.44,[]
BEMOBI MOBILE TECH S.A.,BMOB3,16.0,8.93,35.92,15228108.33,[]
BOMBRIL,BOBR4,1.94,3.24,14.71,87862.67,[]
