Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,14.3,16.13,12.33,18280203.51,[]
AMBEV,ABEV3,15.55,11.81,27.80,411950161.54,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,6.39,29.05,7.06,14441428.35,[]
AES BRASIL ENERGIA S.A.,AESB3,10.86,102.56,8.41,13412574.92,[]
AFLUENTE,AFLT3,8.66,25.39,53.41,7555.47,[]
BRASILAGRO,AGRO3,27.55,12.08,23.03,20653484.19,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,10.2,-31.88,-2.02,372565.32,[]
SÃO PAULO TURISMO,AHEB3,27.5,-6.22,-19.49,11138.67,[]
SÃO PAULO TURISMO,AHEB5,24.97,-6.22,-19.49,3539.4,[]
ALLIED TECNOLOGIA S.A.,ALLD3,14.5,2.69,8.39,4549596.81,[]
ALPARGATAS,ALPA3,31.47,31.28,15.21,78934.05,[]
ALPARGATAS,ALPA4,36.54,31.28,15.21,102074142.65,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.07,-278.06,-1.08,113427.38,[]
ALIANSCSONAE,ALSO3,20.45,19.39,37.03,31829160.32,[]
ALUPAR,ALUP11,23.97,3.19,72.21,24914623.0,[]
ALUPAR,ALUP3,7.85,3.19,72.21,100705.11,[]
ALUPAR,ALUP4,7.93,3.19,72.21,114647.92,[]
LOJAS MARISA,AMAR3,3.64,-142.84,-0.62,36305904.32,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,40.8,23.69,17.76,48623095.59,[]
AMERICANAS S.A,AMER3,30.73,72.62,2.55,229016997.22,[]
ANIMA,ANIM3,8.22,24.32,14.45,29346564.7,[]
ALPER,APER3,32.41,-127.73,-1.65,1776086.35,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,25.96,103.36,33.81,18398890.92,[]
AREZZO&CO,ARZZ3,74.17,20.31,19.09,79912907.22,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,14.09,10.42,7.64,132589183.59,[]
ATMA SA,ATMP3,2.95,-3.95,-8.65,145833.41,[]
ATOM EMPREENDIMENTOS,ATOM3,2.72,6.26,21.77,91070.43,[]
ALPHAVILLE S.A.,AVLL3,29.7,-5.86,-84.72,741574.51,[]
AZEVEDO E TRAVASSOS,AZEV3,5.2,1.69,360.13,412535.7,[]
AZEVEDO E TRAVASSOS,AZEV4,4.43,1.69,360.13,1659419.46,[]
AZUL,AZUL4,26.46,-18.49,-10.79,245905611.03,[]
BAHEMA,BAHI3,15.2,-20.85,-4.66,43335.7,[]
BAUMER,BALM3,15.7,9.69,8.76,5579.08,[]
BAUMER,BALM4,12.54,9.69,8.76,7496.11,[]
EXCELSIOR ALIMENTOS,BAUH4,82.91,25.27,9.20,38114.95,[]
BRASIL BROKERS,BBRK3,1.05,-0.56,-81.05,2275723.76,[]
BARDELLA,BDLL3,11.8,-6.23,-385.42,37666.13,[]
BARDELLA,BDLL4,11.0,-6.23,-385.42,9263.21,[]
MINERVA,BEEF3,10.53,6.29,7.71,73436467.49,[]
BIOMM,BIOM3,13.2,-16.48,-59.30,176990.65,[]
BK BRASIL,BKBR3,5.9,-7.23,-10.43,23918392.95,[]
BLAU FARMACÊUTICA S.A.,BLAU3,35.24,12.17,35.33,15232378.38,[]
BICICLETAS MONARK,BMKS3,228.99,-35.55,4.64,11740.83,[]
BEMOBI MOBILE TECH S.A.,BMOB3,13.81,8.45,31.51,14452961.08,[]
BOMBRIL,BOBR4,1.66,3.28,13.51,79079.22,[]
BRADESPAR,BRAP3,21.83,1.23,-,11806808.24,[]
BRADESPAR,BRAP4,24.01,1.23,-,249880301.11,[]
BRF,BRFS3,22.62,12.18,6.29,154643412.49,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,4.86,21.55,13.83,3650462.49,[]
BRASKEM,BRKM3,54.7,2.71,24.39,3504457.57,[]
BRASKEM,BRKM5,57.24,2.71,24.39,215936016.51,[]
BRASKEM,BRKM6,33.39,2.71,24.39,3416.0,[]
BR MALLS,BRML3,7.73,21.63,41.45,153498304.11,[]
BR PROPERTIES,BRPR3,7.12,13.12,120.84,15224670.89,[]
CAMBUCI,CAMB3,4.81,9.03,14.91,138354.03,[]
CAMIL,CAML3,10.09,8.40,7.15,16593109.51,[]
MÉLIUZ S.A.,CASH3,3.1,-211.51,-4.36,186727906.62,[]
CASAN,CASN3,15.01,44.51,21.71,,[]
Companhia Brasileira de Alumínio,CBAV3,12.4,12.36,9.82,30308729.65,[]
AMPLA ENERGIA E SERVICOS,CBEE3,23.01,-162.84,-0.70,6494.47,[]
CCR,CCRO3,11.92,11.67,28.64,167485540.32,[]
CEA MODAS,CEAB3,5.95,49.33,0.90,23274287.65,[]
