Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,19.41,33.42,7.76,9244681.17,[]
AMBEV,ABEV3,14.52,12.57,23.29,384395541.27,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,4.88,20.71,8.36,11984050.98,[]
AES BRASIL ENERGIA S.A.,AESB3,11.05,96.69,8.41,18502355.66,[]
AFLUENTE,AFLT3,9.48,5.46,84.24,8376.91,[]
BRASILAGRO,AGRO3,33.99,6.40,38.75,33272312.27,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,9.8,-29.49,-2.02,1141194.41,[]
SÃO PAULO TURISMO,AHEB3,27.5,-4.96,-24.82,4125.0,[]
SÃO PAULO TURISMO,AHEB5,22.0,-4.96,-24.82,2348.5,[]
SÃO PAULO TURISMO,AHEB6,41.2,-4.96,-24.82,4120.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,14.02,2.38,7.10,2019796.8,[]
ALPARGATAS,ALPA3,19.5,20.80,15.68,104499.88,[]
ALPARGATAS,ALPA4,19.6,20.80,15.68,86381024.46,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,3.9,-65.00,-3.88,180776.2,[]
ALIANSCSONAE,ALSO3,21.1,8.90,52.26,26000760.32,[]
ALUPAR,ALUP11,26.28,4.20,72.22,28546911.29,[]
ALUPAR,ALUP3,8.66,4.20,72.22,97813.68,[]
ALUPAR,ALUP4,8.88,4.20,72.22,121473.73,[]
LOJAS MARISA,AMAR3,2.33,416.37,0.19,17324686.29,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,35.14,17.77,17.15,26833735.8,[]
AMERICANAS S.A,AMER3,24.0,35.95,3.33,211095987.12,[]
ANIMA,ANIM3,5.55,24.13,10.61,19256024.2,[]
ALPER,APER3,33.75,40.82,5.06,1187098.44,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,14.82,41.46,33.21,11022106.37,[]
AREZZO&CO,ARZZ3,89.47,21.55,16.02,92514462.17,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,15.28,10.11,6.16,127658492.46,[]
ATMA SA,ATMP3,2.01,-3.20,-10.74,43019.37,[]
ATOM EMPREENDIMENTOS,ATOM3,2.97,9.37,20.03,109485.46,[]
ALPHAVILLE S.A.,AVLL3,27.0,-5.53,-112.46,162745.06,[]
AZEVEDO E TRAVASSOS,AZEV3,3.84,0.82,290.91,123977.07,[]
AZEVEDO E TRAVASSOS,AZEV4,3.12,0.82,290.91,976692.22,[]
AZUL,AZUL4,21.97,537.22,0.55,221432785.76,[]
B3,B3SA3,13.3,12.05,61.44,604300126.61,[]
BAHEMA,BAHI3,14.98,-26.25,-5.81,126209.48,[]
BAUMER,BALM3,15.0,9.67,8.87,2386.0,[]
