Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,12.0,79.35,2.55,20342692.43,[]
AMBEV,ABEV3,17.43,15.40,27.05,579087275.74,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,10.17,37.34,8.71,47045138.04,[]
AES BRASIL ENERGIA S.A.,AESB3,13.89,-,-,11646432.35,[]
AFLUENTE,AFLT3,10.3,31.35,54.72,29889.61,[]
BRASILAGRO,AGRO3,30.01,5.42,39.31,25303343.61,[]
SÃO PAULO TURISMO,AHEB3,26.01,-6.55,-17.42,16838.4,[]
SÃO PAULO TURISMO,AHEB5,21.51,-6.55,-17.42,2151.0,[]
SÃO PAULO TURISMO,AHEB6,51.5,-6.55,-17.42,6742.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,35.63,36.42,4.78,16508594.35,[]
ALPARGATAS,ALPA3,44.49,59.87,13.11,166485.74,[]
ALPARGATAS,ALPA4,51.99,59.87,13.11,76379526.04,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.29,-107.82,-4.96,266918.61,[]
ALIANSCSONAE,ALSO3,28.5,35.25,30.24,51831125.78,[]
ALUPAR,ALUP11,26.5,3.94,58.47,21286904.09,[]
ALUPAR,ALUP3,8.82,3.94,58.47,209799.04,[]
ALUPAR,ALUP4,8.85,3.94,58.47,257683.83,[]
LOJAS MARISA,AMAR3,8.6,-14.36,-12.13,108299067.87,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,45.66,33.13,18.24,29591725.48,[]
ANIMA,ANIM3,14.32,30.92,12.99,35925396.04,[]
ALPER,APER3,47.2,-173.40,-2.85,7309124.17,[]
AREZZO&CO,ARZZ3,95.55,107.78,5.20,54126343.39,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,85.66,13.37,5.34,135140886.43,[]
ATMA SA,ATMP3,7.72,-4.69,-10.47,1195081.48,[]
ATOM EMPREENDIMENTOS,ATOM3,7.64,11.29,35.35,873163.65,[]
ALPHAVILLE S.A.,AVLL3,26.1,-4.75,-102.43,355766.74,[]
AZEVEDO E TRAVASSOS,AZEV3,7.18,0.89,8092.30,2263321.35,[]
AZEVEDO E TRAVASSOS,AZEV4,6.77,0.89,8092.30,9943095.78,[]
AZUL,AZUL4,44.61,-34.27,-37.84,248248945.61,[]
B3,B3SA3,16.49,15.33,61.43,940631912.52,[]
BAHEMA,BAHI3,83.2,-13.25,-4.94,105781.1,[]
BAUMER,BALM3,19.21,8.83,11.93,23435.95,[]
BAUMER,BALM4,19.67,8.83,11.93,150167.27,[]
EXCELSIOR ALIMENTOS,BAUH4,85.04,19.80,11.40,40957.58,[]
BRASIL BROKERS,BBRK3,2.44,-1.30,-118.42,20989252.7,[]
BARDELLA,BDLL3,12.3,-4.46,-353.49,86731.61,[]
BARDELLA,BDLL4,13.05,-4.46,-353.49,200138.78,[]
MINERVA,BEEF3,9.39,5.59,8.97,66233865.48,[]
BIOMM,BIOM3,16.35,-20.64,-92.41,148330.0,[]
BK BRASIL,BKBR3,11.86,-7.86,-20.55,26672718.48,[]
BLAU FARMACÊUTICA S.A.,BLAU3,49.42,49.27,35.08,12701690.61,[]
BICICLETAS MONARK,BMKS3,238.87,-19.10,8.31,116530.85,[]
BEMOBI MOBILE TECH S.A.,BMOB3,24.65,13.39,38.34,21213374.65,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,11.45,80.63,11.91,8475055.57,[]
BOMBRIL,BOBR4,2.63,8.40,6.49,1710160.04,[]
BRADESPAR,BRAP3,64.71,7.59,-,1630201.7,[]
BRADESPAR,BRAP4,74.84,7.59,-,171673791.43,[]
