Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,12.78,17.03,10.90,10764942.85,[]
AMBEV,ABEV3,15.36,12.20,28.38,394298696.56,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.15,31.42,8.04,26597771.19,[]
AES BRASIL ENERGIA S.A.,AESB3,12.28,78.95,24.35,30334195.11,[]
AFLUENTE,AFLT3,8.65,25.82,56.15,4812.48,[]
BRASILAGRO,AGRO3,32.51,7.95,32.29,24762999.89,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,7.8,-10.68,-12.69,1477511.78,[]
SÃO PAULO TURISMO,AHEB3,25.01,-6.84,-15.75,6652.86,[]
SÃO PAULO TURISMO,AHEB5,18.0,-6.84,-15.75,1800.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,19.5,4.05,8.87,11288539.15,[]
ALPARGATAS,ALPA3,40.0,44.85,14.16,89163.63,[]
ALPARGATAS,ALPA4,47.29,44.85,14.16,137103726.74,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,6.15,-87.54,-4.53,228555.26,[]
ALIANSCSONAE,ALSO3,22.91,25.73,33.73,30224202.3,[]
ALUPAR,ALUP11,24.4,3.25,66.47,21681300.44,[]
ALUPAR,ALUP3,8.11,3.25,66.47,109927.0,[]
ALUPAR,ALUP4,8.19,3.25,66.47,155879.22,[]
LOJAS MARISA,AMAR3,5.4,-21.13,-5.35,30261365.33,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,45.98,33.08,18.23,94948648.19,[]
AMERICANAS S.A,AMER3,33.74,172.81,1.40,224606084.59,[]
ANIMA,ANIM3,9.3,37.72,12.33,26532038.52,[]
ALPER,APER3,40.23,-524.82,-0.74,4692463.3,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,22.25,132.41,37.45,12189500.89,[]
AREZZO&CO,ARZZ3,84.1,25.90,20.33,64993669.96,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,18.3,13.02,6.66,235445280.0,[]
ATMA SA,ATMP3,5.0,-4.46,-8.76,171803.15,[]
ATOM EMPREENDIMENTOS,ATOM3,4.65,7.43,31.96,139653.52,[]
ALPHAVILLE S.A.,AVLL3,31.89,-6.19,-64.55,161350.37,[]
AZEVEDO E TRAVASSOS,AZEV3,4.72,1.40,1110.11,1110416.22,[]
AZEVEDO E TRAVASSOS,AZEV4,3.99,1.40,1110.11,3712115.85,[]
AZUL,AZUL4,35.86,-15.20,-19.48,164979069.93,[]
BAHEMA,BAHI3,15.9,-22.67,-4.96,51049.96,[]
BAUMER,BALM3,17.78,11.88,8.25,10677.7,[]
BAUMER,BALM4,15.39,11.88,8.25,31188.12,[]
EXCELSIOR ALIMENTOS,BAUH4,88.34,21.14,11.24,31217.43,[]
BRASIL BROKERS,BBRK3,1.84,-1.08,-91.37,3439834.26,[]
BARDELLA,BDLL3,11.0,-5.63,-227.65,16169.4,[]
BARDELLA,BDLL4,11.18,-5.63,-227.65,9188.5,[]
MINERVA,BEEF3,11.05,6.15,8.07,107928014.85,[]
BIOMM,BIOM3,15.0,-19.12,-67.85,196930.56,[]
BK BRASIL,BKBR3,7.54,-6.78,-14.55,25399525.37,[]
BLAU FARMACÊUTICA S.A.,BLAU3,40.95,14.16,36.11,16523800.15,[]
BICICLETAS MONARK,BMKS3,235.0,-33.60,3.85,143303.37,[]
BEMOBI MOBILE TECH S.A.,BMOB3,15.68,8.58,35.92,15190730.19,[]
BOMBRIL,BOBR4,1.92,3.22,14.71,88708.59,[]
BRADESPAR,BRAP3,48.6,3.86,-,16587061.81,[]
BRADESPAR,BRAP4,53.32,3.86,-,193774896.0,[]
PETROBRAS DISTRIBUIDORA,BRDT3,24.71,6.64,5.33,288388754.0,[]
BRF,BRFS3,26.33,12.59,6.67,161806886.0,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,9.81,140.99,13.49,6027901.0,[]
