Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,12.85,14.93,12.33,13590427.96,[]
AMBEV,ABEV3,14.53,10.98,27.80,317801466.36,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,5.92,27.12,7.06,16701324.88,[]
AES BRASIL ENERGIA S.A.,AESB3,10.31,99.92,8.41,13424741.24,[]
AFLUENTE,AFLT3,8.38,24.54,53.41,4136.41,[]
BRASILAGRO,AGRO3,28.06,12.32,23.03,17975524.04,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,10.4,-32.32,-2.02,718786.36,[]
SÃO PAULO TURISMO,AHEB3,27.5,-6.22,-19.49,11149.63,[]
SÃO PAULO TURISMO,AHEB5,22.0,-6.22,-19.49,2348.5,[]
ALLIED TECNOLOGIA S.A.,ALLD3,15.12,2.81,8.39,3002182.64,[]
ALPARGATAS,ALPA3,28.97,28.12,15.21,92178.2,[]
ALPARGATAS,ALPA4,32.35,28.12,15.21,81745057.72,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.0,-276.25,-1.08,82059.76,[]
ALIANSCSONAE,ALSO3,18.64,17.91,37.03,29984858.88,[]
ALUPAR,ALUP11,23.59,3.16,72.21,23780497.8,[]
ALUPAR,ALUP3,7.9,3.16,72.21,104222.12,[]
ALUPAR,ALUP4,7.9,3.16,72.21,130956.92,[]
LOJAS MARISA,AMAR3,3.06,-132.86,-0.62,30246680.68,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,35.12,21.21,17.76,33730800.36,[]
AMERICANAS S.A,AMER3,27.7,66.34,2.55,197951822.32,[]
ANIMA,ANIM3,7.1,22.89,14.45,22956494.24,[]
ALPER,APER3,28.93,-108.78,-1.65,1966006.64,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,20.4,80.79,33.81,20437624.52,[]
AREZZO&CO,ARZZ3,67.41,18.52,19.09,68080382.72,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,11.36,8.84,7.64,137245576.12,[]
ATMA SA,ATMP3,2.5,-3.82,-8.65,83499.04,[]
ATOM EMPREENDIMENTOS,ATOM3,3.3,8.10,21.77,175267.52,[]
ALPHAVILLE S.A.,AVLL3,28.69,-5.76,-84.72,166491.17,[]
AZEVEDO E TRAVASSOS,AZEV3,4.06,1.22,360.13,333287.08,[]
AZEVEDO E TRAVASSOS,AZEV4,3.48,1.22,360.13,1946298.64,[]
AZUL,AZUL4,23.9,-17.46,-10.79,204172785.36,[]
BAHEMA,BAHI3,14.49,-21.06,-4.66,56193.71,[]
BAUMER,BALM3,15.5,9.59,8.76,4281.45,[]
BAUMER,BALM4,12.48,9.59,8.76,7302.5,[]
EXCELSIOR ALIMENTOS,BAUH4,83.9,25.58,9.20,66779.83,[]
BRASIL BROKERS,BBRK3,0.98,-0.51,-81.05,1334382.16,[]
BARDELLA,BDLL3,12.0,-6.22,-385.42,6355.0,[]
BARDELLA,BDLL4,10.6,-6.22,-385.42,7509.46,[]
MINERVA,BEEF3,9.92,6.10,7.71,67992147.72,[]
BIOMM,BIOM3,13.44,-16.75,-59.30,217744.44,[]
BK BRASIL,BKBR3,5.41,-6.74,-10.43,13647888.68,[]
BLAU FARMACÊUTICA S.A.,BLAU3,31.3,10.69,35.33,15472317.84,[]
BICICLETAS MONARK,BMKS3,236.83,-31.61,4.64,19586.18,[]
BEMOBI MOBILE TECH S.A.,BMOB3,12.46,6.79,31.51,13841151.68,[]
