Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,15.64,17.24,12.33,12482650.28,[]
AMBEV,ABEV3,15.4,11.69,27.80,333575885.21,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,6.1,27.86,7.06,14223947.15,[]
AES BRASIL ENERGIA S.A.,AESB3,11.5,105.62,8.41,12479977.44,[]
AFLUENTE,AFLT3,9.15,26.88,53.41,5668.33,[]
BRASILAGRO,AGRO3,26.41,12.56,21.57,15826922.74,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,10.39,-32.30,-2.02,873437.92,[]
SÃO PAULO TURISMO,AHEB3,27.5,-6.22,-19.49,11149.63,[]
SÃO PAULO TURISMO,AHEB5,22.0,-6.22,-19.49,2348.5,[]
ALLIED TECNOLOGIA S.A.,ALLD3,15.55,2.89,8.39,2689138.28,[]
ALPARGATAS,ALPA3,26.16,25.75,15.21,93536.38,[]
ALPARGATAS,ALPA4,30.21,25.75,15.21,94724602.72,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.3,-283.98,-1.08,72283.41,[]
ALIANSCSONAE,ALSO3,22.2,20.82,37.03,34341855.67,[]
ALUPAR,ALUP11,24.84,3.24,72.21,21662587.33,[]
ALUPAR,ALUP3,8.12,3.24,72.21,95938.21,[]
ALUPAR,ALUP4,8.29,3.24,72.21,116618.62,[]
LOJAS MARISA,AMAR3,3.45,-139.57,-0.62,27171460.05,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,38.55,22.71,17.76,31465896.03,[]
AMERICANAS S.A,AMER3,33.47,78.39,2.55,234361769.28,[]
ANIMA,ANIM3,8.35,24.48,14.45,22626975.23,[]
ALPER,APER3,32.15,-126.32,-1.65,1793350.74,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,20.92,82.90,33.81,16088033.79,[]
AREZZO&CO,ARZZ3,79.67,21.77,19.09,72832578.1,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,12.55,9.52,7.64,132232042.82,[]
ATMA SA,ATMP3,2.99,-3.96,-8.65,156975.77,[]
ATOM EMPREENDIMENTOS,ATOM3,3.18,7.72,21.77,182198.9,[]
ALPHAVILLE S.A.,AVLL3,29.8,-5.87,-84.72,147041.89,[]
AZEVEDO E TRAVASSOS,AZEV3,3.99,1.16,360.13,292571.72,[]
AZEVEDO E TRAVASSOS,AZEV4,3.35,1.16,360.13,1912436.95,[]
AZUL,AZUL4,27.59,-18.94,-10.79,202858732.77,[]
BAHEMA,BAHI3,13.85,-20.15,-4.66,55366.76,[]
BAUMER,BALM3,15.4,9.17,8.76,4415.92,[]
BAUMER,BALM4,11.5,9.17,8.76,6800.66,[]
EXCELSIOR ALIMENTOS,BAUH4,82.9,25.27,9.20,67098.4,[]
