Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,14.48,16.28,12.33,13192692.5,[]
AMBEV,ABEV3,14.88,11.26,27.80,319936480.29,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,6.0,27.45,7.06,16422466.5,[]
AES BRASIL ENERGIA S.A.,AESB3,11.03,103.37,8.41,13295417.79,[]
AFLUENTE,AFLT3,8.35,24.45,53.41,4138.56,[]
BRASILAGRO,AGRO3,27.86,12.23,23.03,17242056.25,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,10.22,-31.93,-2.02,768612.71,[]
SÃO PAULO TURISMO,AHEB3,27.5,-6.22,-19.49,11149.63,[]
SÃO PAULO TURISMO,AHEB5,22.0,-6.22,-19.49,2348.5,[]
ALLIED TECNOLOGIA S.A.,ALLD3,16.2,3.02,8.39,2897718.96,[]
ALPARGATAS,ALPA3,28.75,28.52,15.21,86121.54,[]
ALPARGATAS,ALPA4,33.45,28.52,15.21,79974673.29,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.2,-281.41,-1.08,76894.68,[]
ALIANSCSONAE,ALSO3,19.36,18.50,37.03,29291654.39,[]
ALUPAR,ALUP11,23.66,3.17,72.21,23176372.25,[]
ALUPAR,ALUP3,7.86,3.17,72.21,99206.57,[]
ALUPAR,ALUP4,7.93,3.17,72.21,125126.68,[]
LOJAS MARISA,AMAR3,3.22,-135.61,-0.62,28859162.57,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,37.37,22.19,17.76,33938426.11,[]
AMERICANAS S.A,AMER3,29.48,70.06,2.55,207804420.54,[]
ANIMA,ANIM3,6.97,22.72,14.45,22545041.82,[]
ALPER,APER3,29.08,-109.60,-1.65,1886083.89,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,21.71,86.11,33.81,19349909.29,[]
AREZZO&CO,ARZZ3,68.66,18.86,19.09,67972469.46,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,11.8,9.09,7.64,131778082.5,[]
ATMA SA,ATMP3,3.2,-4.02,-8.65,141692.07,[]
ATOM EMPREENDIMENTOS,ATOM3,3.02,7.21,21.77,185021.43,[]
ALPHAVILLE S.A.,AVLL3,28.7,-5.77,-84.72,154880.92,[]
AZEVEDO E TRAVASSOS,AZEV3,4.31,1.31,360.13,311631.14,[]
AZEVEDO E TRAVASSOS,AZEV4,3.67,1.31,360.13,1977279.96,[]
AZUL,AZUL4,25.61,-18.14,-10.79,204609502.43,[]
BAHEMA,BAHI3,14.15,-20.58,-4.66,52944.33,[]
BAUMER,BALM3,15.5,9.48,8.76,4281.45,[]
BAUMER,BALM4,12.2,9.48,8.76,7111.55,[]
EXCELSIOR ALIMENTOS,BAUH4,81.88,24.95,9.20,74709.47,[]
BRASIL BROKERS,BBRK3,1.04,-0.55,-81.05,1296577.11,[]
BARDELLA,BDLL3,11.69,-6.22,-385.42,5686.33,[]
BARDELLA,BDLL4,10.75,-6.22,-385.42,7630.93,[]
MINERVA,BEEF3,9.8,6.06,7.71,66679063.82,[]
BIOMM,BIOM3,13.45,-16.76,-59.30,217600.64,[]
BK BRASIL,BKBR3,5.53,-6.86,-10.43,13567322.32,[]
BLAU FARMACÊUTICA S.A.,BLAU3,32.14,11.00,35.33,14419275.57,[]
BICICLETAS MONARK,BMKS3,236.0,-32.03,4.64,18033.04,[]
BEMOBI MOBILE TECH S.A.,BMOB3,13.15,7.64,31.51,13913990.86,[]
BOMBRIL,BOBR4,1.55,3.19,13.51,63378.86,[]
BRADESPAR,BRAP3,24.4,1.47,-,10417611.29,[]
BRADESPAR,BRAP4,27.74,1.47,-,267454924.54,[]
BRF,BRFS3,23.84,12.52,6.29,215090808.57,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,4.2,18.37,13.83,3093909.82,[]
BRASKEM,BRKM3,51.55,2.59,24.39,4560514.79,[]
BRASKEM,BRKM5,53.15,2.59,24.39,217637834.32,[]
BRASKEM,BRKM6,37.9,2.59,24.39,13032.5,[]
BR MALLS,BRML3,7.68,21.53,41.45,177701190.75,[]
BR PROPERTIES,BRPR3,6.46,12.33,120.84,15249240.57,[]
CAMBUCI,CAMB3,4.69,8.86,14.91,152427.0,[]
CAMIL,CAML3,10.75,8.81,7.15,15732870.75,[]
MÉLIUZ S.A.,CASH3,2.69,-175.26,-4.36,181578391.96,[]
CASAN,CASN3,15.01,44.51,21.71,,[]
Companhia Brasileira de Alumínio,CBAV3,14.9,14.39,9.82,31952622.18,[]
AMPLA ENERGIA E SERVICOS,CBEE3,24.52,-167.50,-0.70,29646.36,[]
CCR,CCRO3,11.43,11.38,28.64,118707113.14,[]
CEA MODAS,CEAB3,5.64,47.23,0.90,15507039.93,[]
CEB,CEBR3,15.58,-0.19,-222.59,34015.43,[]
CEB,CEBR5,15.29,-0.19,-222.59,26067.12,[]
CEB,CEBR6,15.88,-0.19,-222.59,74673.07,[]
CEDRO TÊXTIL,CEDO3,7.0,5.08,5.45,5238.69,[]
CEDRO TÊXTIL,CEDO4,5.0,5.08,5.45,11998.04,[]
COELBA,CEEB3,35.0,8.10,18.76,130258.82,[]
COELBA,CEEB5,36.61,8.10,18.76,7800.0,[]
CEEE-D,CEED3,44.0,-17.45,-5.90,6249.6,[]
CEEE-D,CEED4,55.8,-17.45,-5.90,5580.0,[]
CEG,CEGR3,57.99,22.98,17.34,5799.5,[]
CELPE,CEPE5,25.2,14.83,11.00,10908.63,[]
CELPE,CEPE6,29.38,14.83,11.00,20585.75,[]
CESP,CESP3,23.14,6.45,65.10,162077.71,[]
CESP,CESP5,33.99,6.45,65.10,5874.0,[]
CESP,CESP6,22.85,6.45,65.10,46365639.82,[]
COMGAS,CGAS3,139.0,8.92,24.78,121867.0,[]
COMGAS,CGAS5,145.99,8.92,24.78,1056523.32,[]
GRAZZIOTIN,CGRA3,38.89,3.57,32.69,54034.59,[]
GRAZZIOTIN,CGRA4,38.88,3.57,32.69,431134.82,[]
CELESC,CLSC3,60.72,2.99,8.50,38386.0,[]
CELESC,CLSC4,64.39,2.99,8.50,641572.0,[]
CEMIG,CMIG3,17.35,4.63,22.63,5398601.68,[]
CEMIG,CMIG4,12.68,4.63,22.63,102992616.79,[]
CSN MINERAÇÃO S.A.,CMIN3,7.31,3.01,52.40,70102669.29,[]
COELCE,COCE3,58.92,11.95,7.34,11395.5,[]
COELCE,COCE5,55.05,11.95,7.34,590142.89,[]
COGNA ON,COGN3,2.05,-4.81,-47.92,80950998.43,[]
CPFL ENERGIA,CPFE3,26.25,6.58,18.16,70400665.57,[]
COPEL,CPLE11,30.6,3.86,25.34,13678334.25,[]
COPEL,CPLE3,5.71,3.86,25.34,6101339.39,[]
COPEL,CPLE5,35.79,3.86,25.34,8040.11,[]
COPEL,CPLE6,6.19,3.86,25.34,83083505.32,[]
CR2,CRDE3,17.0,-1.51,-815.91,42182.67,[]
ATACADÃO,CRFB3,14.49,7.67,6.55,70451209.54,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,53.2,6.56,23.31,7578.0,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,61.83,6.56,23.31,1086097.89,[]
